scenario_id	scen_name	fiscal_year	refnum	dept_sort	dept_name	web_folder	proj_order	dept_num	apal	proj_title	trans_type	front_sect	amend	category_num	category_name	proj_type_num	proj_type_name	proj_class	bill_group	mental_health	ap_refnum	iris_ar_type	grant_type	recipient	agency_priority	beg_date	end_date	create_by	create_time	change_by	change_time	loc_location	hd	hd_name	budget	manager	manager_phone	contact	contact_phone	fed_percent	summary	comments	intent	fed_match	1002 Fed Rcpts	1003 G/F Match	1004 Gen Fund	1005 GF/Prgm	1018 EVOSS	1024 Fish/Game	1026 Hwy Capitl	1027 Int Airprt	1037 GF/MH	1063 NPR Fund	1075 Clean Wtr	1076 Marine Hwy	1092 MHTAAR	1100 ADWF	1108 Stat Desig	1112 IntAptCons	1114 EVOS Rest	1139 AHFC Div	1153 State Land	1169 PCE Endow	1195 SnoMachReg	1197 AK Cap Inc	1210 Renew Ener	1243 SBR	1255 Reapprops	1265 COVID Fed	1269 CSLFRF	Non Funded Appropriations
4895	FY2023 Final Enacted HB281	2023	6323	15	Department of Revenue		8	4	AP	AHFC Supplemental Housing Development Program		N	N	8	Development	6	Construction	G	AHFC	N	0	R23K	NA  		9	7/1/2022	6/30/2027	SRWILLHOITE	6/24/2022 21:59:11.843	SRWILLHOITE	6/24/2022 21:59:11.843	Statewide	99	Statewide (HD 1-40)	CAP 	Laura Davis	9073308356	James Wiedle	9073308359		Funding to supplement federal housing funds for construction and rehabilitation of safe, decent, affordable housing throughout Alaska.	SFSC added $250.0 UGF http://www.legfin.state.ak.us/BudgetReports/LY2022/Capital/SenateFinanceCS2/CapitalProjectDetailByAgency.pdf		X			250000															2750000										
4895	FY2023 Final Enacted HB281	2023	6334	15	Department of Revenue		10	4	AP*	AHFC Senior Citizens Housing Development Program		N	N	8	Development	6	Construction	G	AHFC	N	0		NA  		4	7/1/2022	6/30/2027	SRWILLHOITE	6/24/2022 21:59:11.71	SRWILLHOITE	6/24/2022 21:59:11.71	Statewide	99	Statewide (HD 1-40)	CAP 	Laura Davis	9073308356	James Wiedle	9073308359		Funding for development of senior citizen housing units and accessibility modifications to seniors’ residences.			X			750000						500000									1000000										
4895	FY2023 Final Enacted HB281	2023	6342	15	Department of Revenue		5	4	AP	AHFC Housing and Urban Development Capital Fund Program		N	N	8	Development	2	Renewal and Replacement	G	AHFC	N	0	R23G	NA  		6	7/1/2022	6/30/2027	SRWILLHOITE	6/24/2022 21:59:11.353	SRWILLHOITE	6/24/2022 21:59:11.353	Statewide	99	Statewide (HD 1-40)	CAP 	Laura Davis	9073308356	James Wiedle	9073308359		This Federal (HUD) grant provides AHFC with funds each year to help build, operate, maintain, renovate or modernize public housing units.			X	3200000																											
4895	FY2023 Final Enacted HB281	2023	6347	15	Department of Revenue		6	4	AP	AHFC Housing and Urban Development Federal HOME Grant		N	N	8	Development	31	Economic Assistance	G	AHFC	N	0	R23H	NA  		5	7/1/2022	6/30/2027	SRWILLHOITE	6/24/2022 21:59:11.593	SRWILLHOITE	6/24/2022 21:59:11.593	Statewide	99	Statewide (HD 1-40)	CAP 	Laura Davis	9073308356	James Wiedle	9073308359	25	The purpose of this authorization is to expand supply of affordable, low- and moderate- income housing and to strengthen the ability of the State to design and implement strategies to achieve an adequate supply of safe, energy-efficient, and affordable housing. The Municipality of Anchorage has its own separate HOME program.			X	4000000																	750000										
4895	FY2023 Final Enacted HB281	2023	6348	15	Department of Revenue		4	4	AP	AHFC Federal and Other Competitive Grants		N	N	4	Health/Human Services	34	Life / Health / Safety	G	AHFC	N	0	R23F	NA  		7	7/1/2022	6/30/2027	SRWILLHOITE	6/24/2022 21:59:11.273	SRWILLHOITE	6/24/2022 21:59:11.273	Statewide	99	Statewide (HD 1-40)	CAP 	Laura Davis	9073308356	James Wiedle	9073308359	0	This authorization allows AHFC to apply for HUD, other federal agency, and private foundation grants that target housing and supportive service needs of low-income and special needs Alaskans such as senior citizens, victims of human trafficking, persons with mental, physical, or developmental disabilities, or the homeless.			X	6000000																	1500000										
4895	FY2023 Final Enacted HB281	2023	6350	15	Department of Revenue		1	4	AP	AHFC Competitive Grants for Public Housing		N	N	4	Health/Human Services	34	Life / Health / Safety	G	AHFC	N	0	R23D	NA  		8	7/1/2022	6/30/2027	SRWILLHOITE	6/24/2022 21:59:11.067	SRWILLHOITE	6/24/2022 21:59:11.067	Statewide	99	Statewide (HD 1-40)	CAP 	Laura Davis	9073308356	James Wiedle	9073308359	0	Funding for AHFC to leverage HUD, other federal agency and private foundation grants that target housing needs of low-income and special needs groups who live in public and/or assisted housing.			X	1000000																	350000										
4895	FY2023 Final Enacted HB281	2023	6351	15	Department of Revenue		2	4	AP	AHFC Energy Efficiency Research		N	N	8	Development	16	Energy	G	AHFC	N	0	R23C	NA  		3	7/1/2022	6/30/2027	SRWILLHOITE	6/24/2022 21:59:11.127	SRWILLHOITE	6/24/2022 21:59:11.127	Statewide	99	Statewide (HD 1-40)	CAP 	Laura Davis	9073308356	James Wiedle	9073308359	0	Alaska-specific housing construction research for energy efficiency design of new housing units and energy efficiency improvements in dated housing stock.	SCS2 added $2m in Fed Rcpts		X	2000000		500000															500000										
4895	FY2023 Final Enacted HB281	2023	6360	15	Department of Revenue		13	4	AP	MH: AHFC Beneficiary and Special Needs Housing		N	N	4	Health/Human Services	34	Life / Health / Safety	G	AHFC	Y	0	R23N	NA  		12	7/1/2022	6/30/2027	SRWILLHOITE	6/24/2022 21:59:33.593	SRWILLHOITE	6/24/2022 21:59:33.593	Statewide	99	Statewide (HD 1-40)	CAP 	Laura Davis	9073308359	James Wiedle	9073308359	0	Funds for Alaska nonprofit service providers and housing developers to increase housing opportunities to Alaska Mental Health Trust beneficiaries and other special needs populations throughout Alaska.  			X									1750000				200000					1500000										
4895	FY2023 Final Enacted HB281	2023	6764	16	Department of Transportation/Public Facilities		10	25	AP*	Statewide Federal Programs		N	N	9	Transportation	6	Construction	G	NA	N	0		NA  		0	7/1/2022	6/30/2027	SRWILLHOITE	6/24/2022 21:59:35.437	SRWILLHOITE	6/24/2022 21:59:35.437	Statewide	99	Statewide (HD 1-40)	CAP 			Dom Pannone	9074652956		Capital project requests in support of statewide programs.	See project allocations for detailed project descriptions. 		X	49670000		130574												10000000													
4895	FY2023 Final Enacted HB281	2023	6854	13	Department of Natural Resources		12	10	AP	National Recreational Trails Federal Grant Program		N	N	5	Natural Resources	39	Parks / Recreation	G	NA	N	0	N193	NA  		15	7/1/2022	6/30/2027	SRWILLHOITE	6/24/2022 21:59:34.31	SRWILLHOITE	6/24/2022 21:59:34.31	Statewide	99	Statewide (HD 1-40)	CAP 	Ricky Gease	9072698701	Jashryn Mendoza	9074652495	0	The National Recreational Trails Federal Grant Program provides grants to government and community organizations for trail development and improvement projects statewide.			X	1500000	150000																										
