scenario_id	scen_name	fiscal_year	refnum	dept_sort	dept_name	web_folder	proj_order	dept_num	apal	proj_title	trans_type	front_sect	amend	category_num	category_name	proj_type_num	proj_type_name	proj_class	bill_group	mental_health	ap_refnum	iris_ar_type	grant_type	recipient	agency_priority	beg_date	end_date	create_by	create_time	change_by	change_time	loc_location	hd	hd_name	budget	manager	manager_phone	contact	contact_phone	fed_percent	summary	comments	intent	fed_match	1002 Fed Rcpts	1003 GF/Match	1004 Gen Fund	1005 GF/Prgm	1024 Fish/Game	1026 HwyCapital	1027 IntAirport	1037 GF/MH	1048 Univ Rcpt	1052 Oil/Haz Fd	1063 NPR Fund	1075 Cln Wtr Fd	1076 Marine Hwy	1082 Vessel Rep	1092 MHTAAR	1100 Drk Wtr Fd	1108 Stat Desig	1139 AHFC Div	1147 PublicBldg	1153 State Land	1166 Vessel Com	1175 BLic&Corp	1185 Elect Fund	1195 Snow Rcpts	1197 AK Cap Fnd	1200 VehRntlTax	1206 CVP Tax	1210 Ren Energy	1255 Reapprops	Non Funded Appropriations
5104	FY2024 Final Enacted HB39	2024	4821	16	Department of Transportation and Public Facilities		56	25	AL	Deering Airport and Access Road Improvements		N	Y	9	Transportation	6	Construction	N	NA	N	7470	T11L	NA  	NA	0	7/1/2023	6/30/2028	SRWILLHOITE	6/16/2023 12:45:44.82	SRWILLHOITE	6/16/2023 12:45:44.82	Deering	40	Arctic (HD 40)	CAP 			Dom Pannone	9074652956	0	Resurface the existing runway, taxiway, and apron and repair shoulders. Upgrade lighting system and electrical building, construct new access road, replace segmented circle, and apply dust palliative. The lighting system is over 10 years old, has exceeded its useful life, and needs to be replaced. The existing airport access road floods periodically due to storm surges from Kotzebue Sound and spring ice jams, blocking access to the airport.			X	8900000																													
5104	FY2024 Final Enacted HB39	2024	6323	15	Department of Revenue		11	4	AP	AHFC Supplemental Housing Development Program		N	N	8	Development	6	Construction	G	AHFC	N	0	R24K	NA  		0	7/1/2023	6/30/2028	SRWILLHOITE	6/16/2023 12:45:40.34	SRWILLHOITE	6/16/2023 12:45:40.34	Statewide	99	Statewide (HD 1 - 40)	CAP 	Laura Davis	9073308356	James Wiedle	9073308359		Funding to supplement federal housing funds for construction and rehabilitation of safe, decent, affordable housing throughout Alaska.			X																		3000000												
5104	FY2024 Final Enacted HB39	2024	6334	15	Department of Revenue		10	4	AP	AHFC Senior Citizens Housing Development Program		N	N	8	Development	6	Construction	G	AHFC	N	0	R24J	NA  		0	7/1/2023	6/30/2028	SRWILLHOITE	6/16/2023 12:45:40.29	SRWILLHOITE	6/16/2023 12:45:40.29	Statewide	99	Statewide (HD 1 - 40)	CAP 	Laura Davis	9073308356	James Wiedle	9073308359		Funding for development of senior citizen housing units and accessibility modifications to seniors’ residences.			X																		1750000												
5104	FY2024 Final Enacted HB39	2024	6342	15	Department of Revenue		7	4	AP	AHFC Housing and Urban Development Capital Fund Program		N	N	8	Development	2	Renewal and Replacement	G	AHFC	N	0	R24G	NA  		0	7/1/2023	6/30/2028	SRWILLHOITE	6/16/2023 12:45:40.157	SRWILLHOITE	6/16/2023 12:45:40.157	Statewide	99	Statewide (HD 1 - 40)	CAP 	Laura Davis	9073308356	James Wiedle	9073308359		This federal United States (U.S.) Department of Housing and Urban Development (HUD) grant provides the Alaska Housing Finance Corporation (AHFC) with funds each year to help build, operate, maintain, renovate, or modernize public housing units.			X	3200000																													
5104	FY2024 Final Enacted HB39	2024	6347	15	Department of Revenue		8	4	AP	AHFC Housing and Urban Development Federal HOME Grant		N	N	8	Development	31	Economic Assistance	G	AHFC	N	0	R24H	NA  		0	7/1/2023	6/30/2028	SRWILLHOITE	6/16/2023 12:45:40.2	SRWILLHOITE	6/16/2023 12:45:40.2	Statewide	99	Statewide (HD 1 - 40)	CAP 	Laura Davis	9073308356	James Wiedle	9073308359	25	The purpose of this authorization is to expand supply of affordable, low- and moderate- income housing, and to strengthen the ability of the state to design and implement strategies to achieve an adequate supply of safe, energy-efficient, and affordable housing. The Municipality of Anchorage has its own separate HOME program.			X	4000000																	750000												
5104	FY2024 Final Enacted HB39	2024	6348	15	Department of Revenue		6	4	AP	AHFC Federal and Other Competitive Grants		N	N	4	Health/Human Services	34	Life / Health / Safety	G	AHFC	N	0	R24F	NA  		0	7/1/2023	6/30/2028	SRWILLHOITE	6/16/2023 12:45:40.113	SRWILLHOITE	6/16/2023 12:45:40.113	Statewide	99	Statewide (HD 1 - 40)	CAP 	Laura Davis	9073308356	James Wiedle	9073308359	0	This authorization allows the Alaska Housing Finance Corporation (AHFC) to apply for United States (U.S.) Department of Housing and Urban Development (HUD), other federal agency, and private foundation grants that target housing and supportive service needs of low-income and special needs Alaskans such as senior citizens; victims of human trafficking; persons with mental, physical, or developmental disabilities; or the homeless.			X	6000000																	1500000												
5104	FY2024 Final Enacted HB39	2024	6350	15	Department of Revenue		1	4	AP	AHFC Competitive Grants for Public Housing		N	N	4	Health/Human Services	34	Life / Health / Safety	G	AHFC	N	0	R24D	NA  		0	7/1/2023	6/30/2028	SRWILLHOITE	6/16/2023 12:45:39.893	SRWILLHOITE	6/16/2023 12:45:39.893	Statewide	99	Statewide (HD 1 - 40)	CAP 	Laura Davis	9073308356	James Wiedle	9073308359	0	Funding for Alaska Housing Finance Corporation (AHFC) to leverage United States Department of Housing and Urban Development (HUD) and private foundation grants that target housing needs of low-income and special needs groups who live in public and/or assisted housing.			X	1000000																	350000												
5104	FY2024 Final Enacted HB39	2024	6351	15	Department of Revenue		4	4	AP	AHFC Energy Efficiency Research		N	N	8	Development	16	Energy	G	AHFC	N	0	R24C	NA  		0	7/1/2023	6/30/2028	SRWILLHOITE	6/16/2023 12:45:40.03	SRWILLHOITE	6/16/2023 12:45:40.03	Statewide	99	Statewide (HD 1 - 40)	CAP 	Laura Davis	9073308356	James Wiedle	9073308359	0	Alaska-specific housing construction research for energy efficiency design of new housing units and energy efficiency improvements in dated housing.			X																		500000												
5104	FY2024 Final Enacted HB39	2024	6360	15	Department of Revenue		14	4	AP	MH: Rural Housing Coordinator - Northwest Arctic Borough		N	N	4	Health/Human Services	34	Life / Health / Safety	G	AHFC	Y	0	R24W	NA  		0	7/1/2023	6/30/2028	SRWILLHOITE	6/16/2023 12:45:40.47	SRWILLHOITE	6/16/2023 12:45:40.47	Statewide	99	Statewide (HD 1 - 40)	CAP 		          	James Wiedle	9073308359	0	This project funds a Rural Housing Coordinator position to support state operating infrastructure in the Northwest Arctic Borough. The Rural Housing Coordinator will engage community partners; document best practices, and lessons learned of a grass-roots effort to building local capacity; a coalition to address homelessness and to strategize on addressing overcrowding, substandard housing, and increasing affordable housing. The coordinator works with the Alaska Housing Finance Corporation and Association of Alaska Housing Authorities staff to maximize local, state, and federal funding opportunities and to ensure effective use of available dollars.			X															135000															
5104	FY2024 Final Enacted HB39	2024	6764	16	Department of Transportation and Public Facilities		4	25	AP*	Statewide Federal Programs		N	Y	9	Transportation	6	Construction	G	NA	N	0		NA  		0	7/1/2023	6/30/2028	SRWILLHOITE	6/16/2023 12:45:40.687	SRWILLHOITE	6/16/2023 12:45:40.687	Statewide	99	Statewide (HD 1 - 40)	CAP 			Dom Pannone	9074652956		Capital project requests in support of statewide programs.	See project allocations for detailed project descriptions. 		X	185489500		1023516														10000000													
5104	FY2024 Final Enacted HB39	2024	6854	13	Department of Natural Resources		13	10	AP	National Recreational Trails Federal Grant Program		N	N	5	Natural Resources	34	Life / Health / Safety	G	NA	N	0		NA  		0	7/1/2023	6/30/2028	SRWILLHOITE	6/16/2023 12:45:33.797	SRWILLHOITE	6/16/2023 12:45:33.797	Statewide	99	Statewide (HD 1 - 40)	CAP 	Ricky Gease	9072698701	Theresa Cross	9072696398	0	"This project leverages 10:1 federal funding and is critical to community organizations for trail development and improvement projects statewide. These grants are distributed on a proportional basis between motorized, non-motorized, and diversified trail needs. Those needs are evaluated by the Outdoor Recreation Trails Advisory Board. 

Legal, safe, well-maintained, and easy to use trails are reducing trespass situations, search and rescue occurrences, and public safety concerns. Because these are matching grant programs, grantees provide funds, labor, and equipment to match 10 percent of grant funds, stretching existing funding."			X	1500000	220000																												
