REPORT_SORT	DEPT_NUM	DEPT_SORT	DEPT_NAME	RDU_NUM	RDU_SORT	RDU_NAME	COMP_NUM	COMP_SORT	COMP_NAME	REPORT_LINE	LINE_TYPE	FUND_CODE	FUND_GROUP	DUPLICATED_INDICATOR	SCEN1_AMOUNT	SCEN2_AMOUNT	SCEN3_AMOUNT	SCEN4_AMOUNT	SCEN5_AMOUNT	SCEN6_AMOUNT	SCEN7_AMOUNT	SCEN8_AMOUNT	SCEN9_AMOUNT	SCEN10_AMOUNT	scenario_webfolder1	scenario_webfolder2	scenario_webfolder3	scenario_webfolder4	scenario_webfolder5	scenario_webfolder6	scenario_webfolder7	scenario_webfolder8	scenario_webfolder9	scenario_webfolder10
										SCEN1_AMOUNT=FY2025 Authorized (21873)		0																						
1	1	8	Governor	736	1	Federal Infrastructure Office	3420	0	Federal Infrastructure Office	Line 71000	Expenditure	0			743.80	0	0	0	0	0	0	0	0	0										
2	1	8	Governor	736	1	Federal Infrastructure Office	3420	0	Federal Infrastructure Office	Line 72000	Expenditure	0			30.00	0	0	0	0	0	0	0	0	0										
3	1	8	Governor	736	1	Federal Infrastructure Office	3420	0	Federal Infrastructure Office	Line 73000	Expenditure	0			285.40	0	0	0	0	0	0	0	0	0										
4	1	8	Governor	736	1	Federal Infrastructure Office	3420	0	Federal Infrastructure Office	Line 74000	Expenditure	0			5.00	0	0	0	0	0	0	0	0	0										
5	1	8	Governor	736	1	Federal Infrastructure Office	3420	0	Federal Infrastructure Office	Line 75000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
6	1	8	Governor	736	1	Federal Infrastructure Office	3420	0	Federal Infrastructure Office	Line 76000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
7	1	8	Governor	736	1	Federal Infrastructure Office	3420	0	Federal Infrastructure Office	Line 77000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
8	1	8	Governor	736	1	Federal Infrastructure Office	3420	0	Federal Infrastructure Office	Line 78000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
1004	1	8	Governor	736	1	Federal Infrastructure Office	3420	0	Federal Infrastructure Office	1004 Unrestricted General Fund Receipts	Revenue	1004	UGF		1064.20	0	0	0	0	0	0	0	0	0										
10000	1	8	Governor	736	1	Federal Infrastructure Office	3420	0	Federal Infrastructure Office	PFT	Position Count	0			4.00	0	0	0	0	0	0	0	0	0										
1	1	8	Governor	716	2	Central Svcs Cost Allocation	3334	0	Central Svcs Cost Allocation	Line 71000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
2	1	8	Governor	716	2	Central Svcs Cost Allocation	3334	0	Central Svcs Cost Allocation	Line 72000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
3	1	8	Governor	716	2	Central Svcs Cost Allocation	3334	0	Central Svcs Cost Allocation	Line 73000	Expenditure	0			5000.00	0	0	0	0	0	0	0	0	0										
4	1	8	Governor	716	2	Central Svcs Cost Allocation	3334	0	Central Svcs Cost Allocation	Line 74000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
5	1	8	Governor	716	2	Central Svcs Cost Allocation	3334	0	Central Svcs Cost Allocation	Line 75000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
6	1	8	Governor	716	2	Central Svcs Cost Allocation	3334	0	Central Svcs Cost Allocation	Line 76000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
7	1	8	Governor	716	2	Central Svcs Cost Allocation	3334	0	Central Svcs Cost Allocation	Line 77000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
8	1	8	Governor	716	2	Central Svcs Cost Allocation	3334	0	Central Svcs Cost Allocation	Line 78000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
1004	1	8	Governor	716	2	Central Svcs Cost Allocation	3334	0	Central Svcs Cost Allocation	1004 Unrestricted General Fund Receipts	Revenue	1004	UGF		5000.00	0	0	0	0	0	0	0	0	0										
1	1	8	Governor	2	3	Executive Operations	6	1	Executive Office	Line 71000	Expenditure	0			11524.80	0	0	0	0	0	0	0	0	0										
2	1	8	Governor	2	3	Executive Operations	6	1	Executive Office	Line 72000	Expenditure	0			718.90	0	0	0	0	0	0	0	0	0										
3	1	8	Governor	2	3	Executive Operations	6	1	Executive Office	Line 73000	Expenditure	0			1003.40	0	0	0	0	0	0	0	0	0										
4	1	8	Governor	2	3	Executive Operations	6	1	Executive Office	Line 74000	Expenditure	0			171.10	0	0	0	0	0	0	0	0	0										
5	1	8	Governor	2	3	Executive Operations	6	1	Executive Office	Line 75000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
6	1	8	Governor	2	3	Executive Operations	6	1	Executive Office	Line 76000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
7	1	8	Governor	2	3	Executive Operations	6	1	Executive Office	Line 77000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
8	1	8	Governor	2	3	Executive Operations	6	1	Executive Office	Line 78000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
1004	1	8	Governor	2	3	Executive Operations	6	1	Executive Office	1004 Unrestricted General Fund Receipts	Revenue	1004	UGF		13212.00	0	0	0	0	0	0	0	0	0										
1061	1	8	Governor	2	3	Executive Operations	6	1	Executive Office	1061 Capital Improvement Project Receipts	Revenue	1061	Other	Duplicated	206.20	0	0	0	0	0	0	0	0	0										
10000	1	8	Governor	2	3	Executive Operations	6	1	Executive Office	PFT	Position Count	0			63.00	0	0	0	0	0	0	0	0	0										
12000	1	8	Governor	2	3	Executive Operations	6	1	Executive Office	NP	Position Count	0			10.00	0	0	0	0	0	0	0	0	0										
1	1	8	Governor	2	3	Executive Operations	9	2	Governor's House	Line 71000	Expenditure	0			507.50	0	0	0	0	0	0	0	0	0										
2	1	8	Governor	2	3	Executive Operations	9	2	Governor's House	Line 72000	Expenditure	0			12.00	0	0	0	0	0	0	0	0	0										
3	1	8	Governor	2	3	Executive Operations	9	2	Governor's House	Line 73000	Expenditure	0			214.50	0	0	0	0	0	0	0	0	0										
4	1	8	Governor	2	3	Executive Operations	9	2	Governor's House	Line 74000	Expenditure	0			84.70	0	0	0	0	0	0	0	0	0										
5	1	8	Governor	2	3	Executive Operations	9	2	Governor's House	Line 75000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
6	1	8	Governor	2	3	Executive Operations	9	2	Governor's House	Line 76000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
7	1	8	Governor	2	3	Executive Operations	9	2	Governor's House	Line 77000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
8	1	8	Governor	2	3	Executive Operations	9	2	Governor's House	Line 78000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
1004	1	8	Governor	2	3	Executive Operations	9	2	Governor's House	1004 Unrestricted General Fund Receipts	Revenue	1004	UGF		818.70	0	0	0	0	0	0	0	0	0										
10000	1	8	Governor	2	3	Executive Operations	9	2	Governor's House	PFT	Position Count	0			4.00	0	0	0	0	0	0	0	0	0										
1	1	8	Governor	2	3	Executive Operations	10	3	Contingency Fund	Line 71000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
2	1	8	Governor	2	3	Executive Operations	10	3	Contingency Fund	Line 72000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
3	1	8	Governor	2	3	Executive Operations	10	3	Contingency Fund	Line 73000	Expenditure	0			250.00	0	0	0	0	0	0	0	0	0										
4	1	8	Governor	2	3	Executive Operations	10	3	Contingency Fund	Line 74000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
5	1	8	Governor	2	3	Executive Operations	10	3	Contingency Fund	Line 75000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
6	1	8	Governor	2	3	Executive Operations	10	3	Contingency Fund	Line 76000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
7	1	8	Governor	2	3	Executive Operations	10	3	Contingency Fund	Line 77000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
8	1	8	Governor	2	3	Executive Operations	10	3	Contingency Fund	Line 78000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
1004	1	8	Governor	2	3	Executive Operations	10	3	Contingency Fund	1004 Unrestricted General Fund Receipts	Revenue	1004	UGF		250.00	0	0	0	0	0	0	0	0	0										
1	1	8	Governor	2	3	Executive Operations	11	4	Lieutenant Governor	Line 71000	Expenditure	0			1140.70	0	0	0	0	0	0	0	0	0										
2	1	8	Governor	2	3	Executive Operations	11	4	Lieutenant Governor	Line 72000	Expenditure	0			93.20	0	0	0	0	0	0	0	0	0										
3	1	8	Governor	2	3	Executive Operations	11	4	Lieutenant Governor	Line 73000	Expenditure	0			199.60	0	0	0	0	0	0	0	0	0										
4	1	8	Governor	2	3	Executive Operations	11	4	Lieutenant Governor	Line 74000	Expenditure	0			21.50	0	0	0	0	0	0	0	0	0										
5	1	8	Governor	2	3	Executive Operations	11	4	Lieutenant Governor	Line 75000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
6	1	8	Governor	2	3	Executive Operations	11	4	Lieutenant Governor	Line 76000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
7	1	8	Governor	2	3	Executive Operations	11	4	Lieutenant Governor	Line 77000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
8	1	8	Governor	2	3	Executive Operations	11	4	Lieutenant Governor	Line 78000	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
1004	1	8	Governor	2	3	Executive Operations	11	4	Lieutenant Governor	1004 Unrestricted General Fund Receipts	Revenue	1004	UGF		1455.00	0	0	0	0	0	0	0	0	0										
10000	1	8	Governor	2	3	Executive Operations	11	4	Lieutenant Governor	PFT	Position Count	0			7.00	0	0	0	0	0	0	0	0	0										
11000	1	8	Governor	2	3	Executive Operations	11	4	Lieutenant Governor	PPT	Position Count	0			1.00	0	0	0	0	0	0	0	0	0										
