scenario_id	scen_name	fiscal_year	refnum	dept_sort	dept_name	web_folder	proj_order	dept_num	apal	proj_title	trans_type	front_sect	amend	category_num	category_name	proj_type_num	proj_type_name	proj_class	bill_group	mental_health	ap_refnum	iris_ar_type	grant_type	recipient	agency_priority	beg_date	end_date	create_by	create_time	change_by	change_time	loc_location	hd	hd_name	budget	manager	manager_phone	contact	contact_phone	fed_percent	summary	comments	intent	fed_match	1002 Fed Rcpts	1003 GF/Match	1004 Gen Fund	1005 GF/Prgm	1017 Group Ben	1024 Fish/Game	1026 HwyCapital	1027 IntAirport	1029 PERS Trust	1034 Teach Ret	1037 GF/MH	1042 Jud Retire	1045 Nat Guard	1048 Univ Rcpt	1063 NPR Fund	1075 Cln Wtr Fd	1076 Marine Hwy	1092 MHTAAR	1100 Drk Wtr Fd	1108 Stat Desig	1139 AHFC Div	1140 AIDEA Div	1141 RCA Rcpts	1147 PublicBldg	1153 State Land	1155 Timber Rcp	1156 Rcpt Svcs	1179 PFC 	1195 Snow Rcpts	1197 AK Cap Fnd	1205 Ocn Ranger	1210 Ren Energy	1222 REAA Fund
5374	FY2025 Final Enacted SB187	2025	4821	16	Department of Transportation and Public Facilities		121	25	AL	Deering Airport and Access Road Improvements		N	Y	9	Transportation	2	Renewal and Replacement	N	NA	N	7470	T19M	NA  	NA	6	7/1/2024	6/30/2029	JTLAGUNDINO	6/27/2024 10:20:10.18	JTLAGUNDINO	7/1/2024 11:15:18.167	Deering	40	Arctic (HD 40)	CAP 	Unknown	5555555555	Dom Pannone	9074652956	0	Resurface existing runway, taxiway, and apron and repair shoulders. Upgrade lighting system and electrical building, construct new airport access road, replace segmented circle, and apply dust palliative.			X	33000000																																
5374	FY2025 Final Enacted SB187	2025	6323	15	Department of Revenue		1	4	AP	AHFC Supplemental Housing Development Program		N	Y	8	Development	6	Construction	G	NA	N	0	R25K	NA  	NA	11	7/1/2024	6/30/2029	JTLAGUNDINO	6/27/2024 10:20:03.04	TSHESS	11/20/2024 13:43:29.543	Statewide	99	Statewide (HD 1 - 40)	CAP 	Unknown	5555555555	James Wiedle	9073308359	0	Funding to supplement federal housing funds for construction and rehabilitation of safe and affordable housing throughout Alaska.			X																					4000000												
5374	FY2025 Final Enacted SB187	2025	6334	15	Department of Revenue		2	4	AP	AHFC Senior Citizens Housing Development Program		N	Y	8	Development	6	Construction	G	NA	N	0	R25J	NA  	NA	10	7/1/2024	6/30/2029	JTLAGUNDINO	6/27/2024 10:20:03.073	TSHESS	11/20/2024 13:43:29.543	Statewide	99	Statewide (HD 1 - 40)	CAP 	Unknown	5555555555	James Wiedle	9073308359	0	Funding for development of senior citizen housing units and accessibility modifications to seniors' residences.			X																					3000000												
5374	FY2025 Final Enacted SB187	2025	6342	15	Department of Revenue		3	4	AP	AHFC Housing and Urban Development Capital Fund Program		N	Y	8	Development	2	Renewal and Replacement	G	NA	N	0	R25G	NA  	NA	6	7/1/2024	6/30/2029	JTLAGUNDINO	6/27/2024 10:20:03.11	TSHESS	11/20/2024 13:43:29.543	Statewide	99	Statewide (HD 1 - 40)	CAP 	Unknown	5555555555	James Wiedle	9073308359	0	This U.S. Department of Housing and Urban Development (HUD) grant provides the Alaska Housing Finance Corporation (AHFC) with funds each year to help build, operate, maintain, renovate, or modernize public housing units.			X	3600000																																
5374	FY2025 Final Enacted SB187	2025	6347	15	Department of Revenue		4	4	AP	AHFC Housing and Urban Development Federal HOME Grant		N	Y	8	Development	31	Economic Assistance	G	NA	N	0	R25H	NA  	NA	7	7/1/2024	6/30/2029	JTLAGUNDINO	6/27/2024 10:20:03.143	TSHESS	11/20/2024 13:43:29.543	Statewide	99	Statewide (HD 1 - 40)	CAP 	Unknown	5555555555	James Wiedle	9073308359	0	The purpose of this authorization is to expand supply of affordable, low- and moderate- income housing and to strengthen the ability of the State to design and implement strategies to achieve an adequate supply of safe, energy-efficient, and affordable housing. The Municipality of Anchorage has its own separate HOME program.			X	4000000																				750000												
5374	FY2025 Final Enacted SB187	2025	6348	15	Department of Revenue		5	4	AP	AHFC Federal and Other Competitive Grants		N	Y	4	Health/Human Services	34	Life / Health / Safety	G	NA	N	0	R25F	NA  	NA	5	7/1/2024	6/30/2029	JTLAGUNDINO	6/27/2024 10:20:03.177	TSHESS	11/20/2024 13:43:29.543	Statewide	99	Statewide (HD 1 - 40)	CAP 	Unknown	5555555555	James Wiedle	9073308359	0	This authorization allows the Alaska Housing Finance Corporation (AHFC) to apply for U.S. Department of Housing and Urban Development (HUD), other federal agency, and private foundation grants that target housing and supportive service needs of low-income and special needs Alaskans such as senior citizens, victims of human trafficking, persons with mental, physical, or developmental disabilities, or the homeless.			X	6000000																				1500000												
5374	FY2025 Final Enacted SB187	2025	6350	15	Department of Revenue		6	4	AP	AHFC Competitive Grants for Public Housing		N	Y	4	Health/Human Services	34	Life / Health / Safety	G	NA	N	0	R25D	NA  	NA	1	7/1/2024	6/30/2029	JTLAGUNDINO	6/27/2024 10:20:03.213	TSHESS	11/20/2024 13:43:29.543	Statewide	99	Statewide (HD 1 - 40)	CAP 	Unknown	5555555555	James Wiedle	9073308359	0	Funding for Alaska Housing Finance Corporation (AHFC) to leverage U.S. Department of Housing and Urban Development (HUD) and private foundation grants that target housing needs of low-income and special needs groups who live in public and/or assisted housing.			X	1000000																				350000												
5374	FY2025 Final Enacted SB187	2025	6351	15	Department of Revenue		7	4	AP	AHFC Energy Efficiency Research		N	Y	8	Development	16	Energy	G	NA	N	0	R25C	NA  	NA	3	7/1/2024	6/30/2029	JTLAGUNDINO	6/27/2024 10:20:03.247	TSHESS	11/20/2024 13:43:29.543	Statewide	99	Statewide (HD 1 - 40)	CAP 	Unknown	5555555555	James Wiedle	9073308359	0	Alaska-specific housing construction research for energy efficiency design of new housing units and energy efficiency improvements in dated housing stock.			X																					500000												
5374	FY2025 Final Enacted SB187	2025	6764	16	Department of Transportation and Public Facilities		152	25	AP*	Statewide Federal Programs		N	Y	9	Transportation	6	Construction	G	NA	N	0		NA  		31	7/1/2024	6/30/2029	JTLAGUNDINO	6/27/2024 10:20:03.72	JTLAGUNDINO	6/27/2024 10:20:03.72	Statewide	99	Statewide (HD 1 - 40)	CAP 			Dom Pannone	9074652956		Capital project requests in support of statewide programs.	See project allocations for detailed project descriptions. 		X	65974000		35000																	10000000													
5374	FY2025 Final Enacted SB187	2025	6854	13	Department of Natural Resources		1	10	AP	National Recreational Trails Federal Grant Program		N	Y	4	Health/Human Services	39	Parks / Recreation	G	NA	N	0	NPA7	NA  	NA	15	7/1/2024	6/30/2029	JTLAGUNDINO	6/27/2024 10:20:02.343	JTLAGUNDINO	7/1/2024 11:15:18.167	Statewide	99	Statewide (HD 1 - 40)	CAP 	Unknown	5555555555	Theresa Cross	9072696398	0	This project leverages 10:1 federal funding and is critical to community organizations for trail development and improvement projects statewide. These grants are distributed on a proportional basis between motorized, non-motorized, and diversified trail needs. Those needs are evaluated by the Outdoor Recreation Trails Advisory Board. Legal, safe, well-maintained, and easy to use trails reduce trespass situations, search and rescue occurrences, and public safety concerns. Because these are matching grant programs, grantees provide cash, labor, and equipment to match 10 percent of grant funds, stretching existing funding.			X	1500000	150000	100000																														
5374	FY2025 Final Enacted SB187	2025	6855	13	Department of Natural Resources		2	10	AP	Abandoned Mine Lands Reclamation Federal Program		N	Y	5	Natural Resources	34	Life / Health / Safety	G	NA	N	0	NWA7	NA  	NA	1	7/1/2024	6/30/2029	JTLAGUNDINO	6/27/2024 10:20:02.377	JTLAGUNDINO	7/1/2024 11:15:18.167	Statewide	99	Statewide (HD 1 - 40)	CAP 	Unknown	5555555555	Theresa Cross	9072696398	0	This program contractually employs up to 75 Alaskans in private sector construction jobs each year. The request for federal receipt authority has increased due to the federal infrastructure bill.			X	4330000																																
