scenario_id	scen_name	fiscal_year	refnum	dept_sort	dept_name	web_folder	proj_order	dept_num	apal	proj_title	trans_type	front_sect	amend	category_num	category_name	proj_type_num	proj_type_name	proj_class	bill_group	mental_health	ap_refnum	iris_ar_type	grant_type	recipient	agency_priority	beg_date	end_date	create_by	create_time	change_by	change_time	loc_location	hd	hd_name	budget	manager	manager_phone	contact	contact_phone	fed_percent	summary	comments	intent	fed_match	1002 Fed Rcpts	1003 GF/Match	1004 Gen Fund	1005 GF/Prgm	1024 Fish/Game	1026 HwyCapital	1027 IntAirport	1037 GF/MH	1052 Oil/Haz Fd	1061 CIP Rcpts	1063 NPR Fund	1075 Cln Wtr Fd	1076 Marine Hwy	1092 MHTAAR	1100 Drk Wtr Fd	1108 Stat Desig	1139 AHFC Div	1147 PublicBldg	1153 State Land	1179 PFC 	1195 Snow Rcpts	1197 AK Cap Fnd	1205 Ocn Ranger	1210 Ren Energy	Non Funded Appropriations
5469	FY2026 Governor	2026	30624	16	Department of Transportation and Public Facilities		1	25	AP	"Alaska Marine Highway System Vessel Overhaul, Annual Certification and Shoreside Facilities Rehabilitation"		N	N	9	Transportation	2	Renewal and Replacement	G	NA	N	0		NA  		6	7/1/2025	6/30/2030	JTLAGUNDINO	11/14/2024 9:17	JTLAGUNDINO	12/5/2024 9:56	Statewide	99	Statewide (HD 1 - 40)	CAP 			Dom Pannone	9074652956	0	"The Alaska Marine Highway System (AMHS) requires annual maintenance and overhaul on vessels and at terminals, particularly components or systems whose failures impact service in the short term. Annual overhaul of vessels is necessary to pass United States Coast Guard (USCG) inspections, American Bureau of Shipping (ABS) surveys, and obtain a Certificate of Inspection (COI) necessary to operate in revenue service."			X													26400000												
5469	FY2026 Governor	2026	66096	16	Department of Transportation and Public Facilities		2	25	AP	Supervisory Control and Data Acquisition System Upgrade		N	N	9	Transportation	36	Information Technology / Systems / Communication	O	NA	N	0		NA  		8	7/1/2025	6/30/2030	JTLAGUNDINO	11/22/2024 9:23	JTLAGUNDINO	12/5/2024 8:41	Statewide	99	Statewide (HD 1 - 40)	CAP 			Dom Pannone	9074652956	0	"To purchase a new Supervisory Control and Data Acquisition (SCADA) platform for development, implementation, and integration statewide. "			X																		100000							
5469	FY2026 Governor	2026	65104	16	Department of Transportation and Public Facilities		3	25	AP	Winter Trail Grooming Grants		N	N	9	Transportation	39	Parks / Recreation	G	NA	N	0	T1B2	NA  	NA	0	7/1/2025	6/30/2030	JTLAGUNDINO	11/15/2024 12:48	JTLAGUNDINO	12/5/2024 8:54	Statewide	99	Statewide (HD 1 - 40)	CAP 	Unknown	5555555555	Dom Pannone	9074652956	0	"Provide assistance to local winter trail grooming organizations to maintain a well-groomed trail system for utility and recreational uses by snow machiners, skiers, dog mushers, and other winter trail users. Funds for this program are provided by snow machine registration fees paid by Alaskans and are distributed in the form of grants for trail development and maintenance, trail marking and signage, and safety education. These funds may be combined with federal surface transportation block grants set aside in 23 USC 133(k) to further enhance winter trail grooming activities throughout the state."			X																					120000				
5469	FY2026 Governor	2026	66199	16	Department of Transportation and Public Facilities		4	25	AP	Dalton Highway Heavy Maintenance Milepost 76 to 89		N	N	9	Transportation	6	Construction	O	NA	N	0		NA  		18	7/1/2025	6/30/2030	JTLAGUNDINO	11/15/2024 9:24	JTLAGUNDINO	12/10/2024 11:41	Statewide	99	Statewide (HD 1 - 40)	CAP 			Dom Pannone	9074652956	0	"The Dalton Highway is in poor shape between milepost 76 to 89, requiring heavy maintenance. This work includes aggregate, drainage improvements, and roadside hardware repairs.  "			X			2500000																						
5469	FY2026 Governor	2026	66200	16	Department of Transportation and Public Facilities		5	25	AP	Dalton Highway Aggregate Stockpiles		N	N	9	Transportation	6	Construction	O	NA	N	0		NA  		10	7/1/2025	6/30/2030	JTLAGUNDINO	11/14/2024 9:17	JTLAGUNDINO	12/5/2024 8:56	Statewide	99	Statewide (HD 1 - 40)	CAP 			Dom Pannone	9074652956	0	Construct aggregate stockpiles at strategic locations along the Dalton Highway for the purposes of short-term maintenance. Maintaining the Dalton Highway requires an increased quantity of aggregate materials due to the poor surface condition. Maintenance aggregate stockpiles allow maintenance forces and contractors to react quickly to problems.  	"Utilizing the Dalton Highway aggregate stockpile inventory account, these stockpiles would be constructed and reimbursed through federal project match dollars.
"		X										4500000															
5469	FY2026 Governor	2026	66203	16	Department of Transportation and Public Facilities		6	25	AP	Ted Stevens Anchorage International 10MW Solar Array		N	N	9	Transportation	16	Energy	O	NA	N	0		NA  		11	7/1/2025	6/30/2030	JTLAGUNDINO	11/14/2024 9:17	JTLAGUNDINO	12/5/2024 8:57	Anchorage Areawide	50	Anchorage Areawide (HD 9-24)	CAP 			Dom Pannone	9074652956	0	"This funding request is for the installation of a 10 megawatt (MW) solar photovoltaic (PV) array at Ted Stevens International Airport to generate renewable solar energy and reduce operational costs. This project will enhance energy efficiency by producing clean, on-site power, minimizing reliance on external electricity sources, and lowering utility bill volatility. The system is expected to deliver 25 years of service, providing long-term cost savings and energy stability. The airport will benefit from selling surplus energy to Chugach Electric Association. Leveraging the 30 percent federal Investment Tax Credit will reduce installation costs and accelerate the return on investment. "	This project supports the Ted Stevens International Airport's (ANC) sustainability goals while enhancing economic resilience and operational efficiency. 		X							10000000																		
5469	FY2026 Governor	2026	49602	16	Department of Transportation and Public Facilities		7	25	AP	"Public Building Fund Deferred Maintenance, Renovation, Repair and Equipment"		N	N	10	General Government	4	Deferred Maintenance	G	NA	N	0		NA  		12	7/1/2025	6/30/2030	JTLAGUNDINO	11/14/2024 9:17	JTLAGUNDINO	12/5/2024 9:03	Statewide	99	Statewide (HD 1 - 40)	CAP 		          	Dom Pannone	9074652956		Address deferred maintenance needs in the buildings managed through the Public Building Fund.			X																		6000000							
5469	FY2026 Governor	2026	66198	16	Department of Transportation and Public Facilities		8	25	AP	Silvertip Camp Bunkhouse		N	N	9	Transportation	6	Construction	O	NA	N	0		NA  		13	7/1/2025	6/30/2030	JTLAGUNDINO	11/14/2024 9:17	JTLAGUNDINO	12/5/2024 9:07	Hope	8	Northern Kenai Peninsula (HD 8)	CAP 			Dom Pannone	9074652956	0	"Construct a bunkhouse for maintenance workers to overnight due to the remote location of this camp. The Silvertip Maintenance Station is located near Milepost 56 of the Sterling Highway, near the intersection of the Sterling Highway and Hope Road. Workers stationed at this camp currently commute daily from the north or south, and during winter storm events, are not able to respond as quickly as if workers were stationed at the camp. If lodging were available at this camp, alternative work schedules, such as two weeks on/two weeks off could be implemented, further improving recruitment, retention, and service levels.   "	"Construction of the facility would occur during the summer of 2025, and lodging would be available during the winter of 2025-2026."		X			325000																						
5469	FY2026 Governor	2026	66201	16	Department of Transportation and Public Facilities		9	25	AP	Wood River Canyon Bridges and Trails		N	N	9	Transportation	6	Construction	O	NA	N	0		NA  		19	7/1/2025	6/30/2030	JTLAGUNDINO	11/14/2024 9:17	JTLAGUNDINO	12/10/2024 11:43	Copper Center	36	Copper River/Delta/Tok/Yukon (HD 36)	CAP 			Dom Pannone	9074652956	0	"Construct realignments and new trail bridges along the Copper River Highway Wood Canyon Trail from O’Brien Creek to Haley Creek, to avoid important cultural sites, and to improve access all along this route. Improving road, bridge, wayside, and erosion protection along the route, along with preservation activities for historic and cultural resource sites, will be included. Improvements will be completed in collaboration with the Chitina Joint Task Force."			X			4250000																						
5469	FY2026 Governor	2026	66202	16	Department of Transportation and Public Facilities		10	25	AP	Williamsport Intermodal Connector Phase 2		N	N	9	Transportation	6	Construction	O	NA	N	0		NA  		20	7/1/2025	6/30/2030	JTLAGUNDINO	11/14/2024 9:17	JTLAGUNDINO	12/10/2024 9:42	Statewide	99	Statewide (HD 1 - 40)	CAP 			Dom Pannone	9074652956	0	"Design funding for the project begun in FY2025. Initial work has included getting a design consultant under contract who performed preliminary engineering for potential road improvement projects. LiDAR and imagery was also flown for the Williamsport side of the road corridor. The consultant will make recommendations for future construction improvements necessary to complete the multi-modal road and waterway connection between Pile Bay on Illiamna Lake and Williamsport on Illiamna Inlet (Cook Inlet). This work may include replacing drainage structures, resurfacing existing roadways, improving existing barge landing connections, and constructing new road segments to access improved barge landing areas."			X			2666600																						
