SCENARIO_ID	SCENARIO_NAME	DEPT	PROJ_ORDER	REFNUM	ALAP	PROJ_TITLE	PROJ_CAT	PROJ_TYPE	UGF_AMOUNT	DGF_AMOUNT	O_AMOUNT	F_AMOUNT	PROJ_TOTAL
4895	FY2023 Final Enacted HB281	Commerce	1	64581	AP	Alaska Search and Rescue Association - Search and Rescue Training	General Government	Life / Health / Safety	294300	0	0	0	294300
4895	FY2023 Final Enacted HB281	Commerce	2	64160	AP	Chugach Region Archaeological Repository	Education	Construction	0	0	6277685	0	6277685
4895	FY2023 Final Enacted HB281	Commerce	3	64564	AP	Alaska Seafood Marketing Institute Food Aide to Ukraine - Alaska Canned Salmon	General Government	Life / Health / Safety	300000	0	0	0	300000
4895	FY2023 Final Enacted HB281	Commerce	4	64158	AP	Alaska SeaLife Center Facilities Project	Education	Construction	0	0	2500000	0	2500000
4895	FY2023 Final Enacted HB281	Commerce	5	64535	AP	AWAIC - Shelter and Transitional Housing Renovations	General Government	Deferred Maintenance	0	0	0	0	0
4895	FY2023 Final Enacted HB281	Commerce	7	64584	AP	Matanuska-Susitna Borough Transportation Infrastructure package	Development	Construction	30000000	0	0	0	30000000
4895	FY2023 Final Enacted HB281	Commerce	8	64587	AP	Abused Women Aid In Crisis, Inc. - Shelter And Transitional Housing Renovations (HD 12-28)	Health/Human Services	Life / Health / Safety	347000	0	0	0	347000
4895	FY2023 Final Enacted HB281	Commerce	9	64583	AP	Municipality of Anchorage for the Port of Alaska Modernization Project Distributed FY23 through FY24	Development	Construction	100000000	0	0	0	100000000
4895	FY2023 Final Enacted HB281	Commerce	10	64565	AP	Alaska Black Caucus - Construction of the Equity Center	General Government	Construction	0	0	0	0	0
4895	FY2023 Final Enacted HB281	Commerce	11	64543	AP	City of Nome - Arctic Deep Draft Port (HD 39)	General Government	Construction	175300000	0	0	0	175300000
4895	FY2023 Final Enacted HB281	Commerce	12	64579	AP	Dimond Alumni Special Projects Inc. - Replace Diving Boards 	General Government	Deferred Maintenance	588775	0	0	0	588775
4895	FY2023 Final Enacted HB281	Commerce	13	64544	AP	Wrangell - Water Treatment Plant Improvements	General Government	Deferred Maintenance	4100000	0	0	0	4100000
4895	FY2023 Final Enacted HB281	Commerce	14	64551	AP	ILWU Alaska Longshore Division Healthcare	General Government	Life / Health / Safety	0	0	0	0	0
4895	FY2023 Final Enacted HB281	Commerce	15	64159	AP	Alutiiq Museum & Archaeological Repository	Education	Construction	0	0	7339450	0	7339450
4895	FY2023 Final Enacted HB281	Commerce	16	64588	AP	Municipality of Anchorage - NTE $100,000.0 Match for Federal Funding	Development	Construction	100000000	0	0	0	100000000
4895	FY2023 Final Enacted HB281	Commerce	17	64553	AP	Alaska Energy Authority - Alaska Grid Resilience and Reliability - Formula	Development	Energy	0	0	3633158	12110523	15743681
4895	FY2023 Final Enacted HB281	Commerce	18	64530	AP	Prince William Sound Science Center - Planning, Construction, and Maintenance	Natural Resources	Research / Studies / Planning	0	0	0	0	0
4895	FY2023 Final Enacted HB281	Commerce	19	32950	AP	Alaska Energy Authority - Electrical Emergencies Program	Development	Energy	200000	0	0	0	200000
4895	FY2023 Final Enacted HB281	Commerce	20	64245	AP	Broadband Equity Access and Deployment Program and Digital Equity Plan	Development	Life / Health / Safety	0	0	0	6000000	6000000
4895	FY2023 Final Enacted HB281	Commerce	22	64204	AL	Alaska Energy Authority - New Energy Auditor Training Grant Program	Development	Energy	0	0	0	63600	63600
4895	FY2023 Final Enacted HB281	Commerce	23	64211	AL	Alaska Energy Authority - New Energy Efficiency Revolving Loan Fund Capitalization Program	Development	Energy	0	0	0	796000	796000
4895	FY2023 Final Enacted HB281	Commerce	24	64394	AL	Alaska Energy Authority - State Energy Program	Development	Energy	0	0	0	796000	796000
4895	FY2023 Final Enacted HB281	Commerce	25	64217	AL	Alaska Energy Authority - Energy Efficiency Conservation Block Grants	Development	Energy	0	0	0	2000000	2000000
4895	FY2023 Final Enacted HB281	Commerce	26	63838	AP	Alaska Energy Authority - Strategic Plan for Railbelt Assets	To be determined	Energy	2500000	0	0	0	2500000
4895	FY2023 Final Enacted HB281	Commerce	27	57255	AP	Alaska Energy Authority - Round XIV Renewable Energy Project Grants (AS 42.45.045)	Development	Energy	0	15000000	0	0	15000000
4895	FY2023 Final Enacted HB281	Commerce	28	63132	AP	Replace Alcohol Licensing Database	Development	Information Technology / Systems / Communication	375000	375000	0	0	750000
4895	FY2023 Final Enacted HB281	Commerce	29	52498	AP	Alaska Energy Authority - Rural Power Systems Upgrades	Development	Energy	0	10000000	0	10000000	20000000
4895	FY2023 Final Enacted HB281	Commerce	30	49734	AP	Alaska Energy Authority - Bulk Fuel Upgrades	Development	Energy	5500000	0	0	7500000	13000000
4895	FY2023 Final Enacted HB281	Commerce	31	64165	AP	Kenai River Bluff Stabilization	Transportation	Construction	6500000	0	0	0	6500000
4895	FY2023 Final Enacted HB281	Commerce	32	61842	AP	Alaska Energy Authority - Volkswagen Settlement	Transportation	Life / Health / Safety	0	0	400000	0	400000
4895	FY2023 Final Enacted HB281	Commerce	34	38946	AP	Community Block Grants	Development	Life / Health / Safety	65000	0	0	6250000	6315000
4895	FY2023 Final Enacted HB281	Commerce	35	64174	AP	Alaska Mariculture Alliance – Economic Recovery Mariculture Incentive Grant Program	Development	Economic Assistance	5000000	0	0	0	5000000
4895	FY2023 Final Enacted HB281	Commerce	36	38948	AP	National Petroleum Reserve - Alaska Impact Grant Program	Development	Life / Health / Safety	0	0	0	13800000	13800000
4895	FY2023 Final Enacted HB281	Commerce	37	45874	AP	Inter-Island Ferry Authority	Transportation	Economic Assistance	250000	0	0	0	250000
4895	FY2023 Final Enacted HB281	Commerce	39	41959	AP	Arctic Winter Games Team Alaska - State Participation Grant 	Development	Economic Assistance	1000000	0	0	0	1000000
4895	FY2023 Final Enacted HB281	Courts	0	64135	AP	Court Security Projects	Law and Justice	Information Technology / Systems / Communication	4130000	0	0	0	4130000
4895	FY2023 Final Enacted HB281	Courts	0	64137	AP	Deferred Maintenance Projects (DOT / DOA / DMVA Maintained)	Law and Justice	Deferred Maintenance	0	3820000	0	0	3820000
4895	FY2023 Final Enacted HB281	Courts	1	64136	AP	Justice Technology Upgrades and Courtroom Modernization	Law and Justice	Information Technology / Systems / Communication	3917300	0	0	0	3917300
4895	FY2023 Final Enacted HB281	Courts	2	64134	AP	Planning and Design for Court Facilities - Bethel and Palmer	Law and Justice	Research / Studies / Planning	980000	0	0	0	980000
4895	FY2023 Final Enacted HB281	E&ED	0	64512	AP	Major Maintenance Grant Fund for School Major Maintenance	Education	Deferred Maintenance	37500000	0	0	0	37500000
4895	FY2023 Final Enacted HB281	EnvCon	0	64190	AP	Alaska Enhanced Air Quality Monitoring	Health/Human Services	Life / Health / Safety	0	0	0	650000	650000
4895	FY2023 Final Enacted HB281	EnvCon	1	49698	AP	Clean Water Capitalization Grant Subsidy	Health/Human Services	Water / Sewer / Solid Waste	0	0	1000000	0	1000000
4895	FY2023 Final Enacted HB281	EnvCon	2	49697	AP	Drinking Water Capitalization Grant Subsidy	Health/Human Services	Water / Sewer / Solid Waste	0	0	2900000	0	2900000
4895	FY2023 Final Enacted HB281	EnvCon	3	63997	AP	EVOS Impaired Beaches Project	Natural Resources	Renewal and Replacement	0	0	658432	0	658432
4895	FY2023 Final Enacted HB281	EnvCon	4	61721	AP	Fairbanks PM2.5 Nonattainment Area Voluntary Heating Device Change Out Program	Health/Human Services	Life / Health / Safety	0	0	0	5684800	5684800
4895	FY2023 Final Enacted HB281	EnvCon	6	49749	AL	Village Safe Water and Wastewater Infrastructure Projects:  Expansion, Upgrade, and Replacement of Existing Service	Health/Human Services	Water / Sewer / Solid Waste	7800000	0	200000	38900000	46900000
4895	FY2023 Final Enacted HB281	EnvCon	7	49748	AL	Village Safe Water and Wastewater Infrastructure Projects:  First Time Service Projects	Health/Human Services	Water / Sewer / Solid Waste	11700000	0	300000	58350000	70350000
4895	FY2023 Final Enacted HB281	EnvCon	11	63863	AP	Clean Water Capitalization Grant Subsidy - IIJA, Division J, Title VI	Health/Human Services	Water / Sewer / Solid Waste	0	0	9241939	0	9241939
4895	FY2023 Final Enacted HB281	EnvCon	11	64195	AP	Clean Water Capitalization Grant Subsidy Emerging Contaminants - IIJA, Division J, Title VI	Health/Human Services	Water / Sewer / Solid Waste	0	0	989820	0	989820
4895	FY2023 Final Enacted HB281	EnvCon	12	63864	AP	Drinking Water Capitalization Grant Subsidy - IIJA, Division J, Title VI	Health/Human Services	Water / Sewer / Solid Waste	0	0	6246545	0	6246545
4895	FY2023 Final Enacted HB281	EnvCon	12	64196	AP	Drinking Water Capitalization Grant Subsidy Emerging Contaminants- IIJA, Division J, Title VI	Health/Human Services	Water / Sewer / Solid Waste	0	0	5353400	0	5353400
4895	FY2023 Final Enacted HB281	EnvCon	12	64197	AP	Drinking Water Capitalization Grant Subsidy Lead Service Lines IIJA, Division J, Title VI	Health/Human Services	Water / Sewer / Solid Waste	0	0	9836873	0	9836873
4895	FY2023 Final Enacted HB281	FCS	11	63906	AP	Alaska Psychiatric Institute Wireless Infrastructure Upgrade 	Health/Human Services	Information Technology / Systems / Communication	100000	0	0	0	100000
4895	FY2023 Final Enacted HB281	FishGm	1	63934	AP	Alaska Marine Salmon Program	Development	Research / Studies / Planning	1150000	0	0	0	1150000
4895	FY2023 Final Enacted HB281	FishGm	1	63992	AP	EVOS Prince William Sound Pollock and Herring Interaction	Natural Resources	Research / Studies / Planning	0	0	4129317	0	4129317
4895	FY2023 Final Enacted HB281	FishGm	2	63998	AP	EVOS Gulf Watch Alaska Herring Research and Monitoring	Natural Resources	Research / Studies / Planning	0	0	1908299	0	1908299
4895	FY2023 Final Enacted HB281	FishGm	3	63995	AP	EVOS Mariculture - Marine Mammals	Natural Resources	Research / Studies / Planning	0	0	1660000	0	1660000
4895	FY2023 Final Enacted HB281	FishGm	4	63991	AP	EVOS Kenai Peninsula Cost Share	Development	Renewal and Replacement	0	0	400000	0	400000
4895	FY2023 Final Enacted HB281	FishGm	5	43347	AP	Endangered Species Act 	Natural Resources	Research / Studies / Planning	2000000	0	250000	1750000	4000000
4895	FY2023 Final Enacted HB281	FishGm	6	43322	AP	Facilities, Vessels, and Aircraft Maintenance, Repair, and Upgrades	Natural Resources	Renewal and Replacement	500000	0	0	0	500000
4895	FY2023 Final Enacted HB281	FishGm	7	48948	AP	Pacific Salmon Treaty Chinook Fishery Mitigation	Natural Resources	Research / Studies / Planning	0	0	0	6400000	6400000
4895	FY2023 Final Enacted HB281	FishGm	8	33647	AP	Pacific Coastal Salmon Recovery Fund	Natural Resources	Research / Studies / Planning	0	0	0	4400000	4400000
4895	FY2023 Final Enacted HB281	FishGm	9	30432	AP	Sport Fish Recreational Boating and Angler Access	Natural Resources	Construction	1500000	0	750000	6750000	9000000
4895	FY2023 Final Enacted HB281	FishGm	10	63996	AP	Proceeds of Sale of State-owned Vessels and Aircrafts	Fund Transfers	Equipment / Commodities	0	150000	0	0	150000
4895	FY2023 Final Enacted HB281	Gov	1	62700	AP	Statewide Deferred Maintenance, Renovation, and Repair	General Government	Deferred Maintenance	3620000	23880000	0	0	27500000
4895	FY2023 Final Enacted HB281	Health	0	64487	AP	Child Care Program Office (HD 1-40)	General Government	Life / Health / Safety	1000000	0	0	0	1000000
4895	FY2023 Final Enacted HB281	Health	1	33670	AP	MH: Deferred Maintenance and Accessibility Improvements	Health/Human Services	Deferred Maintenance	250000	0	250000	0	500000
4895	FY2023 Final Enacted HB281	Health	1	54250	AP	MH: Assistive Technology	Health/Human Services	Life / Health / Safety	500000	0	0	0	500000
4895	FY2023 Final Enacted HB281	Health	2	33672	AP	MH: Essential Program Equipment	Health/Human Services	Equipment / Commodities	300000	0	300000	0	600000
4895	FY2023 Final Enacted HB281	Health	3	33671	AP	MH: Home Modification and Upgrades to Retain Housing	Health/Human Services	Renovation and Remodeling	1050000	0	100000	0	1150000
4895	FY2023 Final Enacted HB281	Health	4	63912	AP	Division of Public Assistance E-forms and Online Noticing 	Health/Human Services	Information Technology / Systems / Communication	4000000	0	0	4000000	8000000
4895	FY2023 Final Enacted HB281	Health	5	63915	AP	Division of Public Assistance Eligibility System Replacement 	Health/Human Services	Information Technology / Systems / Communication	4700000	0	0	18800000	23500000
4895	FY2023 Final Enacted HB281	Health	6	42837	AP	Emergency Medical Services Match for Code Blue Project 	Health/Human Services	Equipment	500000	0	0	0	500000
