SCENARIO_ID	SCENARIO_NAME	DEPT	PROJ_ORDER	REFNUM	ALAP	PROJ_TITLE	PROJ_CAT	PROJ_TYPE	UGF_AMOUNT	DGF_AMOUNT	O_AMOUNT	F_AMOUNT	PROJ_TOTAL
4701	FY2023 Governor	Commerce	1	32950	AP	Alaska Energy Authority - Electrical Emergencies Program	Development	Energy	200000	0	0	0	200000
4701	FY2023 Governor	Commerce	2	57255	AP	Alaska Energy Authority - Round XIV Renewable Energy Project Grants (AS 42.45.045)	Development	Energy	0	15000000	0	0	15000000
4701	FY2023 Governor	Commerce	3	52498	AP	Alaska Energy Authority - Rural Power Systems Upgrades	Development	Energy	0	10000000	0	10000000	20000000
4701	FY2023 Governor	Commerce	4	49734	AP	Alaska Energy Authority - Bulk Fuel Upgrades	Development	Energy	5500000	0	0	7500000	13000000
4701	FY2023 Governor	Commerce	5	61842	AP	Alaska Energy Authority - Volkswagen Settlement	Transportation	Life / Health / Safety	0	0	400000	0	400000
4701	FY2023 Governor	Commerce	6	64132	AP	City of Palmer Wastewater Treatment Plant Improvements - Phase II	To be determined	Construction	0	0	0	6900000	6900000
4701	FY2023 Governor	Commerce	7	38946	AP	Community Block Grants	Development	Life / Health / Safety	65000	0	0	6250000	6315000
4701	FY2023 Governor	Commerce	8	64174	AP	Economic Recovery Mariculture Incentive Grant Program	Development	Economic Assistance	0	0	0	25000000	25000000
4701	FY2023 Governor	Commerce	10	38948	AP	National Petroleum Reserve - Alaska Impact Grant Program	Development	Life / Health / Safety	0	0	0	13800000	13800000
4701	FY2023 Governor	Commerce	11	61718	AP	Alaska Travel Industry Association	Development	Research / Studies / Planning	0	0	0	5000000	5000000
4701	FY2023 Governor	Commerce	12	45874	AP	Inter-Island Ferry Authority	Transportation	Economic Assistance	250000	0	0	0	250000
4701	FY2023 Governor	Commerce	13	63461	AP	Named Recipient Grant - Voice of the Arctic Inupiat	General Government	Construction	1000000	0	0	0	1000000
4701	FY2023 Governor	Courts	0	64135	AP	Court Security Projects	Law and Justice	Information Technology / Systems / Communication	1130000	0	0	0	1130000
4701	FY2023 Governor	Courts	0	64137	AP	Deferred Maintenance Projects (DOT / DOA / DMVA Maintained)	Law and Justice	Deferred Maintenance	0	3820000	0	0	3820000
4701	FY2023 Governor	EnvCon	1	49698	AP	Clean Water Capitalization Grant Subsidy	Health/Human Services	Water / Sewer / Solid Waste	0	0	1000000	0	1000000
4701	FY2023 Governor	EnvCon	2	49697	AP	Drinking Water Capitalization Grant Subsidy	Health/Human Services	Water / Sewer / Solid Waste	0	0	2900000	0	2900000
4701	FY2023 Governor	EnvCon	3	63997	AP	EVOS Impaired Beaches Project	Natural Resources	Renewal and Replacement	0	0	658432	0	658432
4701	FY2023 Governor	EnvCon	4	61721	AP	Fairbanks PM2.5 Nonattainment Area Voluntary Heating Device Change Out Program	Health/Human Services	Life / Health / Safety	0	0	0	5684800	5684800
4701	FY2023 Governor	EnvCon	6	49749	AL	Village Safe Water and Wastewater Infrastructure Projects:  Expansion, Upgrade, and Replacement of Existing Service	Health/Human Services	Water / Sewer / Solid Waste	7800000	0	200000	20900000	28900000
4701	FY2023 Governor	EnvCon	7	49748	AL	Village Safe Water and Wastewater Infrastructure Projects:  First Time Service Projects	Health/Human Services	Water / Sewer / Solid Waste	11700000	0	300000	31350000	43350000
4701	FY2023 Governor	FCS	1	33670	AP	MH: Deferred Maintenance and Accessibility Improvements	Health/Human Services	Deferred Maintenance	250000	0	250000	0	500000
4701	FY2023 Governor	FishGm	1	63992	AP	EVOS Prince William Sound Pollock and Herring Interaction	Natural Resources	Research / Studies / Planning	0	0	4129317	0	4129317
4701	FY2023 Governor	FishGm	2	63998	AP	EVOS Gulf Watch Alaska Herring Research and Monitoring	Natural Resources	Research / Studies / Planning	0	0	1908299	0	1908299
4701	FY2023 Governor	FishGm	3	63995	AP	EVOS Mariculture - Marine Mammals	Natural Resources	Research / Studies / Planning	0	0	1660000	0	1660000
4701	FY2023 Governor	FishGm	4	63991	AP	EVOS Kenai Peninsula Cost Share	Development	Renewal and Replacement	0	0	400000	0	400000
4701	FY2023 Governor	FishGm	5	43347	AP	Endangered Species Act 	Natural Resources	Research / Studies / Planning	2000000	0	250000	1750000	4000000
4701	FY2023 Governor	FishGm	6	43322	AP	Facilities, Vessels, and Aircraft Maintenance, Repair, and Upgrades	Natural Resources	Renewal and Replacement	500000	0	0	0	500000
4701	FY2023 Governor	FishGm	7	48948	AP	Pacific Salmon Treaty Chinook Fishery Mitigation	Natural Resources	Research / Studies / Planning	0	0	0	6400000	6400000
4701	FY2023 Governor	FishGm	8	33647	AP	Pacific Coastal Salmon Recovery Fund	Natural Resources	Research / Studies / Planning	0	0	0	4400000	4400000
4701	FY2023 Governor	FishGm	9	30432	AP	Sport Fish Recreational Boating and Angler Access	Natural Resources	Construction	0	0	750000	2250000	3000000
4701	FY2023 Governor	FishGm	10	63996	AP	Proceeds of Sale of State-owned Vessels and Aircrafts	Fund Transfers	Equipment / Commodities	0	150000	0	0	150000
4701	FY2023 Governor	Gov	1	62700	AP	Statewide Deferred Maintenance, Renovation, and Repair	General Government	Deferred Maintenance	0	23880000	0	0	23880000
4701	FY2023 Governor	Health	1	54250	AP	MH: Assistive Technology	Health/Human Services	Life / Health / Safety	500000	0	0	0	500000
4701	FY2023 Governor	Health	2	33672	AP	MH: Essential Program Equipment	Health/Human Services	Equipment / Commodities	300000	0	300000	0	600000
4701	FY2023 Governor	Health	3	33671	AP	MH: Home Modification and Upgrades to Retain Housing	Health/Human Services	Renovation and Remodeling	1050000	0	100000	0	1150000
4701	FY2023 Governor	Health	4	63912	AP	Division of Public Assistance E-forms and Online Noticing 	Health/Human Services	Information Technology / Systems / Communication	0	0	0	8000000	8000000
4701	FY2023 Governor	Health	5	63915	AP	Division of Public Assistance Eligibility System Replacement 	Health/Human Services	Information Technology / Systems / Communication	0	0	0	23500000	23500000
4701	FY2023 Governor	Health	6	42837	AP	Emergency Medical Services Match for Code Blue Project 	Health/Human Services	Equipment	500000	0	0	0	500000
4701	FY2023 Governor	Health	7	64172	AP	Health Record Infrastructure Improvements - Coronavirus Capital Projects Fund	Law and Justice	Information Technology / Systems / Communication	0	0	0	30000000	30000000
4701	FY2023 Governor	M&VA	5	63928	AP	DMVA Deferred Maintenance, Replacement, and Renewal 	Public Protection	Construction	0	0	0	12000000	12000000
4701	FY2023 Governor	M&VA	8	61869	AP	State Homeland Security Grant Programs	Public Protection	Life / Health / Safety	0	0	0	9000000	9000000
4701	FY2023 Governor	NatRes	1	63437	AP	RS2477 Access Development - Advancing State's Rights in Navigability and Revised Statute 2477	Development	Research / Studies / Planning	2500000	0	0	0	2500000
4701	FY2023 Governor	NatRes	2	6855	AP	Abandoned Mine Lands Reclamation Federal Program	Natural Resources	Life / Health / Safety	0	0	0	3200000	3200000
4701	FY2023 Governor	NatRes	3	62649	AP	Arctic Strategic Transportation and Resource Project	Development	Research / Studies / Planning	2500000	0	0	0	2500000
4701	FY2023 Governor	NatRes	4	63979	AP	Big Eddy EVOS Restoration and Improvements	Public Protection	Parks / Recreation	0	0	4329567	0	4329567
