REPORT_SORT,DEPT_NUM,DEPT_SORT,DEPT_NAME,RDU_NUM,RDU_SORT,RDU_NAME,COMP_NUM,COMP_SORT,COMP_NAME,REPORT_LINE,LINE_TYPE,FUND_CODE,FUND_GROUP,DUPLICATED_INDICATOR,SCEN1_AMOUNT,SCEN2_AMOUNT,SCEN3_AMOUNT,SCEN4_AMOUNT,SCEN5_AMOUNT,SCEN6_AMOUNT,SCEN7_AMOUNT,SCEN8_AMOUNT,SCEN9_AMOUNT,SCEN10_AMOUNT
1,8,2,Commerce,119,1,Executive Admin and Dev,1027,1,Commissioner's Office,Line 71000,Expenditure,0,    ,    ,933.7,0,0,0,0,0,0,0,0,0
2,8,2,Commerce,119,1,Executive Admin and Dev,1027,1,Commissioner's Office,Line 72000,Expenditure,0,    ,    ,47.6,0,0,0,0,0,0,0,0,0
3,8,2,Commerce,119,1,Executive Admin and Dev,1027,1,Commissioner's Office,Line 73000,Expenditure,0,    ,    ,244.1,0,0,0,0,0,0,0,0,0
4,8,2,Commerce,119,1,Executive Admin and Dev,1027,1,Commissioner's Office,Line 74000,Expenditure,0,    ,    ,28.2,0,0,0,0,0,0,0,0,0
5,8,2,Commerce,119,1,Executive Admin and Dev,1027,1,Commissioner's Office,Line 75000,Expenditure,0,    ,    ,0,0,0,0,0,0,0,0,0,0
6,8,2,Commerce,119,1,Executive Admin and Dev,1027,1,Commissioner's Office,Line 76000,Expenditure,0,    ,    ,0,0,0,0,0,0,0,0,0,0
7,8,2,Commerce,119,1,Executive Admin and Dev,1027,1,Commissioner's Office,Line 77000,Expenditure,0,    ,    ,0,0,0,0,0,0,0,0,0,0
8,8,2,Commerce,119,1,Executive Admin and Dev,1027,1,Commissioner's Office,Line 78000,Expenditure,0,    ,    ,0,0,0,0,0,0,0,0,0,0
1001,8,2,Commerce,119,1,Executive Admin and Dev,1027,1,Commissioner's Office,1001 Constitutional Budget Reserve Fund,Revenue,1001,UGF,    ,40.1,0,0,0,0,0,0,0,0,0
1004,8,2,Commerce,119,1,Executive Admin and Dev,1027,1,Commissioner's Office,1004 General Fund Receipts,Revenue,1004,UGF,    ,120.2,0,0,0,0,0,0,0,0,0
1007,8,2,Commerce,119,1,Executive Admin and Dev,1027,1,Commissioner's Office,1007 Interagency Receipts,Revenue,1007,Other,Duplicated,1093.3,0,0,0,0,0,0,0,0,0
10000,8,2,Commerce,119,1,Executive Admin and Dev,1027,1,Commissioner's Office,PFT,Position Count,0,    ,    ,5,0,0,0,0,0,0,0,0,0
12000,8,2,Commerce,119,1,Executive Admin and Dev,1027,1,Commissioner's Office,NP,Position Count,0,    ,    ,1,0,0,0,0,0,0,0,0,0
1,8,2,Commerce,119,1,Executive Admin and Dev,1028,2,Administrative Services,Line 71000,Expenditure,0,    ,    ,3548.3,0,0,0,0,0,0,0,0,0
2,8,2,Commerce,119,1,Executive Admin and Dev,1028,2,Administrative Services,Line 72000,Expenditure,0,    ,    ,13.5,0,0,0,0,0,0,0,0,0
3,8,2,Commerce,119,1,Executive Admin and Dev,1028,2,Administrative Services,Line 73000,Expenditure,0,    ,    ,801.5,0,0,0,0,0,0,0,0,0
4,8,2,Commerce,119,1,Executive Admin and Dev,1028,2,Administrative Services,Line 74000,Expenditure,0,    ,    ,41.1,0,0,0,0,0,0,0,0,0
5,8,2,Commerce,119,1,Executive Admin and Dev,1028,2,Administrative Services,Line 75000,Expenditure,0,    ,    ,5,0,0,0,0,0,0,0,0,0
6,8,2,Commerce,119,1,Executive Admin and Dev,1028,2,Administrative Services,Line 76000,Expenditure,0,    ,    ,0,0,0,0,0,0,0,0,0,0
7,8,2,Commerce,119,1,Executive Admin and Dev,1028,2,Administrative Services,Line 77000,Expenditure,0,    ,    ,0,0,0,0,0,0,0,0,0,0
8,8,2,Commerce,119,1,Executive Admin and Dev,1028,2,Administrative Services,Line 78000,Expenditure,0,    ,    ,0,0,0,0,0,0,0,0,0,0
1001,8,2,Commerce,119,1,Executive Admin and Dev,1028,2,Administrative Services,1001 Constitutional Budget Reserve Fund,Revenue,1001,UGF,    ,167,0,0,0,0,0,0,0,0,0
1004,8,2,Commerce,119,1,Executive Admin and Dev,1028,2,Administrative Services,1004 General Fund Receipts,Revenue,1004,UGF,    ,501,0,0,0,0,0,0,0,0,0
1007,8,2,Commerce,119,1,Executive Admin and Dev,1028,2,Administrative Services,1007 Interagency Receipts,Revenue,1007,Other,Duplicated,3718.2,0,0,0,0,0,0,0,0,0
