SCENARIO_ID	SCENARIO_NAME	DEPT	PROJ_ORDER	REFNUM	ALAP	PROJ_TITLE	PROJ_CAT	PROJ_TYPE	UGF_AMOUNT	DGF_AMOUNT	O_AMOUNT	F_AMOUNT	PROJ_TOTAL
4557	FY2022 Governor Amend	Commerce	1	38946	AP	Community Block Grants	Development	Life / Health / Safety	60000	0	0	6000000	6060000
4557	FY2022 Governor Amend	Commerce	2	38948	AP	National Petroleum Reserve - Alaska Impact Grant Program	Development	Life / Health / Safety	0	0	0	9100000	9100000
4557	FY2022 Governor Amend	Commerce	3	63131	AP	AMCO Enforcement Case Management and Investigations Report Writing System	Development	Information Technology / Systems / Communication	100000	100000	0	0	200000
4557	FY2022 Governor Amend	Commerce	4	63126	AP	Alaska Energy Authority -  Alaska Cargo and Cold Storage	Development	Energy	0	0	0	21000000	21000000
4557	FY2022 Governor Amend	Commerce	5	49735	AP	Alaska Energy Authority - Alternative Energy and Energy Efficiency Programs	Development	Energy	0	0	0	5000000	5000000
4557	FY2022 Governor Amend	Commerce	6	49734	AP	Alaska Energy Authority - Bulk Fuel Upgrades	Development	Energy	0	5500000	0	7500000	13000000
4557	FY2022 Governor Amend	Commerce	7	52498	AP	Alaska Energy Authority - Rural Power Systems Upgrades	Development	Energy	0	5000000	0	12500000	17500000
4557	FY2022 Governor Amend	Commerce	8	61718	AP	Alaska Travel Industry Association	Development	Research / Studies / Planning	0	5000000	0	0	5000000
4557	FY2022 Governor Amend	Commerce	9	45874	AP	Inter-Island Ferry Authority	Transportation	Economic Assistance	250000	0	0	0	250000
4557	FY2022 Governor Amend	Correct	0	63222	AP	Seven New Facility Body Scanners	General Government	Life / Health / Safety	1500000	0	0	0	1500000
4557	FY2022 Governor Amend	Correct	0	63223	AP	Point Mackenzie Correctional Farm Produce Processing Plant 	General Government	Life / Health / Safety	1500000	0	0	0	1500000
4557	FY2022 Governor Amend	Courts	0	62615	AP	Courts Statewide Deferred Maintenance	Law and Justice	Deferred Maintenance	2300000	0	0	0	2300000
4557	FY2022 Governor Amend	DOH	2	63205	AL	Ketchikan Pioneer Home HVAC Intake Damper Assembly	Health/Human Services	Energy	76500	0	0	0	76500
4557	FY2022 Governor Amend	DOH	3	63213	AL	Palmer Alaska Veterans and Pioneer Home Safety Fencing	Health/Human Services	Construction	61200	0	0	0	61200
4557	FY2022 Governor Amend	DOH	4	63218	AP	Health Information Exchange	Health/Human Services	Information Technology / Systems / Communication	480107	0	0	3600801	4080908
4557	FY2022 Governor Amend	DOH	5	63203	AP	Juneau Pioneer Home ADA-Compliant Courtyard	Health/Human Services	Construction	424000	0	0	0	424000
4557	FY2022 Governor Amend	DOH	6	42837	AP	Emergency Medical Services Match for Code Blue Project 	Health/Human Services	Equipment	500000	0	0	0	500000
4557	FY2022 Governor Amend	DOH	7	54250	AP	MH: Assistive Technology	Health/Human Services	Life / Health / Safety	0	500000	0	0	500000
4557	FY2022 Governor Amend	DOH	8	33671	AP	MH: Home Modification and Upgrades to Retain Housing	Health/Human Services	Renovation and Remodeling	0	900000	250000	0	1150000
4557	FY2022 Governor Amend	DOH	9	33670	AP	MH: Deferred Maintenance and Accessibility Improvements	Health/Human Services	Deferred Maintenance	0	250000	250000	0	500000
4557	FY2022 Governor Amend	EnvCon	1	49698	AP	Clean Water Capitalization Grant Subsidy	Health/Human Services	Water / Sewer / Solid Waste	0	0	2000000	0	2000000
4557	FY2022 Governor Amend	EnvCon	2	49697	AP	Drinking Water Capitalization Grant Subsidy	Health/Human Services	Water / Sewer / Solid Waste	0	0	5800000	0	5800000
4557	FY2022 Governor Amend	EnvCon	4	49749	AL	Village Safe Water and Wastewater Infrastructure Projects:  Expansion, Upgrade, and Replacement of Existing Service	Health/Human Services	Water / Sewer / Solid Waste	0	0	7424800	20900000	28324800
4557	FY2022 Governor Amend	EnvCon	5	49748	AL	Village Safe Water and Wastewater Infrastructure Projects:  First Time Service Projects	Health/Human Services	Water / Sewer / Solid Waste	0	0	11137200	31350000	42487200
4557	FY2022 Governor Amend	FishGm	1	48948	AP	Pacific Salmon Treaty Chinook Fishery Mitigation	Natural Resources	Research / Studies / Planning	0	0	0	7700000	7700000
4557	FY2022 Governor Amend	FishGm	1	63237	AP	2018 Sockeye Salmon Disaster - Chignik Area	Natural Resources	Research / Studies / Planning	0	0	0	2000000	2000000
4557	FY2022 Governor Amend	FishGm	2	43347	AP	Endangered Species Act - Legal and Research Needs to Protect State Right to Manage	Natural Resources	Research / Studies / Planning	1000000	0	0	3000000	4000000
