FUND_CODE	SHORT_NAME	LONG_NAME	CLASS	CODE_AND_NAME	MH_FLAG	COMMENTS	AKSAS_ACCT_ALT	ACTIVE	STAT_REF	AKSAS_FUNDS	CREATE_BY	CREATE_TIME	CHANGE_BY	CHANGE_TIME	RETAINS_INTEREST
1230	AKCW Ad Fu	Alaska Clean Water Administrative Fund	O	1230 Alaska Clean Water Administrative Fund	N	Can appropriate from Inc Acct to Admin Acct within CW Admin Fund (fund transfer language). Will be RR account 51508.	68515	Y	46.03.034	11168	CKOSULLIVAN	34:56.6	CKOSULLIVAN	06:51.3	N
1231	AKDW Ad Fu	Alaska Drinking Water Administrative Fund	O	1231 Alaska Drinking Water Administrative Fund	N	Can appropriated from Inc Acct to Admin Acct within DW Admin Fund (fund transfer language). Will be RR acct code 51509.	68515	Y	46.03.038	11171	CKOSULLIVAN	37:21.4	CKOSULLIVAN	06:59.5	N
1232	ISPF-I/A	In-state Pipeline Fund Interagency	O	1232 In-state Pipeline Fund Interagency	N	"3/14: repurposed this fund code from AKCW Income fund (not needed) to ISPF-I/A KM
Can appropriated from Inc Acct to Admin Acct within CW Admin Fund. Need to verify AKSAS accounts. 12-7-13. cko"	51511	Y		                              	CKOSULLIVAN	52:45.4	BALARSON	06:49.8	N
1233	Muni Bonds	Municipal Bond Bank Bonds	O	1233 Municipal Bond Bank Bonds	N	Need AKSAS and Statutory Ref Info	0	Y	 	0	CKOSULLIVAN	55:31.7	CKOSULLIVAN	12:26.5	N
1235	AGDC-LNG	Alaska Liquefied Natural Gas Project Fund (AGDC-LNG)	O	1235 Alaska Liquefied Natural Gas Project Fund (AGDC-LNG)	N	Established under SLA2014 SB 138 	68515	Y	AS 31.25.110	34078	TNARVAEZ1	14:53.5	TNARVAEZ1	14:38.6	N
1236	AK LNG I/A	Alaska Liquefied Natural Gas Project Fund I/A (AK LNG I/A)	O	1236 Alaska Liquefied Natural Gas Project Fund I/A (AK LNG I/A)	N	Established in SLA 2014 SB 138	51512	Y	AS 31.25.110		TNARVAEZ1	21:40.6	TNARVAEZ1	14:07.3	N
1238	VaccAssess	Vaccine Assessment Account	D	1238 Vaccine Assessment Account	N	"The Vaccine Assessment Account funding may be used to purchase vaccines for the benefit of state residents.  The legislature may appropriate to the account program receipts attributable to vaccine assessments under AS 18.09.220, money from other sources, and interest earned on money in the account. "	0	Y			WCBELKNAP	11:50.2	AMBRYAN	47:08.7	N
1237	VocSmBus	Vocational Rehabilitation Small Bus. Enterprise Revolving Fd	D	1237 Vocational Rehabilitation Small Bus. Enterprise Revolving Fd	N	9/2014 - this fund code is for Revenue from facilities on state property will. 1117 will be used for Randolf-Sheppard receipts only categorized as other dedicated receipts from vendors.  KM per LFD	68515	Y	AS 23.15.130	11116	KEMAUSETH	56:11.6	KEMAUSETH	41:09.7	N
1241	GF/LNG	General Fund/Liquefied Natural Gas	U	1241 General Fund/Liquefied Natural Gas	N	Created in FY2015 Third Special Session on Gasline for better budgetary tracking of LNG appropriations.  	51005	Y		11100	BWFECHTER	46:58.6	WCBELKNAP	56:42.3	N
1243	SBR	Statutory Budget Reserve Fund	U	1243 Statutory Budget Reserve Fund	N	1/2016 added by LFD to track SBR transfers	51005	Y			KEMAUSETH	56:18.6	WCBELKNAP	08:11.9	N
1249	Motor Fuel	Motor Fuel Tax Receipts	D	1249 Motor Fuel Tax Receipts	N	HB 60 SLA17 (pending).	0	Y			WCBELKNAP	29:56.6	KEMAUSETH	14:32.4	N
1250	Maint Cap	Maintenance and Capital Fund	U	1250 Maintenance and Capital Fund	N		61405	Y	xxx		KEMAUSETH	17:03.9	KEMAUSETH	24:41.4	N
1253	STA Bonds	Subject to Appropriation Bonds	O	1253 Subject to Appropriation Bonds	N	create by HB331 SLA2018 oil and gas tax credit bonds Brian Fechter	61405	Y	AS 37.18.030		BWFECHTER	01:05.1	JRSTERN1	29:22.7	N
1254	MET Fund	Marijuana Education and Treatment Fund	D	1254 Marijuana Education and Treatment Fund	Y	Created by SB28 SLA2018. 25% excise tax on marijuana sales to be used by DHSS for the marijuana treatment and education program.	61405	Y	AS 43.61.010(f)		BWFECHTER	37:15.5	WCBELKNAP	05:28.9	N
