scenario_id	scen_name	fiscal_year	refnum	dept_sort	dept_name	web_folder	proj_order	dept_num	apal	proj_title	trans_type	front_sect	amend	category_num	category_name	proj_type_num	proj_type_name	proj_class	bill_group	mental_health	ap_refnum	iris_ar_type	grant_type	recipient	agency_priority	beg_date	end_date	create_by	create_time	change_by	change_time	loc_location	hd	hd_name	budget	manager	manager_phone	contact	contact_phone	fed_percent	summary	comments	intent	fed_match	1002 Fed Rcpts	1003 G/F Match	1004 Gen Fund	1005 GF/Prgm	1008 G/O Bonds	1018 EVOSS	1024 Fish/Game	1026 Hwy Capitl	1027 Int Airprt	1037 GF/MH	1063 NPR Fund	1075 Clean Wtr	1092 MHTAAR	1100 ADWF	1108 Stat Desig	1112 IntAptCons	1113 AHFC Bonds	1139 AHFC Div	1140 AIDEA Div	1153 State Land	1167 NTSC Bond	1169 PCE Endow	1195 SnoMachReg	1197 AK Cap Inc	1214 WhitTunnel	1226 High Ed	1243 SBR	1265 COVID Fed	1268 MH Tr Res	1269 CSLFRF	1270 FHWA CRRSA	1275 Reapprop
4616	Final FY2022 HB69 / HB71	2022	6323	150	Department of Revenue	22_budget/Rev/Enacted/2022proj6323.pdf	11	4	AP	AHFC Supplemental Housing Development Program		N	N	8	Development	6	Construction	G	AHFC	N	0	R22K	NA  		9	7/1/2021	6/30/2026	SRWILLHOITE	6/30/2021 10:58:23.42	SRWILLHOITE	6/30/2021 10:58:23.42	Statewide	99	Statewide (HD 1-40)	CAP 	Laura Davis	9073308356	James Wiedle	9073308359		The Supplemental Housing Development Program provides funds to supplement federal Housing and Urban Development (HUD) funds to construct decent, safe, and sanitary housing through regional housing authorities. Funds are used to cover housing development costs related to water distribution, sewer hookups, electrical distribution systems, road construction to project sites, site development, and energy efficiency improvements. State laws limit the use of these funds to 20% of the United States Department of Housing and Urban Development's total development cost per unit. These funds are prohibited from being used for administrative or other costs of the housing authority.			X																		3000000														
4616	Final FY2022 HB69 / HB71	2022	6334	150	Department of Revenue	22_budget/Rev/Enacted/2022proj6334.pdf	10	4	AP	AHFC Senior Citizens Housing Development Program		N	N	8	Development	6	Construction	G	AHFC	N	0	R22J	NA  		4	7/1/2021	6/30/2026	SRWILLHOITE	6/30/2021 10:58:23.293	SRWILLHOITE	6/30/2021 10:58:23.293	Statewide	99	Statewide (HD 1-40)	CAP 	Laura Davis	9073308356	James Wiedle	9073308359		AHFC’s Senior Citizen’s Housing Development Program (SCHDP) provides grant funds to municipalities, public or private non-profit corporations, and regional housing authorities in conjunction with other agencies, for the development of senior citizen housing. The two activities funded through this program are rental housing production and accessibility modifications for senior homeowners to extend their independent living years. Funds can be used for accessibility modifications to homes owned by seniors, purchase of building sites, site preparation, materials, construction, and rehabilitation. Organizations qualified to apply include municipalities and public or private nonprofit corporations.			X																		1750000														
4616	Final FY2022 HB69 / HB71	2022	6342	150	Department of Revenue	22_budget/Rev/Enacted/2022proj6342.pdf	7	4	AP	AHFC Housing and Urban Development Capital Fund Program		N	N	8	Development	2	Renewal and Replacement	G	AHFC	N	0	R22G	NA  		6	7/1/2021	6/30/2026	SRWILLHOITE	6/30/2021 10:58:23.09	SRWILLHOITE	6/30/2021 10:58:23.09	Statewide	99	Statewide (HD 1-40)	CAP 	Laura Davis	9073308356	James Wiedle	9073308359		This Federal (HUD) grant provides Public Housing Authorities with funds each year to help build, operate, maintain, renovate or modernize public housing units. These funds have flexibility under the Moving-To-Work (MTW) program and may be used in conjunction with other MTW programs, including new housing development. This need covers the spending authority required for the amount of funds anticipated to be available this next fiscal year, including any other financial incentives that may become available as a “High Performing” public housing authority.			X	3200000																															
4616	Final FY2022 HB69 / HB71	2022	6347	150	Department of Revenue	22_budget/Rev/Enacted/2022proj6347.pdf	8	4	AP	AHFC Housing and Urban Development Federal HOME Grant		N	N	8	Development	31	Economic Assistance	G	AHFC	N	0	R22H	NA  		5	7/1/2021	6/30/2026	SRWILLHOITE	6/30/2021 10:58:23.153	SRWILLHOITE	6/30/2021 10:58:23.153	Statewide	99	Statewide (HD 1-40)	CAP 	Laura Davis	9073308356	James Wiedle	9073308359	25	The purpose of this authorization is to expand the supply of affordable, low, and moderate-income housing and to strengthen the ability of the state to design and implement strategies to achieve an adequate supply of safe, energy-efficient, and affordable housing. This program has funded 60 rental projects containing 1,071 units and rehabilitated 543 low-income homes. It has assisted another 962 low-income households to purchase homes and provided over 600 households with rental assistance to prevent homelessness.			X	4000000																	750000														
4616	Final FY2022 HB69 / HB71	2022	6348	150	Department of Revenue	22_budget/Rev/Enacted/2022proj6348.pdf	6	4	AP	AHFC Federal and Other Competitive Grants		N	N	4	Health/Human Services	34	Life / Health / Safety	G	AHFC	N	0	R22F	NA  		7	7/1/2021	6/30/2026	SRWILLHOITE	6/30/2021 10:58:23.043	SRWILLHOITE	6/30/2021 10:58:23.043	Statewide	99	Statewide (HD 1-40)	CAP 	Laura Davis	9073308356	James Wiedle	9073308359	0	The purpose of this authorization is to allow AHFC to apply for HUD, other federal agency, and private foundation grants that target the housing and supportive service needs of low-income and special needs groups such as: senior citizens, victims of human trafficking, persons with mental, physical, or developmental disabilities, or the homeless. AHFC will also apply for energy-related grants as they relate to housing. When required, AHFC will provide the needed matching funds. Some of the funds received will be passed through to local nonprofit sub-grantee organizations that deliver housing and/or services.			X	6000000																	1500000														
4616	Final FY2022 HB69 / HB71	2022	6350	150	Department of Revenue	22_budget/Rev/Enacted/2022proj6350.pdf	3	4	AP	AHFC Competitive Grants for Public Housing		N	N	4	Health/Human Services	34	Life / Health / Safety	G	AHFC	N	0	R22D	NA  		8	7/1/2021	6/30/2026	SRWILLHOITE	6/30/2021 10:58:22.793	SRWILLHOITE	6/30/2021 10:58:22.793	Statewide	99	Statewide (HD 1-40)	CAP 	Laura Davis	9073308356	James Wiedle	9073308359	0	The purpose of this authorization is to allow Alaska Housing Finance Corporation (AHFC) to apply for Department of Housing and Urban Development (HUD), other federal agency, and private foundation grants that target the housing needs of low-income and special needs groups who live in public and/or assisted housing.			X	750000																	350000														
4616	Final FY2022 HB69 / HB71	2022	6351	150	Department of Revenue	22_budget/Rev/Enacted/2022proj6351.pdf	4	4	AP	AHFC Energy Efficiency Research		N	N	8	Development	16	Energy	G	AHFC	N	0	R22C	NA  		3	7/1/2021	6/30/2026	SRWILLHOITE	6/30/2021 10:58:22.92	SRWILLHOITE	6/30/2021 10:58:22.92	Statewide	99	Statewide (HD 1-40)	CAP 	Laura Davis	9073308356	James Wiedle	9073308359	0	This project provides funding for housing construction research, analysis, and information dissemination among the housing industry and the public. Data gathering and analysis is being continually related to energy efficiency technology for homes constructed in northern building and market conditions.			X																		500000														
4616	Final FY2022 HB69 / HB71	2022	6360	150	Department of Revenue	22_budget/Rev/Enacted/2022proj6360.pdf	2	4	AP	MH: AHFC Beneficiary and Special Needs Housing		N	N	4	Health/Human Services	34	Life / Health / Safety	G	AHFC	Y	0	R22N	NA  		12	7/1/2021	6/30/2026	SRWILLHOITE	6/30/2021 10:58:22.763	SRWILLHOITE	6/30/2021 11:15:26.715	Statewide	99	Statewide (HD 1-40)	CAP 	Laura Davis	9073308359	James Wiedle	9073308359	0	The purpose of this authorization is to provide funds for Alaskan nonprofit service providers and housing developers to increase housing opportunities to Alaska Mental Health Trust beneficiaries and other special needs populations throughout Alaska. This program has developed 307 units since FY2000.			X										0			200000																0			
4616	Final FY2022 HB69 / HB71	2022	6764	160	Department of Transportation/Public Facilities	22_budget/Trans/Enacted/2022proj6764.pdf	72	25	AP*	Statewide Federal Programs		N	N	9	Transportation	6	Construction	G	NA	N	0		NA  		0	7/1/2021	6/30/2026	SRWILLHOITE	6/30/2021 10:58:24.753	LASHOOP	7/7/2021 11:06:21.383	Statewide	99	Statewide (HD 1-40)	CAP 			Dom Pannone	9074652956		Capital project requests in support of statewide programs.	See project allocations for detailed project descriptions. 		X	58260012		33858												10000000																	
4616	Final FY2022 HB69 / HB71	2022	6854	130	Department of Natural Resources	22_budget/DNR/Enacted/2022proj6854.pdf	10	10	AP	National Recreational Trails Federal Grant Program		N	N	5	Natural Resources	39	Parks / Recreation	G	NA	N	0	NH73	NA  		14	7/1/2021	6/30/2026	SRWILLHOITE	6/30/2021 10:58:20.56	LASHOOP	7/7/2021 10:44:41.14	Statewide	99	Statewide (HD 1-40)	CAP 	Ricky Gease	9072698701	Cheri Lowenstein	9074652422	0	The National Recreational Trails Federal Grant Program provides grants to government and community organizations for trail development and improvement projects statewide.			X	1500000			100000																												
