1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,,,Admin,,,,,,,,Revenue,,Designated General Funds,,0,,,,,,,,
,,,Admin,,,,,,,,Revenue,,Unrestricted General Funds,,12470,,,,,,,,
,,,Admin,,,,,,,,Revenue,,Other Funds,,6176.4,,,,,,,,
,,,Admin,,,,,,,,Revenue,,Federal Funds,,0,,,,,,,,
,,,"Community, Commerce & Economic Dev",,,,,,,,Revenue,,Designated General Funds,,15500,,,,,,,,
,,,"Community, Commerce & Economic Dev",,,,,,,,Revenue,,Unrestricted General Funds,,3590.3,,,,,,,,
,,,"Community, Commerce & Economic Dev",,,,,,,,Revenue,,Other Funds,,3100,,,,,,,,
,,,"Community, Commerce & Economic Dev",,,,,,,,Revenue,,Federal Funds,,39100,,,,,,,,
,,,Corrections,,,,,,,,Revenue,,Designated General Funds,,0,,,,,,,,
,,,Corrections,,,,,,,,Revenue,,Unrestricted General Funds,,1310,,,,,,,,
,,,Corrections,,,,,,,,Revenue,,Other Funds,,0,,,,,,,,
,,,Corrections,,,,,,,,Revenue,,Federal Funds,,0,,,,,,,,
,,,Courts,,,,,,,,Revenue,,Designated General Funds,,1551.2,,,,,,,,
,,,Courts,,,,,,,,Revenue,,Unrestricted General Funds,,1551.1,,,,,,,,
,,,Courts,,,,,,,,Revenue,,Other Funds,,0,,,,,,,,
,,,Courts,,,,,,,,Revenue,,Federal Funds,,0,,,,,,,,
,,,Environmental Conservation,,,,,,,,Revenue,,Designated General Funds,,0,,,,,,,,
,,,Environmental Conservation,,,,,,,,Revenue,,Unrestricted General Funds,,12080,,,,,,,,
,,,Environmental Conservation,,,,,,,,Revenue,,Other Funds,,4000,,,,,,,,
,,,Environmental Conservation,,,,,,,,Revenue,,Federal Funds,,58250,,,,,,,,
,,,Fish & Game,,,,,,,,Revenue,,Designated General Funds,,500,,,,,,,,
,,,Fish & Game,,,,,,,,Revenue,,Unrestricted General Funds,,1000,,,,,,,,
,,,Fish & Game,,,,,,,,Revenue,,Other Funds,,4640,,,,,,,,
,,,Fish & Game,,,,,,,,Revenue,,Federal Funds,,20500,,,,,,,,
,,,Governor's Office,,,,,,,,Revenue,,Designated General Funds,,30000,,,,,,,,
,,,Governor's Office,,,,,,,,Revenue,,Unrestricted General Funds,,0,,,,,,,,
,,,Governor's Office,,,,,,,,Revenue,,Other Funds,,0,,,,,,,,
,,,Governor's Office,,,,,,,,Revenue,,Federal Funds,,0,,,,,,,,
,,,Health and Social Services,,,,,,,,Revenue,,Designated General Funds,,3949.3,,,,,,,,
,,,Health and Social Services,,,,,,,,Revenue,,Unrestricted General Funds,,2050,,,,,,,,
,,,Health and Social Services,,,,,,,,Revenue,,Other Funds,,850,,,,,,,,
,,,Health and Social Services,,,,,,,,Revenue,,Federal Funds,,0,,,,,,,,
,,,Labor,,,,,,,,Revenue,,Designated General Funds,,185,,,,,,,,
,,,Labor,,,,,,,,Revenue,,Unrestricted General Funds,,447.4,,,,,,,,
,,,Labor,,,,,,,,Revenue,,Other Funds,,0,,,,,,,,
,,,Labor,,,,,,,,Revenue,,Federal Funds,,0,,,,,,,,
,,,Military & Veterans Affairs,,,,,,,,Revenue,,Designated General Funds,,5799.5,,,,,,,,
,,,Military & Veterans Affairs,,,,,,,,Revenue,,Unrestricted General Funds,,3981.8,,,,,,,,
,,,Military & Veterans Affairs,,,,,,,,Revenue,,Other Funds,,0,,,,,,,,
,,,Military & Veterans Affairs,,,,,,,,Revenue,,Federal Funds,,6620,,,,,,,,
,,,Natural Resources,,,,,,,,Revenue,,Designated General Funds,,1500,,,,,,,,
,,,Natural Resources,,,,,,,,Revenue,,Unrestricted General Funds,,4885.9,,,,,,,,
,,,Natural Resources,,,,,,,,Revenue,,Other Funds,,6305.6,,,,,,,,
,,,Natural Resources,,,,,,,,Revenue,,Federal Funds,,20536.8,,,,,,,,
,,,Public Safety,,,,,,,,Revenue,,Designated General Funds,,0,,,,,,,,
,,,Public Safety,,,,,,,,Revenue,,Unrestricted General Funds,,1290,,,,,,,,
,,,Public Safety,,,,,,,,Revenue,,Other Funds,,0,,,,,,,,
,,,Public Safety,,,,,,,,Revenue,,Federal Funds,,1100,,,,,,,,
,,,Revenue,,,,,,,,Revenue,,Designated General Funds,,0,,,,,,,,
,,,Revenue,,,,,,,,Revenue,,Unrestricted General Funds,,16950,,,,,,,,
,,,Revenue,,,,,,,,Revenue,,Other Funds,,1750,,,,,,,,
,,,Revenue,,,,,,,,Revenue,,Federal Funds,,13250,,,,,,,,
,,,Transportation,,,,,,,,Revenue,,Designated General Funds,,16500,,,,,,,,
,,,Transportation,,,,,,,,Revenue,,Unrestricted General Funds,,71532.8,,,,,,,,
,,,Transportation,,,,,,,,Revenue,,Other Funds,,53000,,,,,,,,
,,,Transportation,,,,,,,,Revenue,,Federal Funds,,875975.2,,,,,,,,
,,,University,,,,,,,,Revenue,,Designated General Funds,,0,,,,,,,,
,,,University,,,,,,,,Revenue,,Unrestricted General Funds,,2500,,,,,,,,
,,,University,,,,,,,,Revenue,,Other Funds,,0,,,,,,,,
,,,University,,,,,,,,Revenue,,Federal Funds,,16500,,,,,,,,
