FUND_CODE		SHORT_NAME	LONG_NAME	CLASS			MH_FLAG	COMMENTS	AKSAS_ACCT_ALT	ACTIVE	STAT_REF	AKSAS_FUNDS	CREATE_BY	CREATE_TIME	CHANGE_BY	CHANGE_TIME	RETAINS_INTEREST
1230	|1230|	AKCW Ad Fu	Alaska Clean Water Administrative Fund	O	1230 Alaska Clean Water Administrative Fund	"csv_find_replace_column(""1230 AKCW Ad Fu"",""1230 Alaska Clean Water Administrative Fund"", fund_column)"	N	Can appropriate from Inc Acct to Admin Acct within CW Admin Fund (fund transfer language). Will be RR account 51508.	68515	Y	46.03.034	11168	CKOSULLIVAN	34:56.6	CKOSULLIVAN	06:51.3	N
1231	|1231|	AKDW Ad Fu	Alaska Drinking Water Administrative Fund	O	1231 Alaska Drinking Water Administrative Fund	"csv_find_replace_column(""1231 AKDW Ad Fu"",""1231 Alaska Drinking Water Administrative Fund"", fund_column)"	N	Can appropriated from Inc Acct to Admin Acct within DW Admin Fund (fund transfer language). Will be RR acct code 51509.	68515	Y	46.03.038	11171	CKOSULLIVAN	37:21.4	CKOSULLIVAN	06:59.5	N
1232	|1232|	ISPF-I/A	In-state Pipeline Fund Interagency	O	1232 In-state Pipeline Fund Interagency	"csv_find_replace_column(""1232 ISPF-I/A"",""1232 In-state Pipeline Fund Interagency"", fund_column)"	N	"3/14: repurposed this fund code from AKCW Income fund (not needed) to ISPF-I/A KM
Can appropriated from Inc Acct to Admin Acct within CW Admin Fund. Need to verify AKSAS accounts. 12-7-13. cko"	51511	Y		                              	CKOSULLIVAN	52:45.4	BALARSON	06:49.8	N
1233	|1233|	Muni Bonds	Municipal Bond Bank Bonds	O	1233 Municipal Bond Bank Bonds	"csv_find_replace_column(""1233 Muni Bonds"",""1233 Municipal Bond Bank Bonds"", fund_column)"	N	Need AKSAS and Statutory Ref Info	0	Y	 	0	CKOSULLIVAN	55:31.7	CKOSULLIVAN	12:26.5	N
1235	|1235|	AGDC-LNG	Alaska Liquefied Natural Gas Project Fund (AGDC-LNG)	O	1235 Alaska Liquefied Natural Gas Project Fund (AGDC-LNG)	"csv_find_replace_column(""1235 AGDC-LNG"",""1235 Alaska Liquefied Natural Gas Project Fund (AGDC-LNG)"", fund_column)"	N	Established under SLA2014 SB 138 	68515	Y	AS 31.25.110	34078	TNARVAEZ1	14:53.5	TNARVAEZ1	14:38.6	N
1236	|1236|	AK LNG I/A	Alaska Liquefied Natural Gas Project Fund I/A (AK LNG I/A)	O	1236 Alaska Liquefied Natural Gas Project Fund I/A (AK LNG I/A)	"csv_find_replace_column(""1236 AK LNG I/A"",""1236 Alaska Liquefied Natural Gas Project Fund I/A (AK LNG I/A)"", fund_column)"	N	Established in SLA 2014 SB 138	51512	Y	AS 31.25.110		TNARVAEZ1	21:40.6	TNARVAEZ1	14:07.3	N
1238	|1238|	VaccAssess	Vaccine Assessment Account	D	1238 Vaccine Assessment Account	"csv_find_replace_column(""1238 VaccAssess"",""1238 Vaccine Assessment Account"", fund_column)"	N	"The Vaccine Assessment Account funding may be used to purchase vaccines for the benefit of state residents.  The legislature may appropriate to the account program receipts attributable to vaccine assessments under AS 18.09.220, money from other sources, and interest earned on money in the account. "	0	Y			WCBELKNAP	11:50.2	AMBRYAN	47:08.7	N
1237	|1237|	VocSmBus	Vocational Rehabilitation Small Bus. Enterprise Revolving Fd	D	1237 Vocational Rehabilitation Small Bus. Enterprise Revolving Fd	"csv_find_replace_column(""1237 VocSmBus"",""1237 Vocational Rehabilitation Small Bus. Enterprise Revolving Fd"", fund_column)"	N	9/2014 - this fund code is for Revenue from facilities on state property will. 1117 will be used for Randolf-Sheppard receipts only categorized as other dedicated receipts from vendors.  KM per LFD	68515	Y	AS 23.15.130	11116	KEMAUSETH	56:11.6	KEMAUSETH	41:09.7	N
1241	|1241|	GF/LNG	General Fund/Liquefied Natural Gas	U	1241 General Fund/Liquefied Natural Gas	"csv_find_replace_column(""1241 GF/LNG"",""1241 General Fund/Liquefied Natural Gas"", fund_column)"	N	Created in FY2015 Third Special Session on Gasline for better budgetary tracking of LNG appropriations.  	51005	Y		11100	BWFECHTER	46:58.6	WCBELKNAP	56:42.3	N
1243	|1243|	SBR	Statutory Budget Reserve Fund	U	1243 Statutory Budget Reserve Fund	"csv_find_replace_column(""1243 SBR"",""1243 Statutory Budget Reserve Fund"", fund_column)"	N	1/2016 added by LFD to track SBR transfers	51005	Y			KEMAUSETH	56:18.6	WCBELKNAP	08:11.9	N
1249	|1249|	Motor Fuel	Motor Fuel Tax Receipts	D	1249 Motor Fuel Tax Receipts	"csv_find_replace_column(""1249 Motor Fuel"",""1249 Motor Fuel Tax Receipts"", fund_column)"	N	HB 60 SLA17 (pending).	0	Y			WCBELKNAP	29:56.6	KEMAUSETH	14:32.4	N
1250	|1250|	Maint Cap	Maintenance and Capital Fund	U	1250 Maintenance and Capital Fund	"csv_find_replace_column(""1250 Maint Cap"",""1250 Maintenance and Capital Fund"", fund_column)"	N		61405	Y	xxx		KEMAUSETH	17:03.9	KEMAUSETH	24:41.4	N
1253	|1253|	STA Bonds	Subject to Appropriation Bonds	O	1253 Subject to Appropriation Bonds	"csv_find_replace_column(""1253 STA Bonds"",""1253 Subject to Appropriation Bonds"", fund_column)"	N	create by HB331 SLA2018 oil and gas tax credit bonds Brian Fechter	61405	Y	AS 37.18.030		BWFECHTER	01:05.1	JRSTERN1	29:22.7	N
1254	|1254|	MET Fund	Marijuana Education and Treatment Fund	D	1254 Marijuana Education and Treatment Fund	"csv_find_replace_column(""1254 MET Fund"",""1254 Marijuana Education and Treatment Fund"", fund_column)"	Y	Created by SB28 SLA2018. 25% excise tax on marijuana sales to be used by DHSS for the marijuana treatment and education program.	61405	Y	AS 43.61.010(f)		BWFECHTER	37:15.5	WCBELKNAP	05:28.9	N
1255	|1255|	Invest	Securities Investor Education and Training Fund	D	1255 Securities Investor Education and Training Fund	"csv_find_replace_column(""1255 Invest"",""1255 Securities Investor Education and Training Fund"", fund_column)"	N		61405	Y	AS 45.56.625		BWFECHTER	23:41.2	WCBELKNAP	05:24.9	N
1256	|1256|	Ed Endow	Education Endowment Fund	O	1256 Education Endowment Fund	"csv_find_replace_column(""1256 Ed Endow"",""1256 Education Endowment Fund"", fund_column)"	N	Created by HB213 SLA2018. Allows 25% of the proceeds from money donated under the PFD raffle program plus earnings to be appropriated to this fund.	61405	Y	AS 43.23.063		JRSTERN1	31:13.6	BWFECHTER	12:21.0	N
1257	|1257|	Div Raffle	Dividend Raffle Fund	O	1257 Dividend Raffle Fund	"csv_find_replace_column(""1257 Div Raffle"",""1257 Dividend Raffle Fund"", fund_column)"	N	Dividend Raffle fund no appropriations out	61405	Y			JRSTERN1	33:36.2	WCBELKNAP	05:04.1	N
1261	|1261|	Shared Tax	Shared Taxes	D	1261 Shared Taxes	"csv_find_replace_column(""1261 Shared Tax"",""1261 Shared Taxes"", fund_column)"	N	Tracking code for shared taxes appropriations created by LFD 3/29/2019	61405	Y			NASTEININGER	47:04.0	NASTEININGER	48:10.9	N
1262	|1262|	StatPFRoy	Non-mandatory Royalty Deposits to the Permanent Fund	D	1262 Non-mandatory Royalty Deposits to the Permanent Fund	"csv_find_replace_column(""1262 StatPFRoy"",""1262 Non-mandatory Royalty Deposits to the Permanent Fund"", fund_column)"	N		61405	Y			SRWILLHOITE	31:01.5	BWFECHTER	53:08.8	Y
1251	|1251|	Non-UGF	Non-UGF (Leg Fiscal Note System Only)	O	1251 Non-UGF (Leg Fiscal Note System Only)	"csv_find_replace_column(""1251 Non-UGF"",""1251 Non-UGF (Leg Fiscal Note System Only)"", fund_column)"	N	"Created for import of fiscal note data into change records, not to be used outside of that."	61405	Y			WCBELKNAP	43:11.9	WCBELKNAP	44:07.1	N
1252	|1252|	DGF Temp	DGF Temp (Leg Fiscal Note System)	D	1252 DGF Temp (Leg Fiscal Note System)	"csv_find_replace_column(""1252 DGF Temp"",""1252 DGF Temp (Leg Fiscal Note System)"", fund_column)"	N	Added to import Leg Finance fiscal note system data. wcb 3/10/20	61405	Y			WCBELKNAP	52:34.2	WCBELKNAP	52:49.6	N
1264	|1264|	MET Alt	MET Alt	D	1264 MET Alt	"csv_find_replace_column(""1264 MET Alt"",""1264 MET Alt"", fund_column)"	N	Added during FY21 CC import from Legfin wcb	61405	Y			WCBELKNAP	34:18.0	WCBELKNAP	37:16.1	N
