SCENARIO_ID	SCENARIO_NAME	DEPT	PROJ_ORDER	REFNUM	ALAP	PROJ_TITLE	PROJ_CAT	PROJ_TYPE	UGF_AMOUNT	DGF_AMOUNT	O_AMOUNT	F_AMOUNT	PROJ_TOTAL
4616	Final FY2022 HB69 / HB71	Commerce	1	38946	AP	Community Block Grants	Development	Life / Health / Safety	60000	0	0	6000000	6060000
4616	Final FY2022 HB69 / HB71	Commerce	2	38948	AP	National Petroleum Reserve - Alaska Impact Grant Program	Development	Life / Health / Safety	0	0	0	9100000	9100000
4616	Final FY2022 HB69 / HB71	Commerce	3	63131	AP	AMCO Enforcement Case Management and Investigations Report Writing System	Development	Information Technology / Systems / Communication	100000	100000	0	0	200000
4616	Final FY2022 HB69 / HB71	Commerce	4	63126	AP	Alaska Energy Authority -  Alaska Cargo and Cold Storage	Development	Energy	0	0	0	21000000	21000000
4616	Final FY2022 HB69 / HB71	Commerce	5	49735	AP	Alaska Energy Authority - Alternative Energy and Energy Efficiency Programs	Development	Energy	0	0	0	5000000	5000000
4616	Final FY2022 HB69 / HB71	Commerce	6	49734	AP	Alaska Energy Authority - Bulk Fuel Upgrades	Development	Energy	5500000	0	0	7500000	13000000
4616	Final FY2022 HB69 / HB71	Commerce	7	52498	AP	Alaska Energy Authority - Rural Power Systems Upgrades	Development	Energy	5000000	0	0	12500000	17500000
4616	Final FY2022 HB69 / HB71	Commerce	8	56220	AP	West Susitna Road Access	Development	Construction	8500000	0	0	0	8500000
4616	Final FY2022 HB69 / HB71	Commerce	12	45874	AP	Inter-Island Ferry Authority	Transportation	Economic Assistance	250000	0	0	0	250000
4616	Final FY2022 HB69 / HB71	Commerce	13	63467	AP	Chevak School Fire Remediation	Development	Economic Assistance	2500000	0	0	0	2500000
4616	Final FY2022 HB69 / HB71	Commerce	14	63461	AP	Voice of the Arctic Inupiat	General Government	Construction	1000000	0	0	0	1000000
4616	Final FY2022 HB69 / HB71	Commerce	15	63746	AP	Anchorage - Energy Burden Mapping	Development	Renewal and Replacement	25000	0	0	0	25000
4616	Final FY2022 HB69 / HB71	Commerce	16	63440	AP	Matanuska-Susitna Borough - Pavement Rehab Through Mat Su Population Corridor	Development	Research / Studies / Planning	10000000	0	0	0	10000000
4616	Final FY2022 HB69 / HB71	Commerce	17	41959	AP	Matanuska-Susitna Borough - Arctic Winter Games	Development	Economic Assistance	1000000	0	0	0	1000000
4616	Final FY2022 HB69 / HB71	Correct	2	63223	AP	Point Mackenzie Correctional Farm Produce Processing Plant 	General Government	Life / Health / Safety	1500000	0	0	0	1500000
4616	Final FY2022 HB69 / HB71	Courts	1	62615	AP	Courts Statewide Deferred Maintenance	Law and Justice	Deferred Maintenance	2300000	0	0	0	2300000
4616	Final FY2022 HB69 / HB71	E&ED	1	63272	AP	Houston Middle School Replacement	Education	Education	9000000	0	0	0	9000000
4616	Final FY2022 HB69 / HB71	EnvCon	1	49698	AP	Clean Water Capitalization Grant Subsidy	Health/Human Services	Water / Sewer / Solid Waste	0	0	2000000	0	2000000
4616	Final FY2022 HB69 / HB71	EnvCon	2	49697	AP	Drinking Water Capitalization Grant Subsidy	Health/Human Services	Water / Sewer / Solid Waste	0	0	5800000	0	5800000
4616	Final FY2022 HB69 / HB71	EnvCon	4	49749	AL	Village Safe Water and Wastewater Infrastructure Projects:  Expansion, Upgrade, and Replacement of Existing Service	Health/Human Services	Water / Sewer / Solid Waste	7224800	0	200000	20900000	28324800
4616	Final FY2022 HB69 / HB71	EnvCon	5	49748	AL	Village Safe Water and Wastewater Infrastructure Projects:  First Time Service Projects	Health/Human Services	Water / Sewer / Solid Waste	10837200	0	300000	31350000	42487200
4616	Final FY2022 HB69 / HB71	FishGm	1	63237	AP	2018 Sockeye Salmon Disaster - Chignik Area	Natural Resources	Research / Studies / Planning	0	0	0	2000000	2000000
4616	Final FY2022 HB69 / HB71	FishGm	3	63239	AP	Pacific Cod Disaster Funding - 2018 Gulf of Alaska	Natural Resources	Research / Studies / Planning	0	0	0	1000000	1000000
4616	Final FY2022 HB69 / HB71	FishGm	4	43347	AP	Endangered Species Act - Legal and Research Needs to Protect State Right to Manage	Natural Resources	Research / Studies / Planning	2250000	0	0	3000000	5250000
4616	Final FY2022 HB69 / HB71	FishGm	5	62863	AP	Copper River Boat Launch Facilities Improvements	Transportation	Parks / Recreation	0	0	165000	0	165000
4616	Final FY2022 HB69 / HB71	FishGm	6	43322	AP	Facilities, Vessels and Aircraft Maintenance, Repair and Upgrades	Natural Resources	Renewal and Replacement	0	500000	0	0	500000
4616	Final FY2022 HB69 / HB71	FishGm	7	33647	AP	Pacific Coastal Salmon Recovery Fund	Natural Resources	Research / Studies / Planning	0	0	0	4400000	4400000
4616	Final FY2022 HB69 / HB71	FishGm	8	30432	AP	Sport Fish Recreational Boating and Angler Access	Natural Resources	Construction	0	0	750000	2250000	3000000
4616	Final FY2022 HB69 / HB71	Gov	1	62700	AP	Statewide Deferred Maintenance, Renovation, and Repair	General Government	Deferred Maintenance	0	49000000	0	0	49000000
4616	Final FY2022 HB69 / HB71	Gov	2	63320	AP	2020 Ballot Measure Number 2 Implementation	General Government	Information Technology / Systems / Communication	803600	0	0	0	803600
4616	Final FY2022 HB69 / HB71	H&SS	3	63218	AP	Health Information Exchange	Health/Human Services	Information Technology / Systems / Communication	480107	0	0	3600801	4080908
4616	Final FY2022 HB69 / HB71	H&SS	4	42837	AP	Emergency Medical Services Match for Code Blue Project 	Health/Human Services	Equipment	500000	0	0	0	500000
4616	Final FY2022 HB69 / HB71	H&SS	5	63217	AP	Fairbanks Youth Facility	Health/Human Services	Construction	0	0	18986720	0	18986720
4616	Final FY2022 HB69 / HB71	H&SS	7	63205	AL	Ketchikan Pioneer Home HVAC Intake Damper Assembly	Health/Human Services	Energy	76500	0	0	0	76500
4616	Final FY2022 HB69 / HB71	H&SS	8	63213	AL	Palmer Alaska Veterans and Pioneer Home Safety Fencing	Health/Human Services	Construction	61200	0	0	0	61200
4616	Final FY2022 HB69 / HB71	H&SS	9	63262	AL	Palmer Alaska Veterans' and Pioneers Home Roof Replacement	Health/Human Services	Construction	2268000	0	0	3250000	5518000
4616	Final FY2022 HB69 / HB71	H&SS	10	63203	AL	Juneau Pioneer Home ADA-Compliant Courtyard	Health/Human Services	Construction	424000	0	0	0	424000
4616	Final FY2022 HB69 / HB71	H&SS	12	33671	AP	MH: Home Modification and Upgrades to Retain Housing	Health/Human Services	Renovation and Remodeling	0	0	250000	0	250000
4616	Final FY2022 HB69 / HB71	H&SS	13	33670	AP	MH: Deferred Maintenance and Accessibility Improvements	Health/Human Services	Deferred Maintenance	0	0	250000	0	250000
4616	Final FY2022 HB69 / HB71	Law	1	63269	AP	Prosecutor Recruitment and Housing to Address Sexual Assault and Sexual Abuse of a Minor Case Backlog	Law and Justice	Life / Health / Safety	4000000	0	0	0	4000000
4616	Final FY2022 HB69 / HB71	M&VA	1	63236	AP	Kotzebue Tarmac Repair and Maintenance 	Public Protection	Life / Health / Safety	4812500	0	0	387500	5200000
4616	Final FY2022 HB69 / HB71	M&VA	2	62827	AP	Mass Notification System - Joint Base Elmendorf Richardson (JBER)	Public Protection	Life / Health / Safety	2500000	0	0	2500000	5000000
4616	Final FY2022 HB69 / HB71	M&VA	3	63235	AP	Joint Base Elmendorf Richardson (JBER) Digital Control, Generator, and Preventative Maintenance	Public Protection	Deferred Maintenance	3812500	0	0	4037500	7850000
4616	Final FY2022 HB69 / HB71	M&VA	4	61869	AP	State Homeland Security Grant Programs	Public Protection	Life / Health / Safety	0	0	0	7500000	7500000
4616	Final FY2022 HB69 / HB71	NatRes	1	63141	AP	Agriculture Specialty Crop Block Grant	Natural Resources	Life / Health / Safety	0	0	0	4500000	4500000
4616	Final FY2022 HB69 / HB71	NatRes	2	61849	AP	Critical Minerals Mapping - Earth MRI (3DEEP)	Natural Resources	Research / Studies / Planning	500000	0	200000	1500000	2200000
