SCENARIO_ID	SCENARIO_NAME	DEPT	PROJ_ORDER	REFNUM	ALAP	PROJ_TITLE	PROJ_CAT	PROJ_TYPE	UGF_AMOUNT	DGF_AMOUNT	O_AMOUNT	F_AMOUNT	PROJ_TOTAL
4517	FY2022 Governor	Commerce	1	38946	AP	Community Block Grants	Development	Life / Health / Safety	60000	0	0	6000000	6060000
4517	FY2022 Governor	Commerce	2	38948	AP	National Petroleum Reserve - Alaska Impact Grant Program	Development	Life / Health / Safety	0	0	0	9100000	9100000
4517	FY2022 Governor	Commerce	3	63131	AP	AMCO Enforcement Case Management and Investigations Report Writing System	Development	Information Technology / Systems / Communication	100000	100000	0	0	200000
4517	FY2022 Governor	Commerce	4	63126	AP	Alaska Energy Authority -  Alaska Cargo and Cold Storage	Development	Energy	0	0	0	21000000	21000000
4517	FY2022 Governor	Commerce	5	49735	AP	Alaska Energy Authority - Alternative Energy and Energy Efficiency Programs	Development	Energy	0	0	0	5000000	5000000
4517	FY2022 Governor	Commerce	6	49734	AP	Alaska Energy Authority - Bulk Fuel Upgrades	Development	Energy	0	5500000	0	7500000	13000000
4517	FY2022 Governor	Commerce	7	52498	AP	Alaska Energy Authority - Rural Power Systems Upgrades	Development	Energy	0	5000000	0	12500000	17500000
4517	FY2022 Governor	Commerce	8	61718	AP	Alaska Travel Industry Association	Development	Research / Studies / Planning	0	5000000	0	0	5000000
4517	FY2022 Governor	Commerce	9	45874	AP	Inter-Island Ferry Authority	Transportation	Economic Assistance	250000	0	0	0	250000
4517	FY2022 Governor	Correct	0	63222	AP	Seven New Facility Body Scanners	General Government	Life / Health / Safety	1500000	0	0	0	1500000
4517	FY2022 Governor	Correct	0	63223	AP	Point Mackenzie Correctional Farm Produce Processing Plant 	General Government	Life / Health / Safety	1500000	0	0	0	1500000
4517	FY2022 Governor	Courts	0	62615	AP	Courts Statewide Deferred Maintenance	Law and Justice	Deferred Maintenance	2300000	0	0	0	2300000
4517	FY2022 Governor	EnvCon	1	49698	AP	Clean Water Capitalization Grant Subsidy	Health/Human Services	Water / Sewer / Solid Waste	0	0	2000000	0	2000000
4517	FY2022 Governor	EnvCon	2	49697	AP	Drinking Water Capitalization Grant Subsidy	Health/Human Services	Water / Sewer / Solid Waste	0	0	5800000	0	5800000
4517	FY2022 Governor	EnvCon	4	49749	AL	Village Safe Water and Wastewater Infrastructure Projects:  Expansion, Upgrade, and Replacement of Existing Service	Health/Human Services	Water / Sewer / Solid Waste	0	0	9638000	20900000	30538000
