scenario_id	scen_name	fiscal_year	refnum	dept_sort	dept_name	proj_order	dept_num	apal	proj_title	trans_type	front_sect	amend	category_num	category_name	proj_type_num	proj_type_name	proj_class	bill_group	mental_health	ap_refnum	iris_ar_type	grant_type	recipient	agency_priority	om_100_bef	om_200_bef	om_300_bef	om_400_bef	om_500_bef	om_600_bef	om_700_bef	om_800_bef	om_startup	om_100_aft	om_200_aft	om_300_aft	om_400_aft	om_500_aft	om_600_aft	om_700_aft	om_800_aft	pft_bef	ppt_bef	tmp_bef	pft_new	ppt_new	tmp_new	beg_date	end_date	tic_tac_status	create_by	create_time	change_by	change_time	location	hd	hd_name	budget	manager	manager_phone	contact	contact_phone	fed_percent	summary	comments	intent	fed_match	1002 Fed Rcpts	1003 G/F Match	1004 Gen Fund	1005 GF/Prgm	1018 EVOSS	1024 Fish/Game	1026 Hwy Capitl	1027 Int Airprt	1037 GF/MH	1063 NPR Fund	1075 Clean Wtr	1092 MHTAAR	1100 ADWF	1108 Stat Desig	1112 IntAptCons	1113 AHFC Bonds	1139 AHFC Div	1153 State Land	1169 PCE Endow	1197 AK Cap Inc	1200 VehRntlTax	1214 WhitTunnel	1268 MH Tr Res	Non Funded Appropriations
4557	FY2022 Governor Amend	2022	38946	20	Department of Commerce, Community, and Economic Development	1	8	AP	Community Block Grants		N	N	8	Development	34	Life / Health / Safety	G	NA	N	0	DF00	NA  	Various	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/1/2021	6/30/2027	NA	SRWILLHOITE	2/16/2021 17:16:20.457	SRWILLHOITE	2/16/2021 17:16:20.457	Statewide	99	Statewide (HD 1-40)	CAP 			Micaela Fowler	9074652506		Community Block Grants encompass multiple federally funded programs, enabling the Department of Commerce, Community and Economic Development (DCCED) to provide grants to communities and non-profits that provide services and/or benefits for low to moderate income individuals.  			X	6000000	60000																						
4557	FY2022 Governor Amend	2022	38948	20	Department of Commerce, Community, and Economic Development	2	8	AP	National Petroleum Reserve - Alaska Impact Grant Program		Y	N	8	Development	34	Life / Health / Safety	G	NA	N	0		NA  	Various	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/1/2021	6/30/2026	NA	SRWILLHOITE	2/16/2021 17:16:23.263	SRWILLHOITE	2/16/2021 17:16:23.263	North Slope Borough	40	Arctic (HD 40)	CAP 			Micaela Fowler	9074652506	0	The National Petroleum Reserve - Alaska (NPR-A) program provides grants to communities for public facilities and services. Priority is given to those communities directly or severely impacted by the leases and development of oil and gas within the NPR-A. Funding comes from the federal government as a share of the funds received on leases issued within NPR-A. The project total amount is based on an estimate for FY2021 revenues. 	Approved for grant under National Petroleum Reserve-Alaska Impact Grant Program under AS 37.05.530(a). 		X										9100000														
4557	FY2022 Governor Amend	2022	63131	20	Department of Commerce, Community, and Economic Development	3	8	AP	AMCO Enforcement Case Management and Investigations Report Writing System		N	N	8	Development	36	Information Technology / Systems / Communication	O	NA	N	0		NA  		0	0	0	0	0	0	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	0	7/1/2021	6/30/2026	NA	SRWILLHOITE	2/16/2021 17:16:15.97	SRWILLHOITE	2/16/2021 17:16:15.97	Statewide	99	Statewide (HD 1-40)	CAP 	Glen Klinkhart	9072690350	Micaela Fowler	9074652506	0	"The Alcohol and Marijuana Control Office (AMCO) does not currently have an enforcement case management or investigative system. AMCO’s enforcement team manages both regulatory (non-criminal) and criminal investigations, and requires a software application to track cases, store documents and digital evidence, and generate reports.

This software will be funded 50% by marijuana licensing receipts and 50% by general funds to support the alcohol portion of the project."	AMCO previously used the Department of Public Safety's ARMS database for case management, but access to that system is no longer available. Since that system became unavailable, AMCO has used a combination of paper tracking and spreadsheet monitoring, but does not have an alternative for a case management system.		X			100000	100000																				
4557	FY2022 Governor Amend	2022	63126	20	Department of Commerce, Community, and Economic Development	4	8	AP	Alaska Energy Authority -  Alaska Cargo and Cold Storage		N	N	8	Development	16	Energy	O	NA	N	0		NA  		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/1/2021	6/30/2026	NA	SRWILLHOITE	2/16/2021 17:16:15.72	SRWILLHOITE	2/16/2021 17:16:15.72	Statewide	99	Statewide (HD 1-40)	CAP 			Curtis Thayer	9077713000	0	The Alaska Energy Authority and Alaska Cargo and Cold Storage (ACCS) are partnering to construct a cargo storage and warehouse facility at the Ted Steven Anchorage International Airport. Through this partnership, ACCS will develop a state-of-the art facility that is exceptionally energy efficient by maximizing available renewable and energy efficient technologies. This project request is funded with federal United States Department of Energy funds through the Better Utilizing Investments to Leverage Development (BUILD) grant. 	No state match is required.		X	21000000																							
4557	FY2022 Governor Amend	2022	49735	20	Department of Commerce, Community, and Economic Development	5	8	AP	Alaska Energy Authority - Alternative Energy and Energy Efficiency Programs		N	N	8	Development	16	Energy	G	NA	N	0	D005	NA  		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/1/2021	6/30/2026		SRWILLHOITE	2/16/2021 17:16:15.75	SRWILLHOITE	2/16/2021 17:16:15.75	Statewide	99	Statewide (HD 1-40)	CAP 	Kirk Warren	9077713000	Curtis Thayer	9077713000	20	This project is for the development of alternative energy research, resource assessments, feasibility studies, regulatory and permitting issues, outreach, stakeholder involvement and other project development needs for alternative energy and energy efficiency programs. This is a request for federal receipt authority only; match is not requested at this time. 	"The ability to receive federal funding from AEA’s federal partners such as, but not limited to the Denali Commission, USDOE, and USDA, is imperative for the continued development of alternative energy fields specific to Alaska.
The alternative energy work conducted with these funds strongly supports the success of the Renewable Energy Fund and supports achieving the 50% renewable energy goal as well as the 25% reduction in energy usage through efficiency measures.  "		X	5000000																							
4557	FY2022 Governor Amend	2022	49734	20	Department of Commerce, Community, and Economic Development	6	8	AP	Alaska Energy Authority - Bulk Fuel Upgrades		N	N	8	Development	16	Energy	G	NA	N	0	DF01	NA  		4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/1/2021	6/30/2026	NA	SRWILLHOITE	2/16/2021 17:16:15.783	SRWILLHOITE	2/16/2021 17:16:15.783	Statewide	99	Statewide (HD 1-40)	CAP 	Tim Sandstrom	9077713000	Curtis Thayer	9077713000		The Bulk Fuel program upgrades non-compliant bulk fuel tank farms in rural communities. This project reduces the cost of energy by reducing or eliminating fuel loss from leaks, spills or catastrophic failure. By providing enough capacity for current and planned needs, communities may purchase fuel in larger quantities at a lower cost per gallon. Projects meet code compliance standards improving life, health, and safety of the community. This program includes more than the replacement of entire facilities; the program also emphasizes maintenance and improvement projects and training for operations and planned maintenance.	Declining funds available for bulk fuel upgrades in rural Alaska means that bulk fuel tanks are not upgraded timely. As a result, communities are left with aging fuel tanks that may not meet the capacity needs of the community or are at risk of leaks, contamination, and/or failure. Recent emphasis has also been put on barge header projects to protect river and ocean side fuel systems.  		X	7500000																		5500000					
4557	FY2022 Governor Amend	2022	52498	20	Department of Commerce, Community, and Economic Development	7	8	AP	Alaska Energy Authority - Rural Power Systems Upgrades		N	N	8	Development	16	Energy	G	NA	N	0	DF03	NA  		5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/1/2021	6/30/2026	NA	SRWILLHOITE	2/16/2021 17:16:15.813	SRWILLHOITE	2/16/2021 17:16:15.813	Statewide	99	Statewide (HD 1-40)	CAP 	Tim Sandstrom	9077713000	Curtis Thayer	9077713000	0	Electric utility systems are part of the basic infrastructure of rural communities. New power systems are designed to meet accepted utility standards for safety, reliability, and environmental protections. Upgrading rural power generation and distribution systems includes more than the replacement of entire facilities. As funding availability diminishes emphasis on maintenance and improvement projects and training for operations and planned maintenance have become critical.	Declining funds available for Rural Power System Upgrades means that rural power systems are not upgraded timely. As a result, communities are left with aging systems that are at risk of failure.  		X	12500000																		5000000					
4557	FY2022 Governor Amend	2022	61718	20	Department of Commerce, Community, and Economic Development	8	8	AP	Alaska Travel Industry Association		N	N	8	Development	33	Research / Studies / Planning	N	Named Recipient	N	0		RECI	Alaska Travel Industry Association	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/1/2021	6/30/2026	NA	SRWILLHOITE	2/16/2021 17:16:15.923	SRWILLHOITE	2/16/2021 17:16:15.923	Statewide	99	Statewide (HD 1-40)	CAP 			Micaela Fowler	9074652506	0	"Prior to FY2017, tourism marketing activities were provided through an annual operating appropriation to the Department of Commerce, Community, and Economic Development. Tourism development and marketing services are now provided through capital grants to the Alaska Travel Industry Association (ATIA). 
"			X																					5000000			
4557	FY2022 Governor Amend	2022	45874	20	Department of Commerce, Community, and Economic Development	9	8	AP	Inter-Island Ferry Authority		N	N	9	Transportation	31	Economic Assistance	G	Named Recipient	N	0	DF15	RECI	Inter-Island Ferry Authority	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/1/2021	6/30/2026	NA	SRWILLHOITE	2/16/2021 17:16:22.577	SRWILLHOITE	2/16/2021 17:16:22.577	Southeast Alaska	91	Southeast Region (HD 33-36)	CAP 			Micaela Fowler	9074652506		Inter-Island Ferry Authority (IFA) provides daily service between Ketchikan and Prince of Wales Island (POW). Passenger revenue and other funds are insufficient to cover projected costs. This transport link is a vital service to Southeast Alaska. IFA is continuing to refine its operations plan to maximize profits, reduce expenses and minimize reliance on state funds. This grant allows the Inter-Island Ferry Authority to continue operations in FY2022.			X			250000																					
4557	FY2022 Governor Amend	2022	63222	30	Department of Corrections	0	20	AP	Seven New Facility Body Scanners		N	N	10	General Government	34	Life / Health / Safety	N	NA	N	0		NA  		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/1/2021	6/30/2026	NA	SRWILLHOITE	2/16/2021 17:16:23.803	SRWILLHOITE	2/16/2021 17:16:23.803	Statewide	99	Statewide (HD 1-40)	CAP 	Dan Aicher	9072697358	April Wilkerson	9074653460	0	This project will provide new body scanners for prisons with improved image clarity to reduce contraband within seven correctional facilities located at: Anchorage Correctional Complex (1), Goose Creek Correctional Center (2), Spring Creek Correctional Center, Fairbanks Correctional Center, Lemon Creek Correctional Center, and Wildwood Correctional Center. The cost includes the body scanners, shipping, installation, and associated costs to ensure staff are properly trained and fully knowledgeable in use of the new equipment.			X			1500000																					
