FUND_CODE	SHORT_NAME	LONG_NAME	AKSAS_ACCT_NUM	CLASS	MH_FLAG	COMMENTS	AKSAS_ACCT_ALT	ACTIVE	STAT_REF	AKSAS_FUNDS	CREATE_BY	CREATE_TIME	CHANGE_BY	CHANGE_TIME	RETAINS_INTEREST
1230	AKCW Ad Fu	Alaska Clean Water Administrative Fund	51508	O	N	Can appropriate from Inc Acct to Admin Acct within CW Admin Fund (fund transfer language). Will be RR account 51508.	68515	Y	46.03.034	11168                         	CKOSULLIVAN	12/7/2013 16:34:56.602	CKOSULLIVAN	6/11/2014 15:06:51.344	N
1231	AKDW Ad Fu	Alaska Drinking Water Administrative Fund	51509	O	N	Can appropriated from Inc Acct to Admin Acct within DW Admin Fund (fund transfer language). Will be RR acct code 51509.	68515	Y	46.03.038	11171                         	CKOSULLIVAN	12/7/2013 16:37:21.383	CKOSULLIVAN	6/11/2014 15:06:59.485	N
1232	ISPF-I/A	In-state Pipeline Fund Interagency	51511	O	N	"3/14: repurposed this fund code from AKCW Income fund (not needed) to ISPF-I/A KM
Can appropriated from Inc Acct to Admin Acct within CW Admin Fund. Need to verify AKSAS accounts. 12-7-13. cko"	51511	Y		                              	CKOSULLIVAN	12/7/2013 16:52:45.368	BALARSON	5/27/2014 10:06:49.826	N
1233	Muni Bonds	Municipal Bond Bank Bonds	68515	O	N	Need AKSAS and Statutory Ref Info	0    	Y	 	0                             	CKOSULLIVAN	12/7/2013 16:55:31.727	CKOSULLIVAN	4/9/2014 16:12:26.466	N
1235	AGDC-LNG	Alaska Liquefied Natural Gas Project Fund (AGDC-LNG)	68515	O	N	Established under SLA2014 SB 138 	68515	Y	AS 31.25.110	34078                         	TNARVAEZ1	4/19/2014 11:14:53.473	TNARVAEZ1	7/17/2014 12:14:38.646	N
1236	AK LNG I/A	Alaska Liquefied Natural Gas Project Fund I/A (AK LNG I/A)	51512	O	N	Established in SLA 2014 SB 138	51512	Y	AS 31.25.110		TNARVAEZ1	4/19/2014 11:21:40.645	TNARVAEZ1	7/17/2014 12:14:07.287	N
1238	VaccAssess	Vaccine Assessment Account	0    	D	N	The Vaccine Assessment Account funding may be used to purchase vaccines for the benefit of state residents.  The legislature may appropriate to the account program receipts attributable to vaccine assessments under AS 18.09.220, money from other sources, and interest earned on money in the account. 	0    	Y			WCBELKNAP	4/24/2014 11:11:50.244	AMBRYAN	5/12/2014 15:47:08.666	N
1237	VocSmBus	Vocational Rehabilitation Small Bus. Enterprise Revolving Fd	51122	D	N	9/2014 - this fund code is for Revenue from facilities on state property will. 1117 will be used for Randolf-Sheppard receipts only categorized as other dedicated receipts from vendors.  KM per LFD	68515	Y	AS 23.15.130	11116                         	KEMAUSETH	12/3/2014 14:56:11.574	KEMAUSETH	12/8/2014 15:41:09.718	N
1241	GF/LNG	General Fund/Liquefied Natural Gas	68515	U	N	Created in FY2015 Third Special Session on Gasline for better budgetary tracking of LNG appropriations.  	51005	Y		11100                         	BWFECHTER	11/3/2015 08:46:58.6	WCBELKNAP	11/5/2015 08:56:42.277	N
1243	SBR	Statutory Budget Reserve Fund	68515	U	N	1/2016 added by LFD to track SBR transfers	51005	Y			KEMAUSETH	2/26/2016 14:56:18.615	WCBELKNAP	7/28/2017 13:08:11.95	N
