REPORT_SORT	DEPT_NUM	DEPT_SORT	DEPT_NAME	RDU_NUM	RDU_SORT	RDU_NAME	COMP_NUM	COMP_SORT	COMP_NAME	REPORT_LINE	LINE_TYPE	FUND_CODE	FUND_GROUP	DUPLICATED_INDICATOR	SCEN1_AMOUNT	SCEN2_AMOUNT	SCEN3_AMOUNT	SCEN4_AMOUNT	SCEN5_AMOUNT	SCEN6_AMOUNT	SCEN7_AMOUNT	SCEN8_AMOUNT	SCEN9_AMOUNT	SCEN10_AMOUNT
1	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Personal Services	Expenditure	0			9130.30	0	0	0	0	0	0	0	0	0
2	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Travel	Expenditure	0			712.90	0	0	0	0	0	0	0	0	0
3	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Contractual Services	Expenditure	0			1113.40	0	0	0	0	0	0	0	0	0
4	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Commodities	Expenditure	0			159.10	0	0	0	0	0	0	0	0	0
5	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Capital Outlay	Expenditure	0			0	0	0	0	0	0	0	0	0	0
6	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Line 7600	Expenditure	0			0	0	0	0	0	0	0	0	0	0
7	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Grants, Benefits	Expenditure	0			0	0	0	0	0	0	0	0	0	0
8	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Miscellaneous	Expenditure	0			0	0	0	0	0	0	0	0	0	0
1	1	80	Governor	2	2	Executive Operations	9	3	Governor's House	Personal Services	Expenditure	0			424.30	0	0	0	0	0	0	0	0	0
2	1	80	Governor	2	2	Executive Operations	9	3	Governor's House	Travel	Expenditure	0			12.00	0	0	0	0	0	0	0	0	0
3	1	80	Governor	2	2	Executive Operations	9	3	Governor's House	Contractual Services	Expenditure	0			214.50	0	0	0	0	0	0	0	0	0
4	1	80	Governor	2	2	Executive Operations	9	3	Governor's House	Commodities	Expenditure	0			84.70	0	0	0	0	0	0	0	0	0
5	1	80	Governor	2	2	Executive Operations	9	3	Governor's House	Capital Outlay	Expenditure	0			0	0	0	0	0	0	0	0	0	0
6	1	80	Governor	2	2	Executive Operations	9	3	Governor's House	Line 7600	Expenditure	0			0	0	0	0	0	0	0	0	0	0
7	1	80	Governor	2	2	Executive Operations	9	3	Governor's House	Grants, Benefits	Expenditure	0			0	0	0	0	0	0	0	0	0	0
8	1	80	Governor	2	2	Executive Operations	9	3	Governor's House	Miscellaneous	Expenditure	0			0	0	0	0	0	0	0	0	0	0
1	1	80	Governor	2	2	Executive Operations	10	4	Contingency Fund	Personal Services	Expenditure	0			0	0	0	0	0	0	0	0	0	0
2	1	80	Governor	2	2	Executive Operations	10	4	Contingency Fund	Travel	Expenditure	0			0	0	0	0	0	0	0	0	0	0
3	1	80	Governor	2	2	Executive Operations	10	4	Contingency Fund	Contractual Services	Expenditure	0			250.00	0	0	0	0	0	0	0	0	0
4	1	80	Governor	2	2	Executive Operations	10	4	Contingency Fund	Commodities	Expenditure	0			0	0	0	0	0	0	0	0	0	0
5	1	80	Governor	2	2	Executive Operations	10	4	Contingency Fund	Capital Outlay	Expenditure	0			0	0	0	0	0	0	0	0	0	0
6	1	80	Governor	2	2	Executive Operations	10	4	Contingency Fund	Line 7600	Expenditure	0			0	0	0	0	0	0	0	0	0	0
7	1	80	Governor	2	2	Executive Operations	10	4	Contingency Fund	Grants, Benefits	Expenditure	0			0	0	0	0	0	0	0	0	0	0
8	1	80	Governor	2	2	Executive Operations	10	4	Contingency Fund	Miscellaneous	Expenditure	0			0	0	0	0	0	0	0	0	0	0
1	1	80	Governor	2	2	Executive Operations	11	5	Lieutenant Governor	Personal Services	Expenditure	0			875.80	0	0	0	0	0	0	0	0	0
2	1	80	Governor	2	2	Executive Operations	11	5	Lieutenant Governor	Travel	Expenditure	0			85.20	0	0	0	0	0	0	0	0	0
3	1	80	Governor	2	2	Executive Operations	11	5	Lieutenant Governor	Contractual Services	Expenditure	0			194.60	0	0	0	0	0	0	0	0	0
4	1	80	Governor	2	2	Executive Operations	11	5	Lieutenant Governor	Commodities	Expenditure	0			19.00	0	0	0	0	0	0	0	0	0
5	1	80	Governor	2	2	Executive Operations	11	5	Lieutenant Governor	Capital Outlay	Expenditure	0			0	0	0	0	0	0	0	0	0	0
6	1	80	Governor	2	2	Executive Operations	11	5	Lieutenant Governor	Line 7600	Expenditure	0			0	0	0	0	0	0	0	0	0	0
7	1	80	Governor	2	2	Executive Operations	11	5	Lieutenant Governor	Grants, Benefits	Expenditure	0			0	0	0	0	0	0	0	0	0	0
8	1	80	Governor	2	2	Executive Operations	11	5	Lieutenant Governor	Miscellaneous	Expenditure	0			0	0	0	0	0	0	0	0	0	0
