REPORT_SORT	DEPT_NUM	DEPT_SORT	DEPT_NAME	RDU_NUM	RDU_SORT	RDU_NAME	COMP_NUM	COMP_SORT	COMP_NAME	REPORT_LINE	LINE_TYPE	FUND_CODE	FUND_GROUP	DUPLICATED_INDICATOR	SCEN1_AMOUNT	SCEN2_AMOUNT	SCEN3_AMOUNT	SCEN4_AMOUNT	SCEN5_AMOUNT	SCEN6_AMOUNT	SCEN7_AMOUNT	SCEN8_AMOUNT	SCEN9_AMOUNT	SCEN10_AMOUNT	scenario_webfolder1	scenario_webfolder2	scenario_webfolder3	scenario_webfolder4	scenario_webfolder5	scenario_webfolder6	scenario_webfolder7	scenario_webfolder8	scenario_webfolder9	scenario_webfolder10
1	1	80	Governor	716	0	Central Svcs Cost Allocation	3334	0	Central Svcs Cost Allocation	Personal Services	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
2	1	80	Governor	716	0	Central Svcs Cost Allocation	3334	0	Central Svcs Cost Allocation	Travel	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
3	1	80	Governor	716	0	Central Svcs Cost Allocation	3334	0	Central Svcs Cost Allocation	Contractual Services	Expenditure	0			5000.00	0	0	0	0	0	0	0	0	0										
4	1	80	Governor	716	0	Central Svcs Cost Allocation	3334	0	Central Svcs Cost Allocation	Commodities	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
5	1	80	Governor	716	0	Central Svcs Cost Allocation	3334	0	Central Svcs Cost Allocation	Capital Outlay	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
6	1	80	Governor	716	0	Central Svcs Cost Allocation	3334	0	Central Svcs Cost Allocation	Line 7600	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
7	1	80	Governor	716	0	Central Svcs Cost Allocation	3334	0	Central Svcs Cost Allocation	Grants, Benefits	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
8	1	80	Governor	716	0	Central Svcs Cost Allocation	3334	0	Central Svcs Cost Allocation	Miscellaneous	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
1004	1	80	Governor	716	0	Central Svcs Cost Allocation	3334	0	Central Svcs Cost Allocation	1004 General Fund Receipts	Revenue	1004	Unrestricted General Funds		5000.00	0	0	0	0	0	0	0	0	0										
1	1	80	Governor	1	1	Commissions/Special Offices	1	1	Human Rights Commission	Personal Services	Expenditure	0			2221.20	0	0	0	0	0	0	0	0	0										
2	1	80	Governor	1	1	Commissions/Special Offices	1	1	Human Rights Commission	Travel	Expenditure	0			17.70	0	0	0	0	0	0	0	0	0										
3	1	80	Governor	1	1	Commissions/Special Offices	1	1	Human Rights Commission	Contractual Services	Expenditure	0			243.60	0	0	0	0	0	0	0	0	0										
4	1	80	Governor	1	1	Commissions/Special Offices	1	1	Human Rights Commission	Commodities	Expenditure	0			70.40	0	0	0	0	0	0	0	0	0										
5	1	80	Governor	1	1	Commissions/Special Offices	1	1	Human Rights Commission	Capital Outlay	Expenditure	0			3.00	0	0	0	0	0	0	0	0	0										
6	1	80	Governor	1	1	Commissions/Special Offices	1	1	Human Rights Commission	Line 7600	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
7	1	80	Governor	1	1	Commissions/Special Offices	1	1	Human Rights Commission	Grants, Benefits	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
8	1	80	Governor	1	1	Commissions/Special Offices	1	1	Human Rights Commission	Miscellaneous	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
1002	1	80	Governor	1	1	Commissions/Special Offices	1	1	Human Rights Commission	1002 Federal Receipts	Revenue	1002	Federal Funds		229.00	0	0	0	0	0	0	0	0	0										
1004	1	80	Governor	1	1	Commissions/Special Offices	1	1	Human Rights Commission	1004 General Fund Receipts	Revenue	1004	Unrestricted General Funds		2326.90	0	0	0	0	0	0	0	0	0										
10000	1	80	Governor	1	1	Commissions/Special Offices	1	1	Human Rights Commission	Permanent Full-Time	Position Count	0			18.00	0	0	0	0	0	0	0	0	0										
1	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Personal Services	Expenditure	0			9766.40	0	0	0	0	0	0	0	0	0										
2	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Travel	Expenditure	0			512.90	0	0	0	0	0	0	0	0	0										
3	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Contractual Services	Expenditure	0			1113.40	0	0	0	0	0	0	0	0	0										
4	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Commodities	Expenditure	0			159.10	0	0	0	0	0	0	0	0	0										
5	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Capital Outlay	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
6	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Line 7600	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
7	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Grants, Benefits	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
8	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Miscellaneous	Expenditure	0			0	0	0	0	0	0	0	0	0	0										
1004	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	1004 General Fund Receipts	Revenue	1004	Unrestricted General Funds		11369.00	0	0	0	0	0	0	0	0	0										
1061	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	1061 Capital Improvement Project Receipts	Revenue	1061	Other Funds	Duplicated	182.80	0	0	0	0	0	0	0	0	0										
10000	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Permanent Full-Time	Position Count	0			64.00	0	0	0	0	0	0	0	0	0										
12000	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Non-Permanent	Position Count	0			8.00	0	0	0	0	0	0	0	0	0										
1	1	80	Governor	2	2	Executive Operations	9	3	Governor's House	Personal Services	Expenditure	0			445.50	0	0	0	0	0	0	0	0	0										
2	1	80	Governor	2	2	Executive Operations	9	3	Governor's House	Travel	Expenditure	0			12.00	0	0	0	0	0	0	0	0	0										
3	1	80	Governor	2	2	Executive Operations	9	3	Governor's House	Contractual Services	Expenditure	0			214.50	0	0	0	0	0	0	0	0	0										
4	1	80	Governor	2	2	Executive Operations	9	3	Governor's House	Commodities	Expenditure	0			84.70	0	0	0	0	0	0	0	0	0										
