REPORT_SORT	DEPT_NUM	DEPT_SORT	DEPT_NAME	RDU_NUM	RDU_SORT	RDU_NAME	COMP_NUM	COMP_SORT	COMP_NAME	REPORT_LINE	LINE_TYPE	FUND_CODE	FUND_GROUP	DUPLICATED_INDICATOR	SCEN1_AMOUNT	SCEN2_AMOUNT	SCEN3_AMOUNT	SCEN4_AMOUNT	SCEN5_AMOUNT	SCEN6_AMOUNT	SCEN7_AMOUNT	SCEN8_AMOUNT	SCEN9_AMOUNT
			Revenue			AHFC Supplemental Housing Development Program				1139 AHFC Dividend	AP		Unrestricted General Funds		3000.000000								
			Revenue			AHFC Senior Citizens Housing Development Program				1139 AHFC Dividend	AP		Unrestricted General Funds		1750.000000								
			Revenue			AHFC Housing and Urban Development Capital Fund Program				1002 Federal Receipts	AP		Federal Funds		3200.000000								
			Revenue			AHFC Housing and Urban Development Federal HOME Grant				1002 Federal Receipts	AP		Federal Funds		4000.000000								
			Revenue			AHFC Housing and Urban Development Federal HOME Grant				1139 AHFC Dividend	AP		Unrestricted General Funds		750.000000								
			Revenue			AHFC Federal and Other Competitive Grants				1002 Federal Receipts	AP		Federal Funds		6000.000000								
			Revenue			AHFC Federal and Other Competitive Grants				1139 AHFC Dividend	AP		Unrestricted General Funds		1500.000000								
			Revenue			AHFC Competitive Grants for Public Housing				1002 Federal Receipts	AP		Federal Funds		750.000000								
			Revenue			AHFC Competitive Grants for Public Housing				1139 AHFC Dividend	AP		Unrestricted General Funds		350.000000								
			Revenue			AHFC Energy Efficiency Research				1139 AHFC Dividend	AP		Unrestricted General Funds		500.000000								
			Revenue			MH: AHFC Beneficiary and Special Needs Housing				1092 Mental Health Trust Authority Authorized Receipts	AP		Other Funds		200.000000								
			Transportation			Statewide Federal Programs				1002 Federal Receipts	AP*		Federal Funds		58260.012000								
			Transportation			Statewide Federal Programs				1004 General Fund Receipts	AP*		Unrestricted General Funds		33.858000								
			Transportation			Statewide Federal Programs				1108 Statutory Designated Program Receipts	AP*		Other Funds		10000.000000								
			Natural Resources			National Recreational Trails Federal Grant Program				1002 Federal Receipts	AP		Federal Funds		1500.000000								
			Natural Resources			National Recreational Trails Federal Grant Program				1005 General Fund/Program Receipts	AP		Designated General Funds		100.000000								
			Natural Resources			Abandoned Mine Lands Reclamation Federal Program				1002 Federal Receipts	AP		Federal Funds		3200.000000								
			Natural Resources			National Historic Preservation Fund				1002 Federal Receipts	AP		Federal Funds		600.000000								
			Transportation			Federal Program Match			Federal-Aid Aviation State Match	1003 General Fund Match	AL		Unrestricted General Funds		5200.000000								
			Transportation			Airport Improvement Program				1002 Federal Receipts	AP*		Federal Funds		446875.529000								
			Transportation			Airport Improvement Program				1027 International Airport Revenue Fund	AP*		Other Funds		27582.823000								
			Transportation			Airport Improvement Program				1112 International Airports Construction Fund	AP*		Other Funds		722.059000								
