REPORT_SORT,DEPT_NUM,DEPT_SORT,DEPT_NAME,RDU_NUM,RDU_SORT,RDU_NAME,COMP_NUM,COMP_SORT,COMP_NAME,REPORT_LINE,LINE_TYPE,FUND_CODE,FUND_GROUP,DUPLICATED_INDICATOR,SCEN1_AMOUNT,SCEN2_AMOUNT,SCEN3_AMOUNT,SCEN4_AMOUNT,SCEN5_AMOUNT,SCEN6_AMOUNT,SCEN7_AMOUNT,SCEN8_AMOUNT,SCEN9_AMOUNT,SCEN10_AMOUNT
1,1,7,Governor,1,1,Commissions/Special Offices,1,1,Human Rights Commission,Line 71000,Expenditure,0,"
    ","
    ",2113.5,0,0,0,0,0,0,0,0,0
2,1,7,Governor,1,1,Commissions/Special Offices,1,1,Human Rights Commission,Line 72000,Expenditure,0,"
    ","
    ",17.7,0,0,0,0,0,0,0,0,0
3,1,7,Governor,1,1,Commissions/Special Offices,1,1,Human Rights Commission,Line 73000,Expenditure,0,"
    ","
    ",243.6,0,0,0,0,0,0,0,0,0
4,1,7,Governor,1,1,Commissions/Special Offices,1,1,Human Rights Commission,Line 74000,Expenditure,0,"
    ","
    ",70.4,0,0,0,0,0,0,0,0,0
5,1,7,Governor,1,1,Commissions/Special Offices,1,1,Human Rights Commission,Line 75000,Expenditure,0,"
    ","
    ",3,0,0,0,0,0,0,0,0,0
6,1,7,Governor,1,1,Commissions/Special Offices,1,1,Human Rights Commission,Line 76000,Expenditure,0,"
    ","
    ",0,0,0,0,0,0,0,0,0,0
7,1,7,Governor,1,1,Commissions/Special Offices,1,1,Human Rights Commission,Line 77000,Expenditure,0,"
    ","
    ",0,0,0,0,0,0,0,0,0,0
8,1,7,Governor,1,1,Commissions/Special Offices,1,1,Human Rights Commission,Line 78000,Expenditure,0,"
    ","
    ",0,0,0,0,0,0,0,0,0,0
1001,1,7,Governor,1,1,Commissions/Special Offices,1,1,Human Rights Commission,1001 Constitutional Budget Reserve Fund,Revenue,1001,UGF,"
    ",554.8,0,0,0,0,0,0,0,0,0
1002,1,7,Governor,1,1,Commissions/Special Offices,1,1,Human Rights Commission,1002 Federal Receipts,Revenue,1002,Fed,"
    ",229,0,0,0,0,0,0,0,0,0
1004,1,7,Governor,1,1,Commissions/Special Offices,1,1,Human Rights Commission,1004 General Fund Receipts,Revenue,1004,UGF,"
    ",1664.4,0,0,0,0,0,0,0,0,0
10000,1,7,Governor,1,1,Commissions/Special Offices,1,1,Human Rights Commission,PFT,Position Count,0,"
    ","
    ",19,0,0,0,0,0,0,0,0,0
1,1,7,Governor,2,2,Executive Operations,6,1,Executive Office,Line 71000,Expenditure,0,"
    ","
    ",8737.3,0,0,0,0,0,0,0,0,0
2,1,7,Governor,2,2,Executive Operations,6,1,Executive Office,Line 72000,Expenditure,0,"
    ","
    ",697.9,0,0,0,0,0,0,0,0,0
