REPORT_SORT	DEPT_NUM	DEPT_SORT	DEPT_NAME	RDU_NUM	RDU_SORT	RDU_NAME	COMP_NUM	COMP_SORT	COMP_NAME	REPORT_LINE	LINE_TYPE	FUND_CODE	FUND_GROUP	DUPLICATED_INDICATOR	SCEN1_AMOUNT	SCEN2_AMOUNT	SCEN3_AMOUNT	SCEN4_AMOUNT	SCEN5_AMOUNT	SCEN6_AMOUNT	SCEN7_AMOUNT	SCEN8_AMOUNT	SCEN9_AMOUNT	SCEN10_AMOUNT
										SCEN1_AMOUNT=FY2021 Enacted Less Vetoes (16958)		0												
1001	25	15	Transportation	333	1	Administration and Support	530	1	Commissioner's Office	1001 Constitutional Budget Reserve Fund	Revenue	1001	UGF		177.2	0	0	0	0	0	0	0	0	0
1004	25	15	Transportation	333	1	Administration and Support	530	1	Commissioner's Office	1004 General Fund Receipts	Revenue	1004	UGF		531.4	0	0	0	0	0	0	0	0	0
1001	25	15	Transportation	333	1	Administration and Support	2355	2	Contracting and Appeals	1001 Constitutional Budget Reserve Fund	Revenue	1001	UGF		8.6	0	0	0	0	0	0	0	0	0
1004	25	15	Transportation	333	1	Administration and Support	2355	2	Contracting and Appeals	1004 General Fund Receipts	Revenue	1004	UGF		25.7	0	0	0	0	0	0	0	0	0
1001	25	15	Transportation	333	1	Administration and Support	2331	3	EE/Civil Rights	1001 Constitutional Budget Reserve Fund	Revenue	1001	UGF		65.3	0	0	0	0	0	0	0	0	0
1004	25	15	Transportation	333	1	Administration and Support	2331	3	EE/Civil Rights	1004 General Fund Receipts	Revenue	1004	UGF		195.7	0	0	0	0	0	0	0	0	0
1001	25	15	Transportation	333	1	Administration and Support	537	6	Statewide Admin Services	1001 Constitutional Budget Reserve Fund	Revenue	1001	UGF		203.1	0	0	0	0	0	0	0	0	0
1004	25	15	Transportation	333	1	Administration and Support	537	6	Statewide Admin Services	1004 General Fund Receipts	Revenue	1004	UGF		609.4	0	0	0	0	0	0	0	0	0
1001	25	15	Transportation	333	1	Administration and Support	540	7	Information Systems and Services	1001 Constitutional Budget Reserve Fund	Revenue	1001	UGF		235.1	0	0	0	0	0	0	0	0	0
1004	25	15	Transportation	333	1	Administration and Support	540	7	Information Systems and Services	1004 General Fund Receipts	Revenue	1004	UGF		705.4	0	0	0	0	0	0	0	0	0
1001	25	15	Transportation	333	1	Administration and Support	2757	9	Human Resources	1001 Constitutional Budget Reserve Fund	Revenue	1001	UGF		132.8	0	0	0	0	0	0	0	0	0
1004	25	15	Transportation	333	1	Administration and Support	2757	9	Human Resources	1004 General Fund Receipts	Revenue	1004	UGF		398.2	0	0	0	0	0	0	0	0	0
1001	25	15	Transportation	333	1	Administration and Support	2851	10	Statewide Procurement	1001 Constitutional Budget Reserve Fund	Revenue	1001	UGF		151.4	0	0	0	0	0	0	0	0	0
1004	25	15	Transportation	333	1	Administration and Support	2851	10	Statewide Procurement	1004 General Fund Receipts	Revenue	1004	UGF		454.3	0	0	0	0	0	0	0	0	0
1001	25	15	Transportation	333	1	Administration and Support	2292	11	Central Support Svcs	1001 Constitutional Budget Reserve Fund	Revenue	1001	UGF		67.7	0	0	0	0	0	0	0	0	0
1004	25	15	Transportation	333	1	Administration and Support	2292	11	Central Support Svcs	1004 General Fund Receipts	Revenue	1004	UGF		203	0	0	0	0	0	0	0	0	0
1001	25	15	Transportation	333	1	Administration and Support	2294	12	Northern Support Services	1001 Constitutional Budget Reserve Fund	Revenue	1001	UGF		120.2	0	0	0	0	0	0	0	0	0
1004	25	15	Transportation	333	1	Administration and Support	2294	12	Northern Support Services	1004 General Fund Receipts	Revenue	1004	UGF		360.5	0	0	0	0	0	0	0	0	0
1001	25	15	Transportation	333	1	Administration and Support	2296	13	Southcoast Support Services	1001 Constitutional Budget Reserve Fund	Revenue	1001	UGF		251.6	0	0	0	0	0	0	0	0	0
1004	25	15	Transportation	333	1	Administration and Support	2296	13	Southcoast Support Services	1004 General Fund Receipts	Revenue	1004	UGF		754.8	0	0	0	0	0	0	0	0	0
1001	25	15	Transportation	333	1	Administration and Support	1811	14	Statewide Aviation	1001 Constitutional Budget Reserve Fund	Revenue	1001	UGF		28.5	0	0	0	0	0	0	0	0	0
1004	25	15	Transportation	333	1	Administration and Support	1811	14	Statewide Aviation	1004 General Fund Receipts	Revenue	1004	UGF		85.5	0	0	0	0	0	0	0	0	0
1001	25	15	Transportation	333	1	Administration and Support	2762	15	Program Development	1001 Constitutional Budget Reserve Fund	Revenue	1001	UGF		66.6	0	0	0	0	0	0	0	0	0
1004	25	15	Transportation	333	1	Administration and Support	2762	15	Program Development	1004 General Fund Receipts	Revenue	1004	UGF		199.7	0	0	0	0	0	0	0	0	0
1001	25	15	Transportation	333	1	Administration and Support	2332	19	Measurement Standards	1001 Constitutional Budget Reserve Fund	Revenue	1001	UGF		286.1	0	0	0	0	0	0	0	0	0
