REPORT_SORT	DEPT_NUM	DEPT_SORT	DEPT_NAME	RDU_NUM	RDU_SORT	RDU_NAME	COMP_NUM	COMP_SORT	COMP_NAME	REPORT_LINE	LINE_TYPE	FUND_CODE	FUND_GROUP	DUPLICATED_INDICATOR	SCEN1_AMOUNT	SCEN2_AMOUNT	SCEN3_AMOUNT	SCEN4_AMOUNT	SCEN5_AMOUNT	SCEN6_AMOUNT	SCEN7_AMOUNT	SCEN8_AMOUNT	SCEN9_AMOUNT
			Administration								Revenue		Unrestricted General Funds		7100.0								
			Administration								Revenue		Unrestricted General Funds		1250.0								
			Commerce								Revenue		Unrestricted General Funds		1000.0								
			Commerce								Revenue		Federal Funds		11300.0								
			Commerce								Revenue		Unrestricted General Funds		5000.0								
			Commerce								Revenue		Federal Funds		12500.0								
			Commerce								Revenue		Unrestricted General Funds		60.0								
			Commerce								Revenue		Federal Funds		6000.0								
			Commerce								Revenue		Unrestricted General Funds		78.0								
			Commerce								Revenue		Unrestricted General Funds		250.0								
			Environ Conservation								Revenue		Unrestricted General Funds		4832.0								
			Environ Conservation								Revenue		Other Funds		200.0								
			Environ Conservation								Revenue		Federal Funds		20900.0								
			Environ Conservation								Revenue		Unrestricted General Funds		7248.0								
			Environ Conservation								Revenue		Other Funds		300.0								
			Environ Conservation								Revenue		Federal Funds		31350.0								
			Governor								Revenue		Unrestricted General Funds		95.0								
			1026 Highways/Equipment Working Capital Fund								Revenue		Designated General Funds		1619.3								
			1026 Highways/Equipment Working Capital Fund								Revenue		Designated General Funds		2080.0								
			1026 Highways/Equipment Working Capital Fund								Revenue		Unrestricted General Funds		500.0								
			1026 Highways/Equipment Working Capital Fund								Revenue		Unrestricted General Funds		500.0								
			1026 Highways/Equipment Working Capital Fund								Revenue		Unrestricted General Funds		250.0								
			1026 Highways/Equipment Working Capital Fund								Revenue		Other Funds		250.0								
			1026 Highways/Equipment Working Capital Fund								Revenue		Unrestricted General Funds		300.0								
			1026 Highways/Equipment Working Capital Fund								Revenue		Other Funds		300.0								
			1026 Highways/Equipment Working Capital Fund								Revenue		Unrestricted General Funds		750.0								
			1026 Highways/Equipment Working Capital Fund								Revenue		Other Funds		300.0								
			Labor & Workforce								Revenue		Unrestricted General Funds		447.4								
			Labor & Workforce								Revenue		Designated General Funds		185.0								
			Military & Veterans Affairs								Revenue		Unrestricted General Funds		520.5								
			Military & Veterans Affairs								Revenue		Designated General Funds		4479.5								
			Military & Veterans Affairs								Revenue		Unrestricted General Funds		800.0								
			Military & Veterans Affairs								Revenue		Federal Funds		800.0								
			Military & Veterans Affairs								Revenue		Federal Funds		4500.0								
			Natural Resources								Revenue		Unrestricted General Funds		5000.0								
			Natural Resources								Revenue		Federal Funds		3200.0								
			Natural Resources								Revenue		Designated General Funds		100.0								
			Natural Resources								Revenue		Federal Funds		1500.0								
			Natural Resources								Revenue		Designated General Funds		250.0								
			Revenue								Revenue		Unrestricted General Funds		500.0								
			Revenue								Revenue		Federal Funds		2000.0								
			Revenue								Revenue		Unrestricted General Funds		350.0								
			Revenue								Revenue		Federal Funds		750.0								
			Revenue								Revenue		Unrestricted General Funds		1500.0								
			Revenue								Revenue		Federal Funds		6000.0								
			Revenue								Revenue		Federal Funds		2500.0								
			Revenue								Revenue		Unrestricted General Funds		750.0								
			Revenue								Revenue		Federal Funds		4000.0								
			Revenue								Revenue		Unrestricted General Funds		1500.0								
			Revenue								Revenue		Unrestricted General Funds		1750.0								
			Revenue								Revenue		Unrestricted General Funds		1500.0								
			Revenue								Revenue		Unrestricted General Funds		1750.0								
			Revenue								Revenue		Other Funds		500.0								
			Revenue								Revenue		Unrestricted General Funds		1500.0								
			Revenue								Revenue		Other Funds		200.0								
			Revenue								Revenue		Unrestricted General Funds		7200.0								
			Revenue								Revenue		Other Funds		950.0								
			Revenue								Revenue		Other Funds		100.0								
			Transportation								Revenue		Other Funds		26700.0								
			Transportation								Revenue		Federal Funds		47700.0								
			Transportation								Revenue		Federal Funds		140000.0								
			Transportation								Revenue		Designated General Funds		15000.0								
			Transportation								Revenue		Designated General Funds		1500.0								
			Transportation								Revenue		Federal Funds		5275.2								
			Transportation								Revenue		Unrestricted General Funds		8853.4								
			Transportation								Revenue		Unrestricted General Funds		47340.9								
			Transportation								Revenue		Unrestricted General Funds		7514.6								
			Transportation								Revenue		Unrestricted General Funds		1300.0								
			Transportation								Revenue		Unrestricted General Funds		1000.0								
			Transportation								Revenue		Other Funds		300.0								
			Transportation								Revenue		Other Funds		15000.0								
			Transportation								Revenue		Other Funds		10000.0								
			Transportation								Revenue		Federal Funds		5000.0								
			Transportation								Revenue		Federal Funds		10000.0								
			Transportation								Revenue		Federal Funds		10000.0								
			Transportation								Revenue		Unrestricted General Funds		37.7								
			Transportation								Revenue		Federal Funds		8000.0								
			Transportation								Revenue		Federal Funds		650000.0								
