REPORT_SORT	DEPT_NUM	DEPT_SORT	DEPT_NAME	RDU_NUM	RDU_SORT	RDU_NAME	COMP_NUM	COMP_SORT	COMP_NAME	REPORT_LINE	LINE_TYPE	FUND_CODE	FUND_GROUP	DUPLICATED_INDICATOR	SCEN1_AMOUNT	SCEN2_AMOUNT	SCEN3_AMOUNT	SCEN4_AMOUNT	SCEN5_AMOUNT	SCEN6_AMOUNT	SCEN7_AMOUNT	SCEN8_AMOUNT	SCEN9_AMOUNT
			Fish & Game			Pacific Salmon Treaty Chinook Fishery Mitigation				1002 Federal Receipts	AP				7700.0								
			Fish & Game			2018 Sockeye Salmon Disaster - Chignik Area				1002 Federal Receipts	AP				2000.0								
			Fish & Game			Endangered Species Act - Legal and Research Needs to Protect State Right to Manage				1002 Federal Receipts	AP				3000.0								
			Fish & Game			Endangered Species Act - Legal and Research Needs to Protect State Right to Manage				1003 General Fund Match	AP				250.0								
			Fish & Game			Endangered Species Act - Legal and Research Needs to Protect State Right to Manage				1004 General Fund Receipts	AP				750.0								
			Fish & Game			Pacific Cod Disaster Funding - 2018 Gulf of Alaska				1002 Federal Receipts	AP				1000.0								
			Fish & Game			Copper River Boat Launch Facilities Improvements				1024 Fish/Game	AP				165.0								
			Fish & Game			Facilities, Vessels and Aircraft Maintenance, Repair and Upgrades				1197 AK Cap Inc	AP				500.0								
			Fish & Game			Pacific Coastal Salmon Recovery Fund				1002 Federal Receipts	AP				4400.0								
			Fish & Game			Sport Fish Recreational Boating and Angler Access				1002 Federal Receipts	AP				2250.0								
			Fish & Game			Sport Fish Recreational Boating and Angler Access				1024 Fish/Game	AP				750.0								
			Fish & Game			Wildlife Management, Research and Hunting Access				1002 Federal Receipts	AP				11250.0								
			Fish & Game			Wildlife Management, Research and Hunting Access				1024 Fish/Game	AP				1250.0								
			Fish & Game			Wildlife Management, Research and Hunting Access				1108 Statutory Designated Program Receipts	AP				2500.0								
