REPORT_SORT	DEPT_NUM	DEPT_SORT	DEPT_NAME	RDU_NUM	RDU_SORT	RDU_NAME	COMP_NUM	COMP_SORT	COMP_NAME	REPORT_LINE	LINE_TYPE	FUND_CODE	FUND_GROUP	DUPLICATED_INDICATOR	SCEN1_AMOUNT	SCEN2_AMOUNT	SCEN3_AMOUNT	SCEN4_AMOUNT	SCEN5_AMOUNT	SCEN6_AMOUNT	SCEN7_AMOUNT	SCEN8_AMOUNT	SCEN9_AMOUNT
			Health & Social Svcs			Pioneer Homes Facility Improvements				1004 General Fund Receipts	AP*		Unrestricted General Funds		137.7								
			Health & Social Svcs			Pioneer Homes Facility Improvements			Ketchikan Pioneer Home HVAC Intake Damper Assembly	1004 General Fund Receipts	AL		Unrestricted General Funds		76.5								
			Health & Social Svcs			Pioneer Homes Facility Improvements			Palmer Alaska Veterans and Pioneer Home Safety Fencing	1004 General Fund Receipts	AL		Unrestricted General Funds		61.2								
			Health & Social Svcs			Health Information Exchange				1002 Federal Receipts	AP		Federal Funds		3600.8								
			Health & Social Svcs			Health Information Exchange				1004 General Fund Receipts	AP		Unrestricted General Funds		480.1								
			Health & Social Svcs			Juneau Pioneer Home ADA-Compliant Courtyard				1004 General Fund Receipts	AP		Unrestricted General Funds		424.0								
			Health & Social Svcs			Emergency Medical Services Match for Code Blue Project 				1003 General Fund Match	AP		Unrestricted General Funds		500.0								
			Health & Social Svcs			MH: Assistive Technology				1268 MH Tr Res	AP				500.0								
			Health & Social Svcs			MH: Home Modification and Upgrades to Retain Housing				1092 Mental Health Trust Authority Authorized Receipts	AP		Other Funds		250.0								
			Health & Social Svcs			MH: Home Modification and Upgrades to Retain Housing				1268 MH Tr Res	AP				900.0								
			Health & Social Svcs			MH: Deferred Maintenance and Accessibility Improvements				1092 Mental Health Trust Authority Authorized Receipts	AP		Other Funds		250.0								
			Health & Social Svcs			MH: Deferred Maintenance and Accessibility Improvements				1268 MH Tr Res	AP				250.0								
