REPORT_SORT	DEPT_NUM	DEPT_SORT	DEPT_NAME	RDU_NUM	RDU_SORT	RDU_NAME	COMP_NUM	COMP_SORT	COMP_NAME	REPORT_LINE	LINE_TYPE	FUND_CODE	FUND_GROUP	DUPLICATED_INDICATOR	SCEN1_AMOUNT	SCEN2_AMOUNT	SCEN3_AMOUNT	SCEN4_AMOUNT	SCEN5_AMOUNT	SCEN6_AMOUNT	SCEN7_AMOUNT	SCEN8_AMOUNT	SCEN9_AMOUNT	SCEN10_AMOUNT
1	11	70	Fish & Game	143	1	Commercial Fisheries	2965	0	Commercial Fisheries	Personal Services	Expenditure	0			48460.10	0	0	0	0	0	0	0	0	0
2	11	70	Fish & Game	143	1	Commercial Fisheries	2965	0	Commercial Fisheries	Travel	Expenditure	0			843.10	0	0	0	0	0	0	0	0	0
3	11	70	Fish & Game	143	1	Commercial Fisheries	2965	0	Commercial Fisheries	Contractual Services	Expenditure	0			19372.90	0	0	0	0	0	0	0	0	0
4	11	70	Fish & Game	143	1	Commercial Fisheries	2965	0	Commercial Fisheries	Commodities	Expenditure	0			3737.50	0	0	0	0	0	0	0	0	0
5	11	70	Fish & Game	143	1	Commercial Fisheries	2965	0	Commercial Fisheries	Capital Outlay	Expenditure	0			434.00	0	0	0	0	0	0	0	0	0
6	11	70	Fish & Game	143	1	Commercial Fisheries	2965	0	Commercial Fisheries	Line 7600	Expenditure	0			0	0	0	0	0	0	0	0	0	0
7	11	70	Fish & Game	143	1	Commercial Fisheries	2965	0	Commercial Fisheries	Grants, Benefits	Expenditure	0			0	0	0	0	0	0	0	0	0	0
8	11	70	Fish & Game	143	1	Commercial Fisheries	2965	0	Commercial Fisheries	Miscellaneous	Expenditure	0			0	0	0	0	0	0	0	0	0	0
1001	11	70	Fish & Game	143	1	Commercial Fisheries	2965	0	Commercial Fisheries	1001 Constitutional Budget Reserve Fund	Revenue	1001	Unrestricted General Funds		0	0	0	0	0	0	0	0	0	0
1002	11	70	Fish & Game	143	1	Commercial Fisheries	2965	0	Commercial Fisheries	1002 Federal Receipts	Revenue	1002	Federal Funds		14240.00	0	0	0	0	0	0	0	0	0
1003	11	70	Fish & Game	143	1	Commercial Fisheries	2965	0	Commercial Fisheries	1003 General Fund Match	Revenue	1003	Unrestricted General Funds		486.50	0	0	0	0	0	0	0	0	0
1004	11	70	Fish & Game	143	1	Commercial Fisheries	2965	0	Commercial Fisheries	1004 General Fund Receipts	Revenue	1004	Unrestricted General Funds		36550.10	0	0	0	0	0	0	0	0	0
1005	11	70	Fish & Game	143	1	Commercial Fisheries	2965	0	Commercial Fisheries	1005 General Fund/Program Receipts	Revenue	1005	Designated General Funds		3280.40	0	0	0	0	0	0	0	0	0
1007	11	70	Fish & Game	143	1	Commercial Fisheries	2965	0	Commercial Fisheries	1007 Interagency Receipts	Revenue	1007	Other Funds	Duplicated	1227.70	0	0	0	0	0	0	0	0	0
1018	11	70	Fish & Game	143	1	Commercial Fisheries	2965	0	Commercial Fisheries	1018 Exxon Valdez Oil Spill Settlement	Revenue	1018	Other Funds		202.30	0	0	0	0	0	0	0	0	0
1024	11	70	Fish & Game	143	1	Commercial Fisheries	2965	0	Commercial Fisheries	1024 Fish and Game Fund	Revenue	1024	Other Funds		269.90	0	0	0	0	0	0	0	0	0
1061	11	70	Fish & Game	143	1	Commercial Fisheries	2965	0	Commercial Fisheries	1061 Capital Improvement Project Receipts	Revenue	1061	Other Funds	Duplicated	2523.10	0	0	0	0	0	0	0	0	0
1108	11	70	Fish & Game	143	1	Commercial Fisheries	2965	0	Commercial Fisheries	1108 Statutory Designated Program Receipts	Revenue	1108	Other Funds		5560.20	0	0	0	0	0	0	0	0	0
1109	11	70	Fish & Game	143	1	Commercial Fisheries	2965	0	Commercial Fisheries	1109 Test Fisheries Receipts	Revenue	1109	Designated General Funds		3432.20	0	0	0	0	0	0	0	0	0
1201	11	70	Fish & Game	143	1	Commercial Fisheries	2965	0	Commercial Fisheries	1201 Commercial Fisheries Entry Commission Receipts	Revenue	1201	Designated General Funds		5075.20	0	0	0	0	0	0	0	0	0
10000	11	70	Fish & Game	143	1	Commercial Fisheries	2965	0	Commercial Fisheries	Permanent Full-Time	Position Count	0			272.00	0	0	0	0	0	0	0	0	0
11000	11	70	Fish & Game	143	1	Commercial Fisheries	2965	0	Commercial Fisheries	Permanent Part-Time	Position Count	0			371.00	0	0	0	0	0	0	0	0	0
1	11	70	Fish & Game	143	1	Commercial Fisheries	2167	1	SE Region Fisheries Mgmt.	Personal Services	Expenditure	0			0	0	0	0	0	0	0	0	0	0
2	11	70	Fish & Game	143	1	Commercial Fisheries	2167	1	SE Region Fisheries Mgmt.	Travel	Expenditure	0			0	0	0	0	0	0	0	0	0	0
3	11	70	Fish & Game	143	1	Commercial Fisheries	2167	1	SE Region Fisheries Mgmt.	Contractual Services	Expenditure	0			0	0	0	0	0	0	0	0	0	0
4	11	70	Fish & Game	143	1	Commercial Fisheries	2167	1	SE Region Fisheries Mgmt.	Commodities	Expenditure	0			0	0	0	0	0	0	0	0	0	0
5	11	70	Fish & Game	143	1	Commercial Fisheries	2167	1	SE Region Fisheries Mgmt.	Capital Outlay	Expenditure	0			0	0	0	0	0	0	0	0	0	0
6	11	70	Fish & Game	143	1	Commercial Fisheries	2167	1	SE Region Fisheries Mgmt.	Line 7600	Expenditure	0			0	0	0	0	0	0	0	0	0	0
7	11	70	Fish & Game	143	1	Commercial Fisheries	2167	1	SE Region Fisheries Mgmt.	Grants, Benefits	Expenditure	0			0	0	0	0	0	0	0	0	0	0
8	11	70	Fish & Game	143	1	Commercial Fisheries	2167	1	SE Region Fisheries Mgmt.	Miscellaneous	Expenditure	0			0	0	0	0	0	0	0	0	0	0
1001	11	70	Fish & Game	143	1	Commercial Fisheries	2167	1	SE Region Fisheries Mgmt.	1001 Constitutional Budget Reserve Fund	Revenue	1001	Unrestricted General Funds		0	0	0	0	0	0	0	0	0	0
1002	11	70	Fish & Game	143	1	Commercial Fisheries	2167	1	SE Region Fisheries Mgmt.	1002 Federal Receipts	Revenue	1002	Federal Funds		0	0	0	0	0	0	0	0	0	0
1003	11	70	Fish & Game	143	1	Commercial Fisheries	2167	1	SE Region Fisheries Mgmt.	1003 General Fund Match	Revenue	1003	Unrestricted General Funds		0	0	0	0	0	0	0	0	0	0
1004	11	70	Fish & Game	143	1	Commercial Fisheries	2167	1	SE Region Fisheries Mgmt.	1004 General Fund Receipts	Revenue	1004	Unrestricted General Funds		0	0	0	0	0	0	0	0	0	0
1005	11	70	Fish & Game	143	1	Commercial Fisheries	2167	1	SE Region Fisheries Mgmt.	1005 General Fund/Program Receipts	Revenue	1005	Designated General Funds		0	0	0	0	0	0	0	0	0	0
1007	11	70	Fish & Game	143	1	Commercial Fisheries	2167	1	SE Region Fisheries Mgmt.	1007 Interagency Receipts	Revenue	1007	Other Funds	Duplicated	0	0	0	0	0	0	0	0	0	0
1024	11	70	Fish & Game	143	1	Commercial Fisheries	2167	1	SE Region Fisheries Mgmt.	1024 Fish and Game Fund	Revenue	1024	Other Funds		0	0	0	0	0	0	0	0	0	0
1061	11	70	Fish & Game	143	1	Commercial Fisheries	2167	1	SE Region Fisheries Mgmt.	1061 Capital Improvement Project Receipts	Revenue	1061	Other Funds	Duplicated	0	0	0	0	0	0	0	0	0	0
1108	11	70	Fish & Game	143	1	Commercial Fisheries	2167	1	SE Region Fisheries Mgmt.	1108 Statutory Designated Program Receipts	Revenue	1108	Other Funds		0	0	0	0	0	0	0	0	0	0
1109	11	70	Fish & Game	143	1	Commercial Fisheries	2167	1	SE Region Fisheries Mgmt.	1109 Test Fisheries Receipts	Revenue	1109	Designated General Funds		0	0	0	0	0	0	0	0	0	0
1201	11	70	Fish & Game	143	1	Commercial Fisheries	2167	1	SE Region Fisheries Mgmt.	1201 Commercial Fisheries Entry Commission Receipts	Revenue	1201	Designated General Funds		0	0	0	0	0	0	0	0	0	0
10000	11	70	Fish & Game	143	1	Commercial Fisheries	2167	1	SE Region Fisheries Mgmt.	Permanent Full-Time	Position Count	0			0	0	0	0	0	0	0	0	0	0
11000	11	70	Fish & Game	143	1	Commercial Fisheries	2167	1	SE Region Fisheries Mgmt.	Permanent Part-Time	Position Count	0			0	0	0	0	0	0	0	0	0	0
1	11	70	Fish & Game	143	1	Commercial Fisheries	2168	2	Central Region Fisheries Mgmt.	Personal Services	Expenditure	0			0	0	0	0	0	0	0	0	0	0
2	11	70	Fish & Game	143	1	Commercial Fisheries	2168	2	Central Region Fisheries Mgmt.	Travel	Expenditure	0			0	0	0	0	0	0	0	0	0	0
3	11	70	Fish & Game	143	1	Commercial Fisheries	2168	2	Central Region Fisheries Mgmt.	Contractual Services	Expenditure	0			0	0	0	0	0	0	0	0	0	0
4	11	70	Fish & Game	143	1	Commercial Fisheries	2168	2	Central Region Fisheries Mgmt.	Commodities	Expenditure	0			0	0	0	0	0	0	0	0	0	0
5	11	70	Fish & Game	143	1	Commercial Fisheries	2168	2	Central Region Fisheries Mgmt.	Capital Outlay	Expenditure	0			0	0	0	0	0	0	0	0	0	0
6	11	70	Fish & Game	143	1	Commercial Fisheries	2168	2	Central Region Fisheries Mgmt.	Line 7600	Expenditure	0			0	0	0	0	0	0	0	0	0	0
7	11	70	Fish & Game	143	1	Commercial Fisheries	2168	2	Central Region Fisheries Mgmt.	Grants, Benefits	Expenditure	0			0	0	0	0	0	0	0	0	0	0
8	11	70	Fish & Game	143	1	Commercial Fisheries	2168	2	Central Region Fisheries Mgmt.	Miscellaneous	Expenditure	0			0	0	0	0	0	0	0	0	0	0
1001	11	70	Fish & Game	143	1	Commercial Fisheries	2168	2	Central Region Fisheries Mgmt.	1001 Constitutional Budget Reserve Fund	Revenue	1001	Unrestricted General Funds		0	0	0	0	0	0	0	0	0	0
1002	11	70	Fish & Game	143	1	Commercial Fisheries	2168	2	Central Region Fisheries Mgmt.	1002 Federal Receipts	Revenue	1002	Federal Funds		0	0	0	0	0	0	0	0	0	0
1003	11	70	Fish & Game	143	1	Commercial Fisheries	2168	2	Central Region Fisheries Mgmt.	1003 General Fund Match	Revenue	1003	Unrestricted General Funds		0	0	0	0	0	0	0	0	0	0
1004	11	70	Fish & Game	143	1	Commercial Fisheries	2168	2	Central Region Fisheries Mgmt.	1004 General Fund Receipts	Revenue	1004	Unrestricted General Funds		0	0	0	0	0	0	0	0	0	0
1005	11	70	Fish & Game	143	1	Commercial Fisheries	2168	2	Central Region Fisheries Mgmt.	1005 General Fund/Program Receipts	Revenue	1005	Designated General Funds		0	0	0	0	0	0	0	0	0	0
1007	11	70	Fish & Game	143	1	Commercial Fisheries	2168	2	Central Region Fisheries Mgmt.	1007 Interagency Receipts	Revenue	1007	Other Funds	Duplicated	0	0	0	0	0	0	0	0	0	0
1061	11	70	Fish & Game	143	1	Commercial Fisheries	2168	2	Central Region Fisheries Mgmt.	1061 Capital Improvement Project Receipts	Revenue	1061	Other Funds	Duplicated	0	0	0	0	0	0	0	0	0	0
1108	11	70	Fish & Game	143	1	Commercial Fisheries	2168	2	Central Region Fisheries Mgmt.	1108 Statutory Designated Program Receipts	Revenue	1108	Other Funds		0	0	0	0	0	0	0	0	0	0
1109	11	70	Fish & Game	143	1	Commercial Fisheries	2168	2	Central Region Fisheries Mgmt.	1109 Test Fisheries Receipts	Revenue	1109	Designated General Funds		0	0	0	0	0	0	0	0	0	0
1201	11	70	Fish & Game	143	1	Commercial Fisheries	2168	2	Central Region Fisheries Mgmt.	1201 Commercial Fisheries Entry Commission Receipts	Revenue	1201	Designated General Funds		0	0	0	0	0	0	0	0	0	0
10000	11	70	Fish & Game	143	1	Commercial Fisheries	2168	2	Central Region Fisheries Mgmt.	Permanent Full-Time	Position Count	0			0	0	0	0	0	0	0	0	0	0
11000	11	70	Fish & Game	143	1	Commercial Fisheries	2168	2	Central Region Fisheries Mgmt.	Permanent Part-Time	Position Count	0			0	0	0	0	0	0	0	0	0	0
1	11	70	Fish & Game	143	1	Commercial Fisheries	2169	3	AYK Region Fisheries Mgmt.	Personal Services	Expenditure	0			0	0	0	0	0	0	0	0	0	0
2	11	70	Fish & Game	143	1	Commercial Fisheries	2169	3	AYK Region Fisheries Mgmt.	Travel	Expenditure	0			0	0	0	0	0	0	0	0	0	0
3	11	70	Fish & Game	143	1	Commercial Fisheries	2169	3	AYK Region Fisheries Mgmt.	Contractual Services	Expenditure	0			0	0	0	0	0	0	0	0	0	0
4	11	70	Fish & Game	143	1	Commercial Fisheries	2169	3	AYK Region Fisheries Mgmt.	Commodities	Expenditure	0			0	0	0	0	0	0	0	0	0	0
5	11	70	Fish & Game	143	1	Commercial Fisheries	2169	3	AYK Region Fisheries Mgmt.	Capital Outlay	Expenditure	0			0	0	0	0	0	0	0	0	0	0
6	11	70	Fish & Game	143	1	Commercial Fisheries	2169	3	AYK Region Fisheries Mgmt.	Line 7600	Expenditure	0			0	0	0	0	0	0	0	0	0	0
7	11	70	Fish & Game	143	1	Commercial Fisheries	2169	3	AYK Region Fisheries Mgmt.	Grants, Benefits	Expenditure	0			0	0	0	0	0	0	0	0	0	0
8	11	70	Fish & Game	143	1	Commercial Fisheries	2169	3	AYK Region Fisheries Mgmt.	Miscellaneous	Expenditure	0			0	0	0	0	0	0	0	0	0	0
1001	11	70	Fish & Game	143	1	Commercial Fisheries	2169	3	AYK Region Fisheries Mgmt.	1001 Constitutional Budget Reserve Fund	Revenue	1001	Unrestricted General Funds		0	0	0	0	0	0	0	0	0	0
1002	11	70	Fish & Game	143	1	Commercial Fisheries	2169	3	AYK Region Fisheries Mgmt.	1002 Federal Receipts	Revenue	1002	Federal Funds		0	0	0	0	0	0	0	0	0	0
1004	11	70	Fish & Game	143	1	Commercial Fisheries	2169	3	AYK Region Fisheries Mgmt.	1004 General Fund Receipts	Revenue	1004	Unrestricted General Funds		0	0	0	0	0	0	0	0	0	0
1005	11	70	Fish & Game	143	1	Commercial Fisheries	2169	3	AYK Region Fisheries Mgmt.	1005 General Fund/Program Receipts	Revenue	1005	Designated General Funds		0	0	0	0	0	0	0	0	0	0
