REPORT_SORT	DEPT_NUM	DEPT_SORT	DEPT_NAME	RDU_NUM	RDU_SORT	RDU_NAME	COMP_NUM	COMP_SORT	COMP_NAME	REPORT_LINE	LINE_TYPE	FUND_CODE	FUND_GROUP	DUPLICATED_INDICATOR	SCEN1_AMOUNT	SCEN2_AMOUNT	SCEN3_AMOUNT	SCEN4_AMOUNT	SCEN5_AMOUNT	SCEN6_AMOUNT	SCEN7_AMOUNT	SCEN8_AMOUNT	SCEN9_AMOUNT
			Natural Resources			Agriculture Specialty Crop Block Grant				1002 Federal Receipts	AP		Federal Funds		4500.0								
			Natural Resources			Critical Minerals Mapping - Earth MRI (3DEEP)				1002 Federal Receipts	AP		Federal Funds		1500.0								
			Natural Resources			Critical Minerals Mapping - Earth MRI (3DEEP)				1003 General Fund Match	AP		Unrestricted General Funds		500.0								
			Natural Resources			Critical Minerals Mapping - Earth MRI (3DEEP)				1108 Statutory Designated Program Receipts	AP		Other Funds		200.0								
			Natural Resources			Abandoned Mine Lands Reclamation Federal Program				1002 Federal Receipts	AP		Federal Funds		3200.0								
			Natural Resources			Geological Mapping for Energy Development (USGS STATEMAP)				1002 Federal Receipts	AP		Federal Funds		600.0								
			Natural Resources			Geological Mapping for Energy Development (USGS STATEMAP)				1003 General Fund Match	AP		Unrestricted General Funds		300.0								
			Natural Resources			Cooperative Water Resource Program Pass-through to USGS for Stream Gaging Projects				1108 Statutory Designated Program Receipts	AP		Other Funds		300.0								
			Natural Resources			Federal and Local Government Funded Forest Resource and Fire Program				1002 Federal Receipts	AP		Federal Funds		7000.0								
			Natural Resources			Land Sales - New Subdivision Development				1153 State Land	AP		Designated General Funds		500.0								
			Natural Resources			Land and Water Conservation Fund Federal Grant Program				1002 Federal Receipts	AP		Federal Funds		3500.0								
			Natural Resources			Land and Water Conservation Fund Federal Grant Program				1003 General Fund Match	AP		Unrestricted General Funds		2152.7								
			Natural Resources			National Historic Preservation Fund				1002 Federal Receipts	AP		Federal Funds		600.0								
			Natural Resources			National Historic Preservation Fund				1108 Statutory Designated Program Receipts	AP		Other Funds		200.0								
			Natural Resources			National Recreational Trails Federal Grant Program				1002 Federal Receipts	AP		Federal Funds		1500.0								
			Natural Resources			National Recreational Trails Federal Grant Program				1005 General Fund/Program Receipts	AP		Designated General Funds		100.0								
			Natural Resources			State Park Electronic Fee Stations				1005 General Fund/Program Receipts	AP		Designated General Funds		220.0								
