REPORT_SORT	DEPT_NUM	DEPT_SORT	DEPT_NAME	RDU_NUM	RDU_SORT	RDU_NAME	COMP_NUM	COMP_SORT	COMP_NAME	REPORT_LINE	LINE_TYPE	FUND_CODE	FUND_GROUP	DUPLICATED_INDICATOR	SCEN1_AMOUNT	SCEN2_AMOUNT	SCEN3_AMOUNT	SCEN4_AMOUNT	SCEN5_AMOUNT	SCEN6_AMOUNT	SCEN7_AMOUNT	SCEN8_AMOUNT	SCEN9_AMOUNTÂ
			Revenue			AHFC Rental Assistance for Persons Displaced Due to Domestic Violence - Empowering Choice Housing Program (ECHP)				1139 AHFC Div	AP		Unrestricted General Funds		1500.0								Â
			Revenue			AHFC Teacher, Health and Public Safety Professionals Housing				1108 Statutory Designated Program Receipts	AP		Other Funds		500.0								Â
			Revenue			AHFC Teacher, Health and Public Safety Professionals Housing				1139 AHFC Div	AP		Unrestricted General Funds		1750.0								Â
			Revenue			AHFC Energy Efficiency Research				1139 AHFC Div	AP		Unrestricted General Funds		500.0								Â
			Revenue			AHFC Senior Citizens Housing Development Program				1139 AHFC Div	AP		Unrestricted General Funds		1750.0								Â
			Revenue			AHFC Housing and Urban Development Federal HOME Grant				1002 Federal Receipts	AP		Federal Funds		4000.0								Â
			Revenue			AHFC Housing and Urban Development Federal HOME Grant				1139 AHFC Div	AP		Unrestricted General Funds		750.0								Â
			Revenue			AHFC Housing and Urban Development Capital Fund Program				1002 Federal Receipts	AP		Federal Funds		3200.0								Â
			Revenue			AHFC Federal and Other Competitive Grants				1002 Federal Receipts	AP		Federal Funds		6000.0								Â
			Revenue			AHFC Federal and Other Competitive Grants				1139 AHFC Div	AP		Unrestricted General Funds		1500.0								Â
			Revenue			AHFC Competitive Grants for Public Housing				1002 Federal Receipts	AP		Federal Funds		750.0								Â
			Revenue			AHFC Competitive Grants for Public Housing				1139 AHFC Div	AP		Unrestricted General Funds		350.0								Â
			Revenue			AHFC Supplemental Housing Development Program				1139 AHFC Div	AP		Unrestricted General Funds		1500.0								Â
			Revenue			AHFC Energy Programs Weatherization				1002 Federal Receipts	AP		Federal Funds		3000.0								Â
			Revenue			MH: AHFC Homeless Assistance Program				1092 Mental Health Trust Authority Authorized Receipts	AP		Other Funds		950.0								Â
			Revenue			MH: AHFC Homeless Assistance Program				1139 AHFC Div	AP		Unrestricted General Funds		6250.0								Â
			Revenue			MH: AHFC Beneficiary and Special Needs Housing				1092 Mental Health Trust Authority Authorized Receipts	AP		Other Funds		200.0								Â
