REPORT_SORT	DEPT_NUM	DEPT_SORT	DEPT_NAME	RDU_NUM	RDU_SORT	RDU_NAME	COMP_NUM	COMP_SORT	COMP_NAME	REPORT_LINE	LINE_TYPE	FUND_CODE	FUND_GROUP	DUPLICATED_INDICATOR	SCEN1_AMOUNT	SCEN2_AMOUNT	SCEN3_AMOUNT	SCEN4_AMOUNT	SCEN5_AMOUNT	SCEN6_AMOUNT	SCEN7_AMOUNT	SCEN8_AMOUNT	SCEN9_AMOUNT	SCEN10_AMOUNT
										SCEN1_AMOUNT=FY2022 Governor Amended (17750)		0												
1	1	80	Governor	1	1	Commissions/Special Offices	1	1	Human Rights Commission	Line 71000	Expenditure	0			2113.50	0	0	0	0	0	0	0	0	0
2	1	80	Governor	1	1	Commissions/Special Offices	1	1	Human Rights Commission	Line 72000	Expenditure	0			17.70	0	0	0	0	0	0	0	0	0
3	1	80	Governor	1	1	Commissions/Special Offices	1	1	Human Rights Commission	Line 73000	Expenditure	0			243.60	0	0	0	0	0	0	0	0	0
4	1	80	Governor	1	1	Commissions/Special Offices	1	1	Human Rights Commission	Line 74000	Expenditure	0			70.40	0	0	0	0	0	0	0	0	0
5	1	80	Governor	1	1	Commissions/Special Offices	1	1	Human Rights Commission	Line 75000	Expenditure	0			3.00	0	0	0	0	0	0	0	0	0
6	1	80	Governor	1	1	Commissions/Special Offices	1	1	Human Rights Commission	Line 76000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
7	1	80	Governor	1	1	Commissions/Special Offices	1	1	Human Rights Commission	Line 77000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
8	1	80	Governor	1	1	Commissions/Special Offices	1	1	Human Rights Commission	Line 78000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
1001	1	80	Governor	1	1	Commissions/Special Offices	1	1	Human Rights Commission	1001 Constitutional Budget Reserve Fund	Revenue	1001	UGF		0	0	0	0	0	0	0	0	0	0
1002	1	80	Governor	1	1	Commissions/Special Offices	1	1	Human Rights Commission	1002 Federal Receipts	Revenue	1002	Fed		229.00	0	0	0	0	0	0	0	0	0
1004	1	80	Governor	1	1	Commissions/Special Offices	1	1	Human Rights Commission	1004 General Fund Receipts	Revenue	1004	UGF		2219.20	0	0	0	0	0	0	0	0	0
10000	1	80	Governor	1	1	Commissions/Special Offices	1	1	Human Rights Commission	PFT	Position Count	0			18.00	0	0	0	0	0	0	0	0	0
1	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Line 71000	Expenditure	0			9130.30	0	0	0	0	0	0	0	0	0
2	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Line 72000	Expenditure	0			712.90	0	0	0	0	0	0	0	0	0
3	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Line 73000	Expenditure	0			1113.40	0	0	0	0	0	0	0	0	0
4	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Line 74000	Expenditure	0			159.10	0	0	0	0	0	0	0	0	0
5	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Line 75000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
6	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Line 76000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
7	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Line 77000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
8	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	Line 78000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
1001	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	1001 Constitutional Budget Reserve Fund	Revenue	1001	UGF		0	0	0	0	0	0	0	0	0	0
1004	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	1004 General Fund Receipts	Revenue	1004	UGF		10932.90	0	0	0	0	0	0	0	0	0
1061	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	1061 Capital Improvement Project Receipts	Revenue	1061	Other	Duplicated	182.80	0	0	0	0	0	0	0	0	0
10000	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	PFT	Position Count	0			64.00	0	0	0	0	0	0	0	0	0
12000	1	80	Governor	2	2	Executive Operations	6	1	Executive Office	NP	Position Count	0			8.00	0	0	0	0	0	0	0	0	0
1	1	80	Governor	2	2	Executive Operations	9	3	Governor's House	Line 71000	Expenditure	0			424.30	0	0	0	0	0	0	0	0	0
2	1	80	Governor	2	2	Executive Operations	9	3	Governor's House	Line 72000	Expenditure	0			12.00	0	0	0	0	0	0	0	0	0
3	1	80	Governor	2	2	Executive Operations	9	3	Governor's House	Line 73000	Expenditure	0			214.50	0	0	0	0	0	0	0	0	0
4	1	80	Governor	2	2	Executive Operations	9	3	Governor's House	Line 74000	Expenditure	0			84.70	0	0	0	0	0	0	0	0	0
5	1	80	Governor	2	2	Executive Operations	9	3	Governor's House	Line 75000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
6	1	80	Governor	2	2	Executive Operations	9	3	Governor's House	Line 76000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
7	1	80	Governor	2	2	Executive Operations	9	3	Governor's House	Line 77000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
8	1	80	Governor	2	2	Executive Operations	9	3	Governor's House	Line 78000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
1001	1	80	Governor	2	2	Executive Operations	9	3	Governor's House	1001 Constitutional Budget Reserve Fund	Revenue	1001	UGF		0	0	0	0	0	0	0	0	0	0
1004	1	80	Governor	2	2	Executive Operations	9	3	Governor's House	1004 General Fund Receipts	Revenue	1004	UGF		735.50	0	0	0	0	0	0	0	0	0
10000	1	80	Governor	2	2	Executive Operations	9	3	Governor's House	PFT	Position Count	0			4.00	0	0	0	0	0	0	0	0	0
1	1	80	Governor	2	2	Executive Operations	10	4	Contingency Fund	Line 71000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
2	1	80	Governor	2	2	Executive Operations	10	4	Contingency Fund	Line 72000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
3	1	80	Governor	2	2	Executive Operations	10	4	Contingency Fund	Line 73000	Expenditure	0			250.00	0	0	0	0	0	0	0	0	0
4	1	80	Governor	2	2	Executive Operations	10	4	Contingency Fund	Line 74000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
5	1	80	Governor	2	2	Executive Operations	10	4	Contingency Fund	Line 75000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
6	1	80	Governor	2	2	Executive Operations	10	4	Contingency Fund	Line 76000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
7	1	80	Governor	2	2	Executive Operations	10	4	Contingency Fund	Line 77000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
8	1	80	Governor	2	2	Executive Operations	10	4	Contingency Fund	Line 78000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
1001	1	80	Governor	2	2	Executive Operations	10	4	Contingency Fund	1001 Constitutional Budget Reserve Fund	Revenue	1001	UGF		0	0	0	0	0	0	0	0	0	0
1004	1	80	Governor	2	2	Executive Operations	10	4	Contingency Fund	1004 General Fund Receipts	Revenue	1004	UGF		250.00	0	0	0	0	0	0	0	0	0
1	1	80	Governor	2	2	Executive Operations	11	5	Lieutenant Governor	Line 71000	Expenditure	0			875.80	0	0	0	0	0	0	0	0	0
2	1	80	Governor	2	2	Executive Operations	11	5	Lieutenant Governor	Line 72000	Expenditure	0			85.20	0	0	0	0	0	0	0	0	0
3	1	80	Governor	2	2	Executive Operations	11	5	Lieutenant Governor	Line 73000	Expenditure	0			194.60	0	0	0	0	0	0	0	0	0
4	1	80	Governor	2	2	Executive Operations	11	5	Lieutenant Governor	Line 74000	Expenditure	0			19.00	0	0	0	0	0	0	0	0	0
5	1	80	Governor	2	2	Executive Operations	11	5	Lieutenant Governor	Line 75000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
6	1	80	Governor	2	2	Executive Operations	11	5	Lieutenant Governor	Line 76000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
7	1	80	Governor	2	2	Executive Operations	11	5	Lieutenant Governor	Line 77000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
8	1	80	Governor	2	2	Executive Operations	11	5	Lieutenant Governor	Line 78000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
1001	1	80	Governor	2	2	Executive Operations	11	5	Lieutenant Governor	1001 Constitutional Budget Reserve Fund	Revenue	1001	UGF		0	0	0	0	0	0	0	0	0	0
1004	1	80	Governor	2	2	Executive Operations	11	5	Lieutenant Governor	1004 General Fund Receipts	Revenue	1004	UGF		1174.60	0	0	0	0	0	0	0	0	0
10000	1	80	Governor	2	2	Executive Operations	11	5	Lieutenant Governor	PFT	Position Count	0			7.00	0	0	0	0	0	0	0	0	0
1	1	80	Governor	407	3	Gov State Facilities Rent	2461	0	Gov Office Facilities Rent	Line 71000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
2	1	80	Governor	407	3	Gov State Facilities Rent	2461	0	Gov Office Facilities Rent	Line 72000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
3	1	80	Governor	407	3	Gov State Facilities Rent	2461	0	Gov Office Facilities Rent	Line 73000	Expenditure	0			596.20	0	0	0	0	0	0	0	0	0
4	1	80	Governor	407	3	Gov State Facilities Rent	2461	0	Gov Office Facilities Rent	Line 74000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
5	1	80	Governor	407	3	Gov State Facilities Rent	2461	0	Gov Office Facilities Rent	Line 75000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
6	1	80	Governor	407	3	Gov State Facilities Rent	2461	0	Gov Office Facilities Rent	Line 76000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
7	1	80	Governor	407	3	Gov State Facilities Rent	2461	0	Gov Office Facilities Rent	Line 77000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
8	1	80	Governor	407	3	Gov State Facilities Rent	2461	0	Gov Office Facilities Rent	Line 78000	Expenditure	0			0	0	0	0	0	0	0	0	0	0
