2020 Ballot Measure Number 2 Implementation: numbers sum: 804, cell: 803.600000
Statewide Deferred Maintenance, Renovation, and Repair: numbers sum: 49000, cell: 49000.000000
1004 General Fund Receipts: numbers sum: 804, cell: 803.600000
1197 Alaska Capital Income Fund: numbers sum: 49000, cell: 49000.000000
Governor: numbers sum: 49000, cell: 49000.000000
Governor: numbers sum: 49804, cell: 803.600000
Governor: numbers sum: 49000, cell: 49000.000000
Governor: numbers sum: 49804, cell: 803.600000
AHFC Competitive Grants for Public Housing: numbers sum: 750, cell: 750.000000
AHFC Competitive Grants for Public Housing: numbers sum: 1100, cell: 350.000000
AHFC Energy Efficiency Research: numbers sum: 500, cell: 500.000000
AHFC Energy Programs Weatherization: numbers sum: 3000, cell: 3000.000000
AHFC Energy Programs Weatherization: numbers sum: 5000, cell: 2000.000000
AHFC Federal and Other Competitive Grants: numbers sum: 6000, cell: 6000.000000
AHFC Federal and Other Competitive Grants: numbers sum: 7500, cell: 1500.000000
AHFC Housing and Urban Development Capital Fund Program: numbers sum: 3200, cell: 3200.000000
AHFC Housing and Urban Development Federal HOME Grant: numbers sum: 4000, cell: 4000.000000
AHFC Housing and Urban Development Federal HOME Grant: numbers sum: 4750, cell: 750.000000
AHFC Rental Assistance for Persons Displaced Due to Domestic Violence - Empowering Choice Housing Program (ECHP): numbers sum: 1500, cell: 1500.000000
AHFC Senior Citizens Housing Development Program: numbers sum: 1750, cell: 1750.000000
AHFC Supplemental Housing Development Program: numbers sum: 3000, cell: 3000.000000
AHFC Teacher, Health and Public Safety Professionals Housing: numbers sum: 500, cell: 500.000000
AHFC Teacher, Health and Public Safety Professionals Housing: numbers sum: 2250, cell: 1750.000000
MH: AHFC Beneficiary and Special Needs Housing: numbers sum: 200, cell: 200.000000
MH: AHFC Homeless Assistance Program: numbers sum: 950, cell: 950.000000
MH: AHFC Homeless Assistance Program: numbers sum: 7200, cell: 6250.000000
1002 Federal Receipts: numbers sum: 3200, cell: 3200.000000
1002 Federal Receipts: numbers sum: 7200, cell: 4000.000000
1002 Federal Receipts: numbers sum: 13200, cell: 6000.000000
1002 Federal Receipts: numbers sum: 13950, cell: 750.000000
1002 Federal Receipts: numbers sum: 16950, cell: 3000.000000
1092 Mental Health Trust Authority Authorized Receipts: numbers sum: 200, cell: 200.000000
1092 Mental Health Trust Authority Authorized Receipts: numbers sum: 1150, cell: 950.000000
1108 Statutory Designated Program Receipts: numbers sum: 500, cell: 500.000000
1139 AHFC Dividend: numbers sum: 3000, cell: 3000.000000
1139 AHFC Dividend: numbers sum: 4750, cell: 1750.000000
1139 AHFC Dividend: numbers sum: 5500, cell: 750.000000
1139 AHFC Dividend: numbers sum: 7000, cell: 1500.000000
1139 AHFC Dividend: numbers sum: 7350, cell: 350.000000
1139 AHFC Dividend: numbers sum: 7850, cell: 500.000000
1139 AHFC Dividend: numbers sum: 14100, cell: 6250.000000
1139 AHFC Dividend: numbers sum: 15850, cell: 1750.000000
1139 AHFC Dividend: numbers sum: 17850, cell: 2000.000000
1139 AHFC Dividend: numbers sum: 19350, cell: 1500.000000
Revenue: numbers sum: 3000, cell: 3000.000000
Revenue: numbers sum: 4750, cell: 1750.000000
Revenue: numbers sum: 7950, cell: 3200.000000
Revenue: numbers sum: 11950, cell: 4000.000000
Revenue: numbers sum: 12700, cell: 750.000000
Revenue: numbers sum: 18700, cell: 6000.000000
Revenue: numbers sum: 20200, cell: 1500.000000
Revenue: numbers sum: 20950, cell: 750.000000
Revenue: numbers sum: 21300, cell: 350.000000
Revenue: numbers sum: 21800, cell: 500.000000
Revenue: numbers sum: 22000, cell: 200.000000
Revenue: numbers sum: 22950, cell: 950.000000
Revenue: numbers sum: 29200, cell: 6250.000000
Revenue: numbers sum: 29700, cell: 500.000000
Revenue: numbers sum: 31450, cell: 1750.000000
Revenue: numbers sum: 34450, cell: 3000.000000
Revenue: numbers sum: 36450, cell: 2000.000000
Revenue: numbers sum: 37950, cell: 1500.000000
Revenue: numbers sum: 3000, cell: 3000.000000
Revenue: numbers sum: 4750, cell: 1750.000000
Revenue: numbers sum: 7950, cell: 3200.000000
Revenue: numbers sum: 11950, cell: 4000.000000
Revenue: numbers sum: 12700, cell: 750.000000
Revenue: numbers sum: 18700, cell: 6000.000000
Revenue: numbers sum: 20200, cell: 1500.000000
Revenue: numbers sum: 20950, cell: 750.000000
Revenue: numbers sum: 21300, cell: 350.000000
Revenue: numbers sum: 21800, cell: 500.000000
Revenue: numbers sum: 22000, cell: 200.000000
Revenue: numbers sum: 22950, cell: 950.000000
Revenue: numbers sum: 29200, cell: 6250.000000
Revenue: numbers sum: 29700, cell: 500.000000
Revenue: numbers sum: 31450, cell: 1750.000000
Revenue: numbers sum: 34450, cell: 3000.000000
Revenue: numbers sum: 36450, cell: 2000.000000
Revenue: numbers sum: 37950, cell: 1500.000000
Alaska Energy Authority -  Alaska Cargo and Cold Storage: numbers sum: 21000, cell: 21000.000000
Alaska Energy Authority - Alternative Energy and Energy Efficiency Programs: numbers sum: 5000, cell: 5000.000000
Alaska Energy Authority - Bulk Fuel Upgrades: numbers sum: 7500, cell: 7500.000000
Alaska Energy Authority - Bulk Fuel Upgrades: numbers sum: 13000, cell: 5500.000000
Alaska Energy Authority - Rural Power Systems Upgrades: numbers sum: 12500, cell: 12500.000000
Alaska Energy Authority - Rural Power Systems Upgrades: numbers sum: 17500, cell: 5000.000000
AMCO Enforcement Case Management and Investigations Report Writing System: numbers sum: 100, cell: 100.000000
AMCO Enforcement Case Management and Investigations Report Writing System: numbers sum: 200, cell: 100.000000
Anchorage - Energy Burden Mapping: numbers sum: 25, cell: 25.000000
Chevak School Fire Remediation: numbers sum: 2500, cell: 2500.000000
Community Block Grants: numbers sum: 6000, cell: 6000.000000
Community Block Grants: numbers sum: 6060, cell: 60.000000
Inter-Island Ferry Authority: numbers sum: 250, cell: 250.000000
Matanuska-Susitna Borough - Arctic Winter Games: numbers sum: 1000, cell: 1000.000000
National Petroleum Reserve - Alaska Impact Grant Program: numbers sum: 9100, cell: 9100.000000
1002 Federal Receipts: numbers sum: 6000, cell: 6000.000000
1002 Federal Receipts: numbers sum: 13500, cell: 7500.000000
1002 Federal Receipts: numbers sum: 18500, cell: 5000.000000
1002 Federal Receipts: numbers sum: 31000, cell: 12500.000000
1002 Federal Receipts: numbers sum: 52000, cell: 21000.000000
1003 General Fund Match: numbers sum: 60, cell: 60.000000
1004 General Fund Receipts: numbers sum: 1000, cell: 1000.000000
1004 General Fund Receipts: numbers sum: 1250, cell: 250.000000
1004 General Fund Receipts: numbers sum: 1350, cell: 100.000000
1004 General Fund Receipts: numbers sum: 3850, cell: 2500.000000
1004 General Fund Receipts: numbers sum: 3875, cell: 25.000000
1005 General Fund/Program Receipts: numbers sum: 100, cell: 100.000000
1063 National Petroleum Reserve Fund: numbers sum: 9100, cell: 9100.000000
1140 AIDEA Dividend: numbers sum: 5500, cell: 5500.000000
1140 AIDEA Dividend: numbers sum: 10500, cell: 5000.000000
Commerce: numbers sum: 6000, cell: 6000.000000
Commerce: numbers sum: 6060, cell: 60.000000
Commerce: numbers sum: 15160, cell: 9100.000000
Commerce: numbers sum: 16160, cell: 1000.000000
Commerce: numbers sum: 16410, cell: 250.000000
Commerce: numbers sum: 23910, cell: 7500.000000
